padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Alzheimer,incrementos_hombres,5.414888074878217,multiplicative,0.01,0.1,nacional,Prophet_Alzheimer_hombres_20260218.pkl,
Alzheimer,incrementos_mujeres,9.577630291520542,multiplicative,0.01,0.1,nacional,Prophet_Alzheimer_mujeres_20260218.pkl,
Alzheimer,incrementos_total,10.83761943831255,multiplicative,0.1,5.0,nacional,Prophet_Alzheimer_general_20260218.pkl,
Alzheimer,incrementos_hombres,0.3637418870385368,multiplicative,0.05,5.0,regional,Prophet_Alzheimer_Aguascalientes_hombres_20260218.pkl,Aguascalientes
Alzheimer,incrementos_mujeres,0.49337919073968767,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Aguascalientes_mujeres_20260218.pkl,Aguascalientes
Alzheimer,incrementos_total,0.6104798409085921,multiplicative,0.01,5.0,regional,Prophet_Alzheimer_Aguascalientes_general_20260218.pkl,Aguascalientes
Alzheimer,incrementos_hombres,0.8419446437109636,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Baja_California_hombres_20260218.pkl,Baja California
Alzheimer,incrementos_mujeres,1.1984359927170698,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Baja_California_mujeres_20260218.pkl,Baja California
Alzheimer,incrementos_total,1.6259429755571009,additive,0.01,5.0,regional,Prophet_Alzheimer_Baja_California_general_20260218.pkl,Baja California
Alzheimer,incrementos_hombres,0.0,additive,0.01,0.1,regional,Prophet_Alzheimer_Baja_California_Sur_hombres_20260218.pkl,Baja California Sur
Alzheimer,incrementos_mujeres,0.0,additive,0.01,0.1,regional,Prophet_Alzheimer_Baja_California_Sur_mujeres_20260218.pkl,Baja California Sur
Alzheimer,incrementos_total,0.0,additive,0.01,0.1,regional,Prophet_Alzheimer_Baja_California_Sur_general_20260218.pkl,Baja California Sur
Alzheimer,incrementos_hombres,0.5857795872504863,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Campeche_hombres_20260218.pkl,Campeche
Alzheimer,incrementos_mujeres,0.5161637263937539,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Campeche_mujeres_20260218.pkl,Campeche
Alzheimer,incrementos_total,0.8742825902518309,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Campeche_general_20260218.pkl,Campeche
Alzheimer,incrementos_hombres,0.7686500958812277,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Chiapas_hombres_20260218.pkl,Chiapas
Alzheimer,incrementos_mujeres,0.7581949864957677,multiplicative,0.01,1.0,regional,Prophet_Alzheimer_Chiapas_mujeres_20260218.pkl,Chiapas
Alzheimer,incrementos_total,1.154595401053495,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Chiapas_general_20260218.pkl,Chiapas
Alzheimer,incrementos_hombres,1.052682799299073,multiplicative,0.01,0.1,regional,Prophet_Alzheimer_Chihuahua_hombres_20260218.pkl,Chihuahua
Alzheimer,incrementos_mujeres,1.534588619937434,multiplicative,0.05,0.1,regional,Prophet_Alzheimer_Chihuahua_mujeres_20260218.pkl,Chihuahua
Alzheimer,incrementos_total,2.029190286678931,additive,0.01,0.1,regional,Prophet_Alzheimer_Chihuahua_general_20260218.pkl,Chihuahua
