ds,y
2013-12-30,4
2014-01-06,29
2014-01-13,47
2014-01-20,36
2014-01-27,42
2014-02-03,30
2014-02-10,45
2014-02-17,34
2014-02-24,27
2014-03-03,54
2014-03-10,37
2014-03-17,39
2014-03-24,46
2014-03-31,41
2014-04-07,42
2014-04-14,35
2014-04-21,44
2014-04-28,43
2014-05-05,36
2014-05-12,44
2014-05-19,43
2014-05-26,50
2014-06-02,40
2014-06-09,47
2014-06-16,42
2014-06-23,37
2014-06-30,43
2014-07-07,45
2014-07-14,22
2014-07-21,40
2014-07-28,35
2014-08-04,27
2014-08-11,41
2014-08-18,43
2014-08-25,38
2014-09-01,37
2014-09-08,44
2014-09-15,25
2014-09-22,26
2014-09-29,35
2014-10-06,30
2014-10-13,40
2014-10-20,25
2014-10-27,26
2014-11-03,23
2014-11-10,42
2014-11-17,17
2014-11-24,22
2014-12-01,26
2014-12-08,15
2014-12-15,16
2014-12-22,14
2014-12-29,38
2015-01-05,15
2015-01-12,12
2015-01-19,16
2015-01-26,16
2015-02-02,31
2015-02-09,27
2015-02-16,20
2015-02-23,17
2015-03-02,31
2015-03-09,24
2015-03-16,22
2015-03-23,29
2015-03-30,48
2015-04-06,47
2015-04-13,48
2015-04-20,35
2015-04-27,55
2015-05-04,41
2015-05-11,57
2015-05-18,43
2015-05-25,49
2015-06-01,55
2015-06-08,36
2015-06-15,63
2015-06-22,59
2015-06-29,49
2015-07-06,32
2015-07-13,59
2015-07-20,61
2015-07-27,42
2015-08-03,62
2015-08-10,62
2015-08-17,42
2015-08-24,45
2015-08-31,54
2015-09-07,33
2015-09-14,66
2015-09-21,77
2015-09-28,61
2015-10-05,55
2015-10-12,46
2015-10-19,47
2015-10-26,64
2015-11-02,47
2015-11-09,35
2015-11-16,50
2015-11-23,52
2015-11-30,34
2015-12-07,45
2015-12-14,36
2015-12-21,35
2016-01-04,46
2016-01-11,57
2016-01-18,55
2016-01-25,52
2016-02-01,49
2016-02-08,40
2016-02-15,58
2016-02-22,57
2016-02-29,62
2016-03-07,49
2016-03-14,70
2016-03-21,48
2016-03-28,46
2016-04-04,58
2016-04-11,52
2016-04-18,47
2016-04-25,48
2016-05-02,51
2016-05-09,45
2016-05-16,47
2016-05-23,67
2016-05-30,42
2016-06-06,52
2016-06-13,47
2016-06-20,64
2016-06-27,55
2016-07-04,59
2016-07-11,40
2016-07-18,44
2016-07-25,62
2016-08-01,59
2016-08-08,45
2016-08-15,54
2016-08-22,62
2016-08-29,53
2016-09-05,51
2016-09-12,39
2016-09-19,63
2016-09-26,57
2016-10-03,53
2016-10-10,51
2016-10-17,57
2016-10-24,46
2016-10-31,53
2016-11-07,65
2016-11-14,64
2016-11-21,48
2016-11-28,64
2016-12-05,47
2016-12-12,48
2016-12-19,36
2016-12-26,38
2017-01-02,44
2017-01-09,66
2017-01-16,57
2017-01-23,65
2017-01-30,60
2017-02-06,55
2017-02-13,58
2017-02-20,63
2017-02-27,57
2017-03-06,57
2017-03-13,64
2017-03-20,57
2017-03-27,66
2017-04-03,44
2017-04-10,45
2017-04-17,55
2017-04-24,75
2017-05-01,50
2017-05-08,53
2017-05-15,54
2017-05-22,68
2017-05-29,48
2017-06-05,58
2017-06-12,51
2017-06-19,58
2017-06-26,68
2017-07-03,57
2017-07-10,49
2017-07-17,54
2017-07-24,39
2017-07-31,59
2017-08-07,60
2017-08-14,50
2017-08-21,76
2017-08-28,75
2017-09-04,59
2017-09-11,54
2017-09-18,57
2017-09-25,46
2017-10-02,70
2017-10-09,68
2017-10-16,47
2017-10-23,56
2017-10-30,39
