ds,y
2013-12-30,2
2014-01-06,12
2014-01-13,21
2014-01-20,14
2014-01-27,15
2014-02-03,11
2014-02-10,9
2014-02-17,11
2014-02-24,15
2014-03-03,20
2014-03-10,13
2014-03-17,16
2014-03-24,25
2014-03-31,19
2014-04-07,12
2014-04-14,16
2014-04-21,18
2014-04-28,15
2014-05-05,13
2014-05-12,18
2014-05-19,16
2014-05-26,23
2014-06-02,13
2014-06-09,18
2014-06-16,19
2014-06-23,19
2014-06-30,16
2014-07-07,18
2014-07-14,10
2014-07-21,16
2014-07-28,18
2014-08-04,7
2014-08-11,20
2014-08-18,15
2014-08-25,16
2014-09-01,16
2014-09-08,16
2014-09-15,11
2014-09-22,8
2014-09-29,13
2014-10-06,11
2014-10-13,21
2014-10-20,12
2014-10-27,8
2014-11-03,11
2014-11-10,17
2014-11-17,7
2014-11-24,4
2014-12-01,11
2014-12-08,10
2014-12-15,5
2014-12-22,6
2014-12-29,13
2015-01-05,7
2015-01-12,6
2015-01-19,8
2015-01-26,7
2015-02-02,10
2015-02-09,10
2015-02-16,10
2015-02-23,6
2015-03-02,16
2015-03-09,9
2015-03-16,13
2015-03-23,11
2015-03-30,20
2015-04-06,20
2015-04-13,18
2015-04-20,15
2015-04-27,23
2015-05-04,16
2015-05-11,31
2015-05-18,16
2015-05-25,18
2015-06-01,24
2015-06-08,18
2015-06-15,27
2015-06-22,25
2015-06-29,19
2015-07-06,16
2015-07-13,27
2015-07-20,20
2015-07-27,18
2015-08-03,27
2015-08-10,29
2015-08-17,15
2015-08-24,23
2015-08-31,23
2015-09-07,9
2015-09-14,26
2015-09-21,28
2015-09-28,32
2015-10-05,21
2015-10-12,16
2015-10-19,17
2015-10-26,31
2015-11-02,23
2015-11-09,13
2015-11-16,26
2015-11-23,19
2015-11-30,19
2015-12-07,17
2015-12-14,15
2015-12-21,12
2016-01-04,21
2016-01-11,19
2016-01-18,27
2016-01-25,20
2016-02-01,26
2016-02-08,15
2016-02-15,22
2016-02-22,26
2016-02-29,22
2016-03-07,24
2016-03-14,27
2016-03-21,19
2016-03-28,24
2016-04-04,21
2016-04-11,24
2016-04-18,15
2016-04-25,21
2016-05-02,21
2016-05-09,9
2016-05-16,11
2016-05-23,24
2016-05-30,16
2016-06-06,22
2016-06-13,19
2016-06-20,25
2016-06-27,25
2016-07-04,27
2016-07-11,14
2016-07-18,17
2016-07-25,21
2016-08-01,33
2016-08-08,20
2016-08-15,21
2016-08-22,28
2016-08-29,23
2016-09-05,22
2016-09-12,22
2016-09-19,21
2016-09-26,20
2016-10-03,25
2016-10-10,22
2016-10-17,21
2016-10-24,16
2016-10-31,21
2016-11-07,31
2016-11-14,22
2016-11-21,20
2016-11-28,26
2016-12-05,16
2016-12-12,15
2016-12-19,14
2016-12-26,12
2017-01-02,17
2017-01-09,30
2017-01-16,26
2017-01-23,23
2017-01-30,27
2017-02-06,27
2017-02-13,33
2017-02-20,23
2017-02-27,21
2017-03-06,26
2017-03-13,19
2017-03-20,24
2017-03-27,24
2017-04-03,22
2017-04-10,26
2017-04-17,29
2017-04-24,30
2017-05-01,24
2017-05-08,22
2017-05-15,20
2017-05-22,33
2017-05-29,18
2017-06-05,23
2017-06-12,20
2017-06-19,15
2017-06-26,30
2017-07-03,21
2017-07-10,19
2017-07-17,21
2017-07-24,16
2017-07-31,32
2017-08-07,26
2017-08-14,27
2017-08-21,36
2017-08-28,27
2017-09-04,22
2017-09-11,23
2017-09-18,27
2017-09-25,23
2017-10-02,23
2017-10-09,22
2017-10-16,19
2017-10-23,18
2017-10-30,17
2017-11-06,24
2017-11-13,20
2017-11-20,26
2017-11-27,13
2017-12-04,25
2017-12-11,19
2017-12-18,15
2017-12-25,21
2018-01-01,20
2018-01-08,19
2018-01-15,18
2018-01-22,33
2018-01-29,20
2018-02-05,23
2018-02-12,29
2018-02-19,16
2018-02-26,29
2018-03-05,22
2018-03-12,23
2018-03-19,16
2018-03-26,16
2018-04-02,15
2018-04-09,31
2018-04-16,22
2018-04-23,20
2018-04-30,21
2018-05-07,14
2018-05-14,25
2018-05-21,19
2018-05-28,21
2018-06-04,22
2018-06-11,23
2018-06-18,23
2018-06-25,23
2018-07-02,14
2018-07-09,28
2018-07-16,21
2018-07-23,15
2018-07-30,23
2018-08-06,27
2018-08-13,38
2018-08-20,31
2018-08-27,19
2018-09-03,22
2018-09-10,25
2018-09-17,14
2018-09-24,24
2018-10-01,32
2018-10-08,20
2018-10-15,24
2018-10-22,20
2018-10-29,28
2018-11-05,19
2018-11-12,21
2018-11-19,19
2018-11-26,18
2018-12-03,26
2018-12-10,21
2018-12-17,27
2018-12-24,15
2018-12-31,17
2019-01-07,21
2019-01-14,26
2019-01-21,13
2019-01-28,21
2019-02-04,15
2019-02-11,25
2019-02-18,36
2019-02-25,31
2019-03-04,30
2019-03-11,36
2019-03-18,18
2019-03-25,22
2019-04-01,17
2019-04-08,28
2019-04-15,16
2019-04-22,15
2019-04-29,15
2019-05-06,28
2019-05-13,24
2019-05-20,31
2019-05-27,24
2019-06-03,19
2019-06-10,22
2019-06-17,30
2019-06-24,28
2019-07-01,35
2019-07-08,27
2019-07-15,26
2019-07-22,23
2019-07-29,21
2019-08-05,29
2019-08-12,37
2019-08-19,28
2019-08-26,22
2019-09-02,26
2019-09-09,20
2019-09-16,19
2019-09-23,27
2019-09-30,28
2019-10-07,26
2019-10-14,25
2019-10-21,28
2019-10-28,22
2019-11-04,34
2019-11-11,23
2019-11-18,26
2019-11-25,21
2019-12-02,28
2019-12-09,22
2019-12-16,18
2019-12-23,14
2019-12-30,17
2020-01-06,26
2020-01-13,30
2020-01-20,35
2020-01-27,22
2020-02-03,19
2020-02-10,22
2020-02-17,28
2020-02-24,27
2020-03-02,25
2020-03-09,26
2020-03-16,13
2020-03-23,20
2020-03-30,8
2020-04-06,6
2020-04-13,5
2020-04-20,10
2020-04-27,3
2020-05-04,7
2020-05-11,8
2020-05-18,8
2020-05-25,5
2020-06-01,7
2020-06-08,6
2020-06-15,8
2020-06-22,9
2020-06-29,7
2020-07-06,6
2020-07-13,6
2020-07-20,10
2020-07-27,6
2020-08-03,8
2020-08-10,10
2020-08-17,10
2020-08-24,7
2020-08-31,12
2020-09-07,6
2020-09-14,7
2020-09-21,4
2020-09-28,15
2020-10-05,10
2020-10-12,14
2020-10-19,16
2020-10-26,13
2020-11-02,14
2020-11-09,12
2020-11-16,8
2020-11-23,18
2020-11-30,13
2020-12-07,10
2020-12-14,9
2020-12-21,10
2020-12-28,6
2021-01-04,9
2021-01-11,8
2021-01-18,7
2021-01-25,9
2021-02-01,16
2021-02-08,9
2021-02-15,10
2021-02-22,17
2021-03-01,16
2021-03-08,17
2021-03-15,12
2021-03-22,11
2021-03-29,14
2021-04-05,16
2021-04-12,17
2021-04-19,20
2021-04-26,20
2021-05-03,15
2021-05-10,17
2021-05-17,18
2021-05-24,17
2021-05-31,19
2021-06-07,15
2021-06-14,23
2021-06-21,20
2021-06-28,21
2021-07-05,21
2021-07-12,22
2021-07-19,16
2021-07-26,14
2021-08-02,19
2021-08-09,19
2021-08-16,15
2021-08-23,14
2021-08-30,15
2021-09-06,14
2021-09-13,11
2021-09-20,17
2021-09-27,19
2021-10-04,19
2021-10-11,18
2021-10-18,17
2021-10-25,21
2021-11-01,18
2021-11-08,16
2021-11-15,20
2021-11-22,19
2021-11-29,16
2021-12-06,17
2021-12-13,17
2021-12-20,15
2021-12-27,12
2022-01-03,8
2022-01-10,18
2022-01-17,20
2022-01-24,21
2022-01-31,14
2022-02-07,16
2022-02-14,24
2022-02-21,18
2022-02-28,19
2022-03-07,17
2022-03-14,27
2022-03-21,25
2022-03-28,16
2022-04-04,13
2022-04-11,11
2022-04-18,21
2022-04-25,18
2022-05-02,20
2022-05-09,19
2022-05-16,12
2022-05-23,24
2022-05-30,17
2022-06-06,16
2022-06-13,22
2022-06-20,23
2022-06-27,13
2022-07-04,27
2022-07-11,18
2022-07-18,26
2022-07-25,21
2022-08-01,23
2022-08-08,22
2022-08-15,19
2022-08-22,25
2022-08-29,13
2022-09-05,20
2022-09-12,14
2022-09-19,28
2022-09-26,20
2022-10-03,13
2022-10-10,16
2022-10-17,21
2022-10-24,32
2022-10-31,15
2022-11-07,17
2022-11-14,18
2022-11-21,15
2022-11-28,11
2022-12-05,10
2022-12-12,17
2022-12-19,12
2022-12-26,18
2023-01-02,16
2023-01-09,23
2023-01-16,24
2023-01-23,25
2023-01-30,23
2023-02-06,19
2023-02-13,12
2023-02-20,27
2023-02-27,24
2023-03-06,25
2023-03-13,22
2023-03-20,23
2023-03-27,27
2023-04-03,4
2023-04-10,17
2023-04-17,27
2023-04-24,17
2023-05-01,23
2023-05-08,21
2023-05-15,18
2023-05-22,11
2023-05-29,19
2023-06-05,16
2023-06-12,21
2023-06-19,18
2023-06-26,23
2023-07-03,22
2023-07-10,17
2023-07-17,21
2023-07-24,17
2023-07-31,18
2023-08-07,18
2023-08-14,29
2023-08-21,22
2023-08-28,24
2023-09-04,21
2023-09-11,23
2023-09-18,26
2023-09-25,26
2023-10-02,27
2023-10-09,22
2023-10-16,20
2023-10-23,25
2023-10-30,16
2023-11-06,18
2023-11-13,17
2023-11-20,21
2023-11-27,14
2023-12-04,19
2023-12-11,16
2023-12-18,17
2023-12-25,16
2024-01-01,14
2024-01-08,16
2024-01-15,14
2024-01-22,15
2024-01-29,22
2024-02-05,20
2024-02-12,19
2024-02-19,18
2024-02-26,21
2024-03-04,20
2024-03-11,22
2024-03-18,21
2024-03-25,12
2024-04-01,20
2024-04-08,21
2024-04-15,15
2024-04-22,14
2024-04-29,13
2024-05-06,9
2024-05-13,16
2024-05-20,16
2024-05-27,15
2024-06-03,17
2024-06-10,11
2024-06-17,14
2024-06-24,15
2024-07-01,17
2024-07-08,21
2024-07-15,12
2024-07-22,22
2024-07-29,11
2024-08-05,14
2024-08-12,11
2024-08-19,11
2024-08-26,15
2024-09-02,18
2024-09-09,16
2024-09-16,17
2024-09-23,14
2024-09-30,15
2024-10-07,25
2024-10-14,21
2024-10-21,15
2024-10-28,17
2024-11-04,14
2024-11-11,19
2024-11-18,8
2024-11-25,24
2024-12-02,19
2024-12-09,13
2024-12-16,14
2024-12-23,9
2024-12-30,9
