ds,y
2013-12-30,2
2014-01-06,17
2014-01-13,26
2014-01-20,22
2014-01-27,27
2014-02-03,19
2014-02-10,36
2014-02-17,23
2014-02-24,12
2014-03-03,34
2014-03-10,24
2014-03-17,23
2014-03-24,21
2014-03-31,22
2014-04-07,30
2014-04-14,19
2014-04-21,26
2014-04-28,28
2014-05-05,23
2014-05-12,26
2014-05-19,27
2014-05-26,27
2014-06-02,27
2014-06-09,29
2014-06-16,23
2014-06-23,18
2014-06-30,27
2014-07-07,27
2014-07-14,12
2014-07-21,24
2014-07-28,17
2014-08-04,20
2014-08-11,21
2014-08-18,28
2014-08-25,22
2014-09-01,21
2014-09-08,28
2014-09-15,14
2014-09-22,18
2014-09-29,22
2014-10-06,19
2014-10-13,19
2014-10-20,13
2014-10-27,18
2014-11-03,12
2014-11-10,25
2014-11-17,10
2014-11-24,18
2014-12-01,15
2014-12-08,5
2014-12-15,11
2014-12-22,8
2014-12-29,25
2015-01-05,8
2015-01-12,6
2015-01-19,8
2015-01-26,9
2015-02-02,21
2015-02-09,17
2015-02-16,10
2015-02-23,11
2015-03-02,15
2015-03-09,15
2015-03-16,9
2015-03-23,18
2015-03-30,28
2015-04-06,27
2015-04-13,30
2015-04-20,20
2015-04-27,32
2015-05-04,25
2015-05-11,26
2015-05-18,27
2015-05-25,31
2015-06-01,31
2015-06-08,18
2015-06-15,36
2015-06-22,34
2015-06-29,30
2015-07-06,16
2015-07-13,32
2015-07-20,41
2015-07-27,24
2015-08-03,35
2015-08-10,33
2015-08-17,27
2015-08-24,22
2015-08-31,31
2015-09-07,24
2015-09-14,40
2015-09-21,49
2015-09-28,29
2015-10-05,34
2015-10-12,30
2015-10-19,30
2015-10-26,33
2015-11-02,24
2015-11-09,22
2015-11-16,24
2015-11-23,33
2015-11-30,15
2015-12-07,28
2015-12-14,21
2015-12-21,23
2016-01-04,25
2016-01-11,38
2016-01-18,28
2016-01-25,32
2016-02-01,23
2016-02-08,25
2016-02-15,36
2016-02-22,31
2016-02-29,40
2016-03-07,25
2016-03-14,43
2016-03-21,29
2016-03-28,22
2016-04-04,37
2016-04-11,28
2016-04-18,32
2016-04-25,27
2016-05-02,30
2016-05-09,36
2016-05-16,36
2016-05-23,43
2016-05-30,26
2016-06-06,30
2016-06-13,28
2016-06-20,39
2016-06-27,30
2016-07-04,32
2016-07-11,26
2016-07-18,27
2016-07-25,41
2016-08-01,26
2016-08-08,25
2016-08-15,33
2016-08-22,34
2016-08-29,30
2016-09-05,29
2016-09-12,17
2016-09-19,42
2016-09-26,37
2016-10-03,28
2016-10-10,29
2016-10-17,36
2016-10-24,30
2016-10-31,32
2016-11-07,34
2016-11-14,42
2016-11-21,28
2016-11-28,38
2016-12-05,31
2016-12-12,33
2016-12-19,22
2016-12-26,26
2017-01-02,27
2017-01-09,36
2017-01-16,31
2017-01-23,42
2017-01-30,33
2017-02-06,28
2017-02-13,25
2017-02-20,40
2017-02-27,36
2017-03-06,31
2017-03-13,45
2017-03-20,33
2017-03-27,42
2017-04-03,22
