ds,y
2013-12-30,1
2014-01-06,2
2014-01-13,1
2014-01-20,1
2014-01-27,2
2014-02-03,6
2014-02-10,7
2014-02-17,2
2014-02-24,2
2014-03-03,3
2014-03-10,3
2014-03-17,1
2014-03-24,17
2014-03-31,12
2014-04-07,21
2014-04-14,14
2014-04-21,14
2014-04-28,6
2014-05-05,11
2014-05-12,22
2014-05-19,14
2014-05-26,4
2014-06-02,6
2014-06-09,8
2014-06-16,11
2014-06-23,11
2014-06-30,21
2014-07-07,32
2014-07-14,27
2014-07-21,50
2014-07-28,19
2014-08-04,49
2014-08-11,48
2014-08-18,17
2014-08-25,22
2014-09-01,35
2014-09-08,18
2014-09-15,19
2014-09-22,16
2014-09-29,25
2014-10-06,37
2014-10-13,28
2014-10-20,34
2014-10-27,52
2014-11-03,33
2014-11-10,49
2014-11-17,24
2014-11-24,30
2014-12-01,23
2014-12-08,29
2014-12-15,25
2014-12-22,26
2014-12-29,59
2015-01-05,34
2015-01-12,41
2015-01-19,28
2015-01-26,43
2015-02-02,26
2015-02-09,53
2015-02-16,37
2015-02-23,74
2015-03-02,29
2015-03-09,48
2015-03-16,45
2015-03-23,40
2015-03-30,38
2015-04-06,25
2015-04-13,41
2015-04-20,19
2015-04-27,63
2015-05-04,35
2015-05-11,40
2015-05-18,52
2015-05-25,29
2015-06-01,46
2015-06-08,31
2015-06-15,54
2015-06-22,47
2015-06-29,32
2015-07-06,38
2015-07-13,27
2015-07-20,36
2015-07-27,53
2015-08-03,31
2015-08-10,34
2015-08-17,35
2015-08-24,50
2015-08-31,37
2015-09-07,46
2015-09-14,75
2015-09-21,57
2015-09-28,44
2015-10-05,43
2015-10-12,51
2015-10-19,47
2015-10-26,46
2015-11-02,60
2015-11-09,38
2015-11-16,27
2015-11-23,39
2015-11-30,50
2015-12-07,31
2015-12-14,20
2015-12-21,34
2016-01-04,27
2016-01-11,60
2016-01-18,42
2016-01-25,46
2016-02-01,36
2016-02-08,40
2016-02-15,37
2016-02-22,42
2016-02-29,78
2016-03-07,64
2016-03-14,70
2016-03-21,53
2016-03-28,79
2016-04-04,75
2016-04-11,107
2016-04-18,34
2016-04-25,63
2016-05-02,45
2016-05-09,31
2016-05-16,31
2016-05-23,77
2016-05-30,74
2016-06-06,70
2016-06-13,67
2016-06-20,58
2016-06-27,47
2016-07-04,64
2016-07-11,91
2016-07-18,54
2016-07-25,43
2016-08-01,64
2016-08-08,68
2016-08-15,52
2016-08-22,79
2016-08-29,94
2016-09-05,75
2016-09-12,54
2016-09-19,79
2016-09-26,63
2016-10-03,72
2016-10-10,74
2016-10-17,54
2016-10-24,39
2016-10-31,75
2016-11-07,76
2016-11-14,43
2016-11-21,56
2016-11-28,75
2016-12-05,45
2016-12-12,30
2016-12-19,47
2016-12-26,36
2017-01-02,44
2017-01-09,48
2017-01-16,70
2017-01-23,53
2017-01-30,68
2017-02-06,49
2017-02-13,61
2017-02-20,68
2017-02-27,43
2017-03-06,64
2017-03-13,53
2017-03-20,77
2017-03-27,66
2017-04-03,59
2017-04-10,53
2017-04-17,46
2017-04-24,57
2017-05-01,43
2017-05-08,56
2017-05-15,56
2017-05-22,68
2017-05-29,73
2017-06-05,49
2017-06-12,80
2017-06-19,71
2017-06-26,85
2017-07-03,56
2017-07-10,80
2017-07-17,50
2017-07-24,46
2017-07-31,52
2017-08-07,49
2017-08-14,69
2017-08-21,50
2017-08-28,55
2017-09-04,62
2017-09-11,68
2017-09-18,79
2017-09-25,49
2017-10-02,51
2017-10-09,68
2017-10-16,68
2017-10-23,39
2017-10-30,53
2017-11-06,49
2017-11-13,51
2017-11-20,58
2017-11-27,33
2017-12-04,48
2017-12-11,56
2017-12-18,35
2017-12-25,43
2018-01-01,49
2018-01-08,54
2018-01-15,62
2018-01-22,44
2018-01-29,51
2018-02-05,60
2018-02-12,55
2018-02-19,56
2018-02-26,48
2018-03-05,52
2018-03-12,43
2018-03-19,43
2018-03-26,27
2018-04-02,41
2018-04-09,29
2018-04-16,43
2018-04-23,18
2018-04-30,21
2018-05-07,40
2018-05-14,56
2018-05-21,50
2018-05-28,35
2018-06-04,29
2018-06-11,32
2018-06-18,21
2018-06-25,46
2018-07-02,35
2018-07-09,36
2018-07-16,38
2018-07-23,45
2018-07-30,14
2018-08-06,50
2018-08-13,43
2018-08-20,45
2018-08-27,39
