ds,y
2013-12-30,0
2014-01-06,1
2014-01-13,1
2014-01-20,1
2014-01-27,2
2014-02-03,2
2014-02-10,6
2014-02-17,2
2014-02-24,2
2014-03-03,3
2014-03-10,3
2014-03-17,1
2014-03-24,14
2014-03-31,7
2014-04-07,13
2014-04-14,11
2014-04-21,7
2014-04-28,5
2014-05-05,10
2014-05-12,13
2014-05-19,9
2014-05-26,2
2014-06-02,3
2014-06-09,7
2014-06-16,10
2014-06-23,10
2014-06-30,13
2014-07-07,25
2014-07-14,19
2014-07-21,33
2014-07-28,16
2014-08-04,35
2014-08-11,31
2014-08-18,12
2014-08-25,21
2014-09-01,23
2014-09-08,12
2014-09-15,16
2014-09-22,12
2014-09-29,17
2014-10-06,25
2014-10-13,20
2014-10-20,29
2014-10-27,36
2014-11-03,20
2014-11-10,40
2014-11-17,20
2014-11-24,18
2014-12-01,17
2014-12-08,21
2014-12-15,19
2014-12-22,21
2014-12-29,38
2015-01-05,24
2015-01-12,27
2015-01-19,18
2015-01-26,29
2015-02-02,19
2015-02-09,34
2015-02-16,21
2015-02-23,47
2015-03-02,24
2015-03-09,34
2015-03-16,31
2015-03-23,33
2015-03-30,25
2015-04-06,19
2015-04-13,22
2015-04-20,16
2015-04-27,42
2015-05-04,28
2015-05-11,32
2015-05-18,37
2015-05-25,17
2015-06-01,28
2015-06-08,28
2015-06-15,39
2015-06-22,30
2015-06-29,18
2015-07-06,29
2015-07-13,19
2015-07-20,29
2015-07-27,36
2015-08-03,19
2015-08-10,21
2015-08-17,27
2015-08-24,39
2015-08-31,26
2015-09-07,34
2015-09-14,59
2015-09-21,42
2015-09-28,35
2015-10-05,33
2015-10-12,38
2015-10-19,36
2015-10-26,35
2015-11-02,51
2015-11-09,31
2015-11-16,26
2015-11-23,33
2015-11-30,40
2015-12-07,23
2015-12-14,16
2015-12-21,24
2016-01-04,22
2016-01-11,40
2016-01-18,33
2016-01-25,37
2016-02-01,25
2016-02-08,31
2016-02-15,31
2016-02-22,27
2016-02-29,61
2016-03-07,45
2016-03-14,49
2016-03-21,37
2016-03-28,60
2016-04-04,59
2016-04-11,76
2016-04-18,27
2016-04-25,38
2016-05-02,34
2016-05-09,23
2016-05-16,23
2016-05-23,58
2016-05-30,57
2016-06-06,59
2016-06-13,50
