ds,y
2013-12-30,0
2014-01-06,2
2014-01-13,8
2014-01-20,13
2014-01-27,9
2014-02-03,8
2014-02-10,4
2014-02-17,4
2014-02-24,10
2014-03-03,8
2014-03-10,13
2014-03-17,9
2014-03-24,20
2014-03-31,15
2014-04-07,14
2014-04-14,9
2014-04-21,16
2014-04-28,13
2014-05-05,17
2014-05-12,17
2014-05-19,19
2014-05-26,16
2014-06-02,36
2014-06-09,20
2014-06-16,13
2014-06-23,21
2014-06-30,7
2014-07-07,16
2014-07-14,10
2014-07-21,13
2014-07-28,10
2014-08-04,15
2014-08-11,16
2014-08-18,29
2014-08-25,14
2014-09-01,5
2014-09-08,15
2014-09-15,27
2014-09-22,16
2014-09-29,35
2014-10-06,20
2014-10-13,10
2014-10-20,5
2014-10-27,22
2014-11-03,40
2014-11-10,11
2014-11-17,14
2014-11-24,12
2014-12-01,17
2014-12-08,9
2014-12-15,14
2014-12-22,2
2014-12-29,13
2015-01-05,11
2015-01-12,26
2015-01-19,10
2015-01-26,16
2015-02-02,15
2015-02-09,15
2015-02-16,17
2015-02-23,18
2015-03-02,11
2015-03-09,9
2015-03-16,18
2015-03-23,4
2015-03-30,13
2015-04-06,10
2015-04-13,17
2015-04-20,17
2015-04-27,12
2015-05-04,11
2015-05-11,28
2015-05-18,21
2015-05-25,32
2015-06-01,20
2015-06-08,25
2015-06-15,19
2015-06-22,26
2015-06-29,23
2015-07-06,16
2015-07-13,18
2015-07-20,22
2015-07-27,21
2015-08-03,21
2015-08-10,18
2015-08-17,13
2015-08-24,58
2015-08-31,8
2015-09-07,8
2015-09-14,19
2015-09-21,25
2015-09-28,20
2015-10-05,17
2015-10-12,35
2015-10-19,17
2015-10-26,14
2015-11-02,17
2015-11-09,14
2015-11-16,16
2015-11-23,20
2015-11-30,20
2015-12-07,7
2015-12-14,9
2015-12-21,6
2016-01-04,11
2016-01-11,15
2016-01-18,10
2016-01-25,24
2016-02-01,14
2016-02-08,14
2016-02-15,19
2016-02-22,25
2016-02-29,19
2016-03-07,19
2016-03-14,14
2016-03-21,21
2016-03-28,27
2016-04-04,14
2016-04-11,23
2016-04-18,19
2016-04-25,14
2016-05-02,13
2016-05-09,17
2016-05-16,17
2016-05-23,15
2016-05-30,23
2016-06-06,21
2016-06-13,22
2016-06-20,14
2016-06-27,19
2016-07-04,23
2016-07-11,10
2016-07-18,11
2016-07-25,10
2016-08-01,15
2016-08-08,11
2016-08-15,22
2016-08-22,12
2016-08-29,18
2016-09-05,11
2016-09-12,14
2016-09-19,14
2016-09-26,28
2016-10-03,20
2016-10-10,20
2016-10-17,21
2016-10-24,19
2016-10-31,16
2016-11-07,18
2016-11-14,19
2016-11-21,10
2016-11-28,13
2016-12-05,11
2016-12-12,10
2016-12-19,7
2016-12-26,8
2017-01-02,16
2017-01-09,17
2017-01-16,12
2017-01-23,18
2017-01-30,6
2017-02-06,25
2017-02-13,21
2017-02-20,14
2017-02-27,24
2017-03-06,24
2017-03-13,11
2017-03-20,15
2017-03-27,21
2017-04-03,21
2017-04-10,10
2017-04-17,17
2017-04-24,21
2017-05-01,24
2017-05-08,17
2017-05-15,27
2017-05-22,41
2017-05-29,27
2017-06-05,21
2017-06-12,20
2017-06-19,31
2017-06-26,18
2017-07-03,16
2017-07-10,22
2017-07-17,19
2017-07-24,15
2017-07-31,21
2017-08-07,14
2017-08-14,38
2017-08-21,22
2017-08-28,17
2017-09-04,18
2017-09-11,25
2017-09-18,14
2017-09-25,27
2017-10-02,30
2017-10-09,26
2017-10-16,33
2017-10-23,25
2017-10-30,28
2017-11-06,18
2017-11-13,16
2017-11-20,16
2017-11-27,15
2017-12-04,26
2017-12-11,23
2017-12-18,21
2017-12-25,20
2018-01-01,22
2018-01-08,31
2018-01-15,20
2018-01-22,22
2018-01-29,21
2018-02-05,16
2018-02-12,16
2018-02-19,13
2018-02-26,16
2018-03-05,20
2018-03-12,12
2018-03-19,8
2018-03-26,10
2018-04-02,13
2018-04-09,15
2018-04-16,13
2018-04-23,10
2018-04-30,11
2018-05-07,13
2018-05-14,12
2018-05-21,10
2018-05-28,23
2018-06-04,18
2018-06-11,12
2018-06-18,23
2018-06-25,17
2018-07-02,11
2018-07-09,18
2018-07-16,12
2018-07-23,15
2018-07-30,9
2018-08-06,22
2018-08-13,16
2018-08-20,19
2018-08-27,15
2018-09-03,23
2018-09-10,15
2018-09-17,19
2018-09-24,18
2018-10-01,9
2018-10-08,11
2018-10-15,17
2018-10-22,23
2018-10-29,18
2018-11-05,19
2018-11-12,24
2018-11-19,18
2018-11-26,9
2018-12-03,29
2018-12-10,27
2018-12-17,12
2018-12-24,24
2018-12-31,6
2019-01-07,14
2019-01-14,14
2019-01-21,12
2019-01-28,13
2019-02-04,16
2019-02-11,7
2019-02-18,22
2019-02-25,9
2019-03-04,24
2019-03-11,10
2019-03-18,12
2019-03-25,11
2019-04-01,29
2019-04-08,18
2019-04-15,9
2019-04-22,15
2019-04-29,17
2019-05-06,15
2019-05-13,22
2019-05-20,17
2019-05-27,16
2019-06-03,19
2019-06-10,23
2019-06-17,16
2019-06-24,14
2019-07-01,10
2019-07-08,19
2019-07-15,18
2019-07-22,13
2019-07-29,29
2019-08-05,15
2019-08-12,15
2019-08-19,19
2019-08-26,11
2019-09-02,18
2019-09-09,23
2019-09-16,11
2019-09-23,21
2019-09-30,23
2019-10-07,18
2019-10-14,12
2019-10-21,21
2019-10-28,18
2019-11-04,23
2019-11-11,11
2019-11-18,11
2019-11-25,14
2019-12-02,19
2019-12-09,20
2019-12-16,16
2019-12-23,12
2019-12-30,9
2020-01-06,9
2020-01-13,10
2020-01-20,14
2020-01-27,22
2020-02-03,14
2020-02-10,13
2020-02-17,15
2020-02-24,8
2020-03-02,16
2020-03-09,14
2020-03-16,13
2020-03-23,11
2020-03-30,16
2020-04-06,10
2020-04-13,8
2020-04-20,18
2020-04-27,13
2020-05-04,15
2020-05-11,12
2020-05-18,16
2020-05-25,10
2020-06-01,8
2020-06-08,9
2020-06-15,6
2020-06-22,7
2020-06-29,10
2020-07-06,14
2020-07-13,14
2020-07-20,16
2020-07-27,9
2020-08-03,14
2020-08-10,16
2020-08-17,13
2020-08-24,6
2020-08-31,13
2020-09-07,9
2020-09-14,9
2020-09-21,15
2020-09-28,17
2020-10-05,14
2020-10-12,11
2020-10-19,17
2020-10-26,10
2020-11-02,22
2020-11-09,13
2020-11-16,16
2020-11-23,13
2020-11-30,14
2020-12-07,15
2020-12-14,11
2020-12-21,13
2020-12-28,19
2021-01-04,20
2021-01-11,21
2021-01-18,18
2021-01-25,20
2021-02-01,20
2021-02-08,15
2021-02-15,15
2021-02-22,15
2021-03-01,17
2021-03-08,16
2021-03-15,10
2021-03-22,25
2021-03-29,18
2021-04-05,16
2021-04-12,21
2021-04-19,16
2021-04-26,16
2021-05-03,19
2021-05-10,22
2021-05-17,19
2021-05-24,16
2021-05-31,20
2021-06-07,30
2021-06-14,17
2021-06-21,24
2021-06-28,31
2021-07-05,29
2021-07-12,30
2021-07-19,23
2021-07-26,28
2021-08-02,28
2021-08-09,31
2021-08-16,33
2021-08-23,36
