ds,y
2013-12-30,0
2014-01-06,1
2014-01-13,6
2014-01-20,11
2014-01-27,6
2014-02-03,7
2014-02-10,2
2014-02-17,4
2014-02-24,8
2014-03-03,3
2014-03-10,10
2014-03-17,5
2014-03-24,18
2014-03-31,12
2014-04-07,10
2014-04-14,6
2014-04-21,13
2014-04-28,10
2014-05-05,15
2014-05-12,14
2014-05-19,15
2014-05-26,11
2014-06-02,25
2014-06-09,17
2014-06-16,11
2014-06-23,17
2014-06-30,7
2014-07-07,10
2014-07-14,9
2014-07-21,7
2014-07-28,9
2014-08-04,11
2014-08-11,13
2014-08-18,12
2014-08-25,12
2014-09-01,4
2014-09-08,14
2014-09-15,23
2014-09-22,13
2014-09-29,29
2014-10-06,19
2014-10-13,8
2014-10-20,4
2014-10-27,20
2014-11-03,29
2014-11-10,9
2014-11-17,11
2014-11-24,8
2014-12-01,13
2014-12-08,6
2014-12-15,10
2014-12-22,1
2014-12-29,10
2015-01-05,7
2015-01-12,21
2015-01-19,5
2015-01-26,11
2015-02-02,10
2015-02-09,14
2015-02-16,15
2015-02-23,14
2015-03-02,9
2015-03-09,7
2015-03-16,12
2015-03-23,2
2015-03-30,11
2015-04-06,7
2015-04-13,13
2015-04-20,13
2015-04-27,10
2015-05-04,9
2015-05-11,23
2015-05-18,21
2015-05-25,23
2015-06-01,14
2015-06-08,19
2015-06-15,15
2015-06-22,18
2015-06-29,19
2015-07-06,11
2015-07-13,15
2015-07-20,19
2015-07-27,11
2015-08-03,18
2015-08-10,9
2015-08-17,7
2015-08-24,47
2015-08-31,7
2015-09-07,5
2015-09-14,13
2015-09-21,23
2015-09-28,17
2015-10-05,12
2015-10-12,12
2015-10-19,12
2015-10-26,13
2015-11-02,14
2015-11-09,10
2015-11-16,11
2015-11-23,15
2015-11-30,11
2015-12-07,7
2015-12-14,8
2015-12-21,4
2016-01-04,5
2016-01-11,11
2016-01-18,7
2016-01-25,20
2016-02-01,9
2016-02-08,9
2016-02-15,10
2016-02-22,16
2016-02-29,17
2016-03-07,17
2016-03-14,12
2016-03-21,14
2016-03-28,15
2016-04-04,12
2016-04-11,19
2016-04-18,13
2016-04-25,14
2016-05-02,9
2016-05-09,12
2016-05-16,12
2016-05-23,10
2016-05-30,19
2016-06-06,14
2016-06-13,17
