ds,y
2013-12-30,2
2014-01-06,50
2014-01-13,54
2014-01-20,45
2014-01-27,35
2014-02-03,33
2014-02-10,50
2014-02-17,51
2014-02-24,80
2014-03-03,49
2014-03-10,42
2014-03-17,42
2014-03-24,61
2014-03-31,6
2014-04-07,23
2014-04-14,32
2014-04-21,54
2014-04-28,34
2014-05-05,52
2014-05-12,40
2014-05-19,56
2014-05-26,53
2014-06-02,63
2014-06-09,47
2014-06-16,47
2014-06-23,54
2014-06-30,16
2014-07-07,14
2014-07-14,26
2014-07-21,18
2014-07-28,17
2014-08-04,12
2014-08-11,10
2014-08-18,59
2014-08-25,10
2014-09-01,29
2014-09-08,33
2014-09-15,10
2014-09-22,26
2014-09-29,22
2014-10-06,14
2014-10-13,22
2014-10-20,17
2014-10-27,29
2014-11-03,14
2014-11-10,61
2014-11-17,10
2014-11-24,6
2014-12-01,16
2014-12-08,16
2014-12-15,26
2014-12-22,1
2014-12-29,44
2015-01-05,18
2015-01-12,22
2015-01-19,14
2015-01-26,12
2015-02-02,23
2015-02-09,21
2015-02-16,19
2015-02-23,25
2015-03-02,23
2015-03-09,13
2015-03-16,16
2015-03-23,35
2015-03-30,55
2015-04-06,64
2015-04-13,76
2015-04-20,46
2015-04-27,56
2015-05-04,70
2015-05-11,63
2015-05-18,52
2015-05-25,64
2015-06-01,56
2015-06-08,63
2015-06-15,49
2015-06-22,43
2015-06-29,69
2015-07-06,41
2015-07-13,50
2015-07-20,50
2015-07-27,41
2015-08-03,59
2015-08-10,80
2015-08-17,54
2015-08-24,51
2015-08-31,58
2015-09-07,41
2015-09-14,62
2015-09-21,58
2015-09-28,60
2015-10-05,63
2015-10-12,68
2015-10-19,55
2015-10-26,58
2015-11-02,49
2015-11-09,52
2015-11-16,44
2015-11-23,50
2015-11-30,52
2015-12-07,44
2015-12-14,24
2015-12-21,14
2016-01-04,26
2016-01-11,48
2016-01-18,48
2016-01-25,68
2016-02-01,47
2016-02-08,43
2016-02-15,91
2016-02-22,68
2016-02-29,62
2016-03-07,57
2016-03-14,60
2016-03-21,23
2016-03-28,54
2016-04-04,75
2016-04-11,55
2016-04-18,71
2016-04-25,51
2016-05-02,59
2016-05-09,80
2016-05-16,80
2016-05-23,49
2016-05-30,51
2016-06-06,62
2016-06-13,74
2016-06-20,43
2016-06-27,53
2016-07-04,53
2016-07-11,58
2016-07-18,57
2016-07-25,50
2016-08-01,46
2016-08-08,56
2016-08-15,51
2016-08-22,77
2016-08-29,63
2016-09-05,66
2016-09-12,24
2016-09-19,65
2016-09-26,77
2016-10-03,73
2016-10-10,65
2016-10-17,65
2016-10-24,87
2016-10-31,63
2016-11-07,66
2016-11-14,63
2016-11-21,55
2016-11-28,35
2016-12-05,43
2016-12-12,53
2016-12-19,33
2016-12-26,31
2017-01-02,46
2017-01-09,52
2017-01-16,75
2017-01-23,66
2017-01-30,74
2017-02-06,49
2017-02-13,69
2017-02-20,66
2017-02-27,49
2017-03-06,81
2017-03-13,71
2017-03-20,45
2017-03-27,87
2017-04-03,70
2017-04-10,41
2017-04-17,111
2017-04-24,68
2017-05-01,51
2017-05-08,71
2017-05-15,83
2017-05-22,117
2017-05-29,80
2017-06-05,89
2017-06-12,114
2017-06-19,101
2017-06-26,72
2017-07-03,78
2017-07-10,53
2017-07-17,71
2017-07-24,74
2017-07-31,63
2017-08-07,59
2017-08-14,64
2017-08-21,84
2017-08-28,97
2017-09-04,112
2017-09-11,79
2017-09-18,81
2017-09-25,66
2017-10-02,70
2017-10-09,103
2017-10-16,67
2017-10-23,87
2017-10-30,77
2017-11-06,126
2017-11-13,75
2017-11-20,61
2017-11-27,79
2017-12-04,57
2017-12-11,71
2017-12-18,30
2017-12-25,59
2018-01-01,44
2018-01-08,77
2018-01-15,89
2018-01-22,85
2018-01-29,108
2018-02-05,96
2018-02-12,93
2018-02-19,72
2018-02-26,111
2018-03-05,131
2018-03-12,102
2018-03-19,94
2018-03-26,80
2018-04-02,96
2018-04-09,97
2018-04-16,116
2018-04-23,95
2018-04-30,73
2018-05-07,87
2018-05-14,111
2018-05-21,97
2018-05-28,93
2018-06-04,111
2018-06-11,97
2018-06-18,132
2018-06-25,125
2018-07-02,82
2018-07-09,123
2018-07-16,85
2018-07-23,75
2018-07-30,101
2018-08-06,100
2018-08-13,128
2018-08-20,98
2018-08-27,109
2018-09-03,86
2018-09-10,130
2018-09-17,115
2018-09-24,99
2018-10-01,87
2018-10-08,142
2018-10-15,110
2018-10-22,118
2018-10-29,103
2018-11-05,123
2018-11-12,91
2018-11-19,89
2018-11-26,92
2018-12-03,102
2018-12-10,88
2018-12-17,75
2018-12-24,21
2018-12-31,63
2019-01-07,65
2019-01-14,122
2019-01-21,96
2019-01-28,109
2019-02-04,75
2019-02-11,106
2019-02-18,77
2019-02-25,99
2019-03-04,78
2019-03-11,90
2019-03-18,91
2019-03-25,104
2019-04-01,97
2019-04-08,92
2019-04-15,55
2019-04-22,75
2019-04-29,65
2019-05-06,88
2019-05-13,70
2019-05-20,87
2019-05-27,105
2019-06-03,91
2019-06-10,102
2019-06-17,108
2019-06-24,95
2019-07-01,91
2019-07-08,91
2019-07-15,74
2019-07-22,82
2019-07-29,109
2019-08-05,84
2019-08-12,93
2019-08-19,82
2019-08-26,107
2019-09-02,67
2019-09-09,66
2019-09-16,63
2019-09-23,74
2019-09-30,83
2019-10-07,99
2019-10-14,73
