ds,y
2013-12-30,1
2014-01-06,9
2014-01-13,7
2014-01-20,13
2014-01-27,8
2014-02-03,7
2014-02-10,18
2014-02-17,9
2014-02-24,8
2014-03-03,13
2014-03-10,6
2014-03-17,9
2014-03-24,13
2014-03-31,2
2014-04-07,4
2014-04-14,3
2014-04-21,3
2014-04-28,9
2014-05-05,8
2014-05-12,7
2014-05-19,12
2014-05-26,7
2014-06-02,13
2014-06-09,10
2014-06-16,9
2014-06-23,17
2014-06-30,2
2014-07-07,4
2014-07-14,6
2014-07-21,3
2014-07-28,5
2014-08-04,4
2014-08-11,1
2014-08-18,15
2014-08-25,1
2014-09-01,3
2014-09-08,6
2014-09-15,1
2014-09-22,2
2014-09-29,11
2014-10-06,3
2014-10-13,3
2014-10-20,5
2014-10-27,7
2014-11-03,4
2014-11-10,11
2014-11-17,2
2014-11-24,2
2014-12-01,4
2014-12-08,6
2014-12-15,1
2014-12-22,0
2014-12-29,7
2015-01-05,5
2015-01-12,4
2015-01-19,5
2015-01-26,2
2015-02-02,6
2015-02-09,2
2015-02-16,1
2015-02-23,7
2015-03-02,3
2015-03-09,3
2015-03-16,7
2015-03-23,9
2015-03-30,14
2015-04-06,13
2015-04-13,20
2015-04-20,11
2015-04-27,17
2015-05-04,14
2015-05-11,12
2015-05-18,11
2015-05-25,15
2015-06-01,10
2015-06-08,17
2015-06-15,8
2015-06-22,11
2015-06-29,12
2015-07-06,10
2015-07-13,10
2015-07-20,13
2015-07-27,4
2015-08-03,15
2015-08-10,22
2015-08-17,15
2015-08-24,10
2015-08-31,16
2015-09-07,13
2015-09-14,12
2015-09-21,6
2015-09-28,13
2015-10-05,17
2015-10-12,15
2015-10-19,13
2015-10-26,14
2015-11-02,11
2015-11-09,10
2015-11-16,14
2015-11-23,11
2015-11-30,23
2015-12-07,8
2015-12-14,9
2015-12-21,3
2016-01-04,9
2016-01-11,7
2016-01-18,12
2016-01-25,15
2016-02-01,15
2016-02-08,6
2016-02-15,13
