ds,y
2013-12-30,1
2014-01-06,41
2014-01-13,47
2014-01-20,32
2014-01-27,27
2014-02-03,26
2014-02-10,32
2014-02-17,42
2014-02-24,72
2014-03-03,36
2014-03-10,36
2014-03-17,33
2014-03-24,48
2014-03-31,4
2014-04-07,19
2014-04-14,29
2014-04-21,51
2014-04-28,25
2014-05-05,44
2014-05-12,33
2014-05-19,44
2014-05-26,46
2014-06-02,50
2014-06-09,37
2014-06-16,38
2014-06-23,37
2014-06-30,14
2014-07-07,10
2014-07-14,20
2014-07-21,15
2014-07-28,12
2014-08-04,8
2014-08-11,9
2014-08-18,44
2014-08-25,9
2014-09-01,26
2014-09-08,27
2014-09-15,9
2014-09-22,24
2014-09-29,11
2014-10-06,11
2014-10-13,19
2014-10-20,12
2014-10-27,22
2014-11-03,10
2014-11-10,50
2014-11-17,8
2014-11-24,4
2014-12-01,12
2014-12-08,10
2014-12-15,25
2014-12-22,1
2014-12-29,37
2015-01-05,13
2015-01-12,18
2015-01-19,9
2015-01-26,10
2015-02-02,17
2015-02-09,19
2015-02-16,18
2015-02-23,18
2015-03-02,20
2015-03-09,10
2015-03-16,9
2015-03-23,26
2015-03-30,41
2015-04-06,51
2015-04-13,56
2015-04-20,35
2015-04-27,39
2015-05-04,56
2015-05-11,51
2015-05-18,41
2015-05-25,49
2015-06-01,46
2015-06-08,46
2015-06-15,41
2015-06-22,32
2015-06-29,57
2015-07-06,31
2015-07-13,40
2015-07-20,37
2015-07-27,37
2015-08-03,44
2015-08-10,58
2015-08-17,39
2015-08-24,41
2015-08-31,42
2015-09-07,28
2015-09-14,50
2015-09-21,52
2015-09-28,47
2015-10-05,46
2015-10-12,53
2015-10-19,42
2015-10-26,44
2015-11-02,38
2015-11-09,42
2015-11-16,30
2015-11-23,39
2015-11-30,29
2015-12-07,36
2015-12-14,15
2015-12-21,11
2016-01-04,17
2016-01-11,41
2016-01-18,36
2016-01-25,53
2016-02-01,32
2016-02-08,37
2016-02-15,78
2016-02-22,54
2016-02-29,55
2016-03-07,49
2016-03-14,48
2016-03-21,20
2016-03-28,47
2016-04-04,62
2016-04-11,35
2016-04-18,53
2016-04-25,47
2016-05-02,46
2016-05-09,58
2016-05-16,58
2016-05-23,39
2016-05-30,42
2016-06-06,48
2016-06-13,57
2016-06-20,35
2016-06-27,44
2016-07-04,36
2016-07-11,48
2016-07-18,45
2016-07-25,40
2016-08-01,33
2016-08-08,49
2016-08-15,42
2016-08-22,65
2016-08-29,47
2016-09-05,46
2016-09-12,20
2016-09-19,46
2016-09-26,66
2016-10-03,58
2016-10-10,48
2016-10-17,52
2016-10-24,76
2016-10-31,46
2016-11-07,52
2016-11-14,44
2016-11-21,41
2016-11-28,25
2016-12-05,29
2016-12-12,38
2016-12-19,26
2016-12-26,24
2017-01-02,37
2017-01-09,39
2017-01-16,62
2017-01-23,48
2017-01-30,50
2017-02-06,38
2017-02-13,58
2017-02-20,49
2017-02-27,43
2017-03-06,62
2017-03-13,49
2017-03-20,32
2017-03-27,62
2017-04-03,56
2017-04-10,26
2017-04-17,79
2017-04-24,51
2017-05-01,40
2017-05-08,57
2017-05-15,63
2017-05-22,92
2017-05-29,59
2017-06-05,69
2017-06-12,81
2017-06-19,76
2017-06-26,56
2017-07-03,60
2017-07-10,39
2017-07-17,57
2017-07-24,59
2017-07-31,55
2017-08-07,49
2017-08-14,53
2017-08-21,58
2017-08-28,74
2017-09-04,83
2017-09-11,63
2017-09-18,68
2017-09-25,50
2017-10-02,57
2017-10-09,76
2017-10-16,57
2017-10-23,66
2017-10-30,57
2017-11-06,90
2017-11-13,51
2017-11-20,42
2017-11-27,56
2017-12-04,32
2017-12-11,51
2017-12-18,20
2017-12-25,42
2018-01-01,31
2018-01-08,56
2018-01-15,63
2018-01-22,64
2018-01-29,82
2018-02-05,70
2018-02-12,74
2018-02-19,51
2018-02-26,81
2018-03-05,99
2018-03-12,75
2018-03-19,70
2018-03-26,64
2018-04-02,75
2018-04-09,70
2018-04-16,83
2018-04-23,72
2018-04-30,54
2018-05-07,61
2018-05-14,76
2018-05-21,69
2018-05-28,68
2018-06-04,86
2018-06-11,79
2018-06-18,100
2018-06-25,81
2018-07-02,60
2018-07-09,91
2018-07-16,65
2018-07-23,51
2018-07-30,70
2018-08-06,70
2018-08-13,91
2018-08-20,76
2018-08-27,85
2018-09-03,59
2018-09-10,93
2018-09-17,74
2018-09-24,66
2018-10-01,67
2018-10-08,101
2018-10-15,75
2018-10-22,82
2018-10-29,76
2018-11-05,89
2018-11-12,70
2018-11-19,68
