ds,y
2013-12-30,2
2014-01-06,11
2014-01-13,10
2014-01-20,10
2014-01-27,12
2014-02-03,12
2014-02-10,26
2014-02-17,17
2014-02-24,11
2014-03-03,15
2014-03-10,23
2014-03-17,13
2014-03-24,21
2014-03-31,20
2014-04-07,13
2014-04-14,6
2014-04-21,8
2014-04-28,14
2014-05-05,17
2014-05-12,14
2014-05-19,26
2014-05-26,21
2014-06-02,26
2014-06-09,18
2014-06-16,14
2014-06-23,15
2014-06-30,15
2014-07-07,33
2014-07-14,17
2014-07-21,11
2014-07-28,20
2014-08-04,18
2014-08-11,23
2014-08-18,21
2014-08-25,20
2014-09-01,13
2014-09-08,4
2014-09-15,10
2014-09-22,17
2014-09-29,16
2014-10-06,17
2014-10-13,21
2014-10-20,27
2014-10-27,13
2014-11-03,14
2014-11-10,22
2014-11-17,20
2014-11-24,20
2014-12-01,14
2014-12-08,11
2014-12-15,15
2014-12-22,5
2014-12-29,14
2015-01-05,26
2015-01-12,11
2015-01-19,9
2015-01-26,24
2015-02-02,13
2015-02-09,24
2015-02-16,31
2015-02-23,28
2015-03-02,15
2015-03-09,22
2015-03-16,14
2015-03-23,20
2015-03-30,17
2015-04-06,13
2015-04-13,24
2015-04-20,26
2015-04-27,28
2015-05-04,33
2015-05-11,30
2015-05-18,24
2015-05-25,23
2015-06-01,22
2015-06-08,25
2015-06-15,19
2015-06-22,7
2015-06-29,9
2015-07-06,22
2015-07-13,20
2015-07-20,18
2015-07-27,21
2015-08-03,16
2015-08-10,23
2015-08-17,19
2015-08-24,20
2015-08-31,15
2015-09-07,21
2015-09-14,16
2015-09-21,9
2015-09-28,6
2015-10-05,18
2015-10-12,17
2015-10-19,12
2015-10-26,17
2015-11-02,21
2015-11-09,24
2015-11-16,22
2015-11-23,26
2015-11-30,20
2015-12-07,12
2015-12-14,9
2015-12-21,9
2016-01-04,11
2016-01-11,22
2016-01-18,25
2016-01-25,13
2016-02-01,20
2016-02-08,12
2016-02-15,23
2016-02-22,26
2016-02-29,33
2016-03-07,28
2016-03-14,20
2016-03-21,14
2016-03-28,27
2016-04-04,23
2016-04-11,31
2016-04-18,18
2016-04-25,21
2016-05-02,44
2016-05-09,22
2016-05-16,22
2016-05-23,21
2016-05-30,24
2016-06-06,24
2016-06-13,37
2016-06-20,37
2016-06-27,33
2016-07-04,23
2016-07-11,34
2016-07-18,25
2016-07-25,20
2016-08-01,25
2016-08-08,19
2016-08-15,12
2016-08-22,15
2016-08-29,12
2016-09-05,34
2016-09-12,23
2016-09-19,19
2016-09-26,31
2016-10-03,38
2016-10-10,39
2016-10-17,24
2016-10-24,21
2016-10-31,17
2016-11-07,27
2016-11-14,17
2016-11-21,26
2016-11-28,11
2016-12-05,19
2016-12-12,25
2016-12-19,13
2016-12-26,8
2017-01-02,13
2017-01-09,22
2017-01-16,14
2017-01-23,21
2017-01-30,29
2017-02-06,30
2017-02-13,34
2017-02-20,24
2017-02-27,16
2017-03-06,31
2017-03-13,30
2017-03-20,30
2017-03-27,24
2017-04-03,26
2017-04-10,17
2017-04-17,24
2017-04-24,22
2017-05-01,18
2017-05-08,24
2017-05-15,31
2017-05-22,26
2017-05-29,30
2017-06-05,28
2017-06-12,19
2017-06-19,33
2017-06-26,24
2017-07-03,23
2017-07-10,20
2017-07-17,26
2017-07-24,23
2017-07-31,40
2017-08-07,24
2017-08-14,20
2017-08-21,21
2017-08-28,27
2017-09-04,34
2017-09-11,18
2017-09-18,23
2017-09-25,27
2017-10-02,24
2017-10-09,20
2017-10-16,20
2017-10-23,19
2017-10-30,19
2017-11-06,43
2017-11-13,37
2017-11-20,27
2017-11-27,33
2017-12-04,41
2017-12-11,18
2017-12-18,25
2017-12-25,32
2018-01-01,17
2018-01-08,30
2018-01-15,32
2018-01-22,49
2018-01-29,38
2018-02-05,34
2018-02-12,26
2018-02-19,28
2018-02-26,38
2018-03-05,34
