ds,y
2013-12-30,0
2014-01-06,13
2014-01-13,10
2014-01-20,20
2014-01-27,19
2014-02-03,18
2014-02-10,16
2014-02-17,16
2014-02-24,17
2014-03-03,18
2014-03-10,24
2014-03-17,15
2014-03-24,20
2014-03-31,20
2014-04-07,18
2014-04-14,16
2014-04-21,20
2014-04-28,5
2014-05-05,19
2014-05-12,12
2014-05-19,19
2014-05-26,22
2014-06-02,14
2014-06-09,49
2014-06-16,30
2014-06-23,35
2014-06-30,40
2014-07-07,10
2014-07-14,54
2014-07-21,33
2014-07-28,44
2014-08-04,13
2014-08-11,14
2014-08-18,38
2014-08-25,24
2014-09-01,11
2014-09-08,29
2014-09-15,22
2014-09-22,40
2014-09-29,72
2014-10-06,24
2014-10-13,77
2014-10-20,65
2014-10-27,27
2014-11-03,51
2014-11-10,18
2014-11-17,19
2014-11-24,55
2014-12-01,15
2014-12-08,18
2014-12-15,36
2014-12-22,8
2014-12-29,61
2015-01-05,17
2015-01-12,62
2015-01-19,27
2015-01-26,19
2015-02-02,26
2015-02-09,15
2015-02-16,26
2015-02-23,14
2015-03-02,16
2015-03-09,27
2015-03-16,38
2015-03-23,13
2015-03-30,18
2015-04-06,25
2015-04-13,24
2015-04-20,10
2015-04-27,9
2015-05-04,6
2015-05-11,27
2015-05-18,9
2015-05-25,17
2015-06-01,16
2015-06-08,34
2015-06-15,11
2015-06-22,16
2015-06-29,18
2015-07-06,14
2015-07-13,11
2015-07-20,15
2015-07-27,18
2015-08-03,26
2015-08-10,22
2015-08-17,20
2015-08-24,30
2015-08-31,32
2015-09-07,20
2015-09-14,16
2015-09-21,25
2015-09-28,43
2015-10-05,33
2015-10-12,39
2015-10-19,23
2015-10-26,24
2015-11-02,18
2015-11-09,26
2015-11-16,25
2015-11-23,31
2015-11-30,16
2015-12-07,9
2015-12-14,5
2015-12-21,5
2016-01-04,10
2016-01-11,18
2016-01-18,26
2016-01-25,19
2016-02-01,19
2016-02-08,20
2016-02-15,23
2016-02-22,28
2016-02-29,24
2016-03-07,33
2016-03-14,18
2016-03-21,8
2016-03-28,23
2016-04-04,22
2016-04-11,24
2016-04-18,19
2016-04-25,46
2016-05-02,19
2016-05-09,31
2016-05-16,31
2016-05-23,18
2016-05-30,17
2016-06-06,19
2016-06-13,18
2016-06-20,22
2016-06-27,14
2016-07-04,13
2016-07-11,41
2016-07-18,30
2016-07-25,19
2016-08-01,25
2016-08-08,23
2016-08-15,20
2016-08-22,26
2016-08-29,29
2016-09-05,27
2016-09-12,22
2016-09-19,19
2016-09-26,47
2016-10-03,34
2016-10-10,30
2016-10-17,27
2016-10-24,45
2016-10-31,37
2016-11-07,44
2016-11-14,44
2016-11-21,22
2016-11-28,42
2016-12-05,38
2016-12-12,41
2016-12-19,42
2016-12-26,29
2017-01-02,41
2017-01-09,35
2017-01-16,40
2017-01-23,39
2017-01-30,26
2017-02-06,34
2017-02-13,40
2017-02-20,64
2017-02-27,50
2017-03-06,33
2017-03-13,38
2017-03-20,38
2017-03-27,39
2017-04-03,48
2017-04-10,20
2017-04-17,38
2017-04-24,42
2017-05-01,30
2017-05-08,31
2017-05-15,33
2017-05-22,27
2017-05-29,35
2017-06-05,22
2017-06-12,24
2017-06-19,19
