ds,y
2013-12-30,0
2014-01-06,10
2014-01-13,7
2014-01-20,14
2014-01-27,17
2014-02-03,17
2014-02-10,14
2014-02-17,16
2014-02-24,15
2014-03-03,14
2014-03-10,21
2014-03-17,12
2014-03-24,14
2014-03-31,15
2014-04-07,15
2014-04-14,12
2014-04-21,18
2014-04-28,3
2014-05-05,16
2014-05-12,5
2014-05-19,18
2014-05-26,18
2014-06-02,12
2014-06-09,39
2014-06-16,24
2014-06-23,32
2014-06-30,33
2014-07-07,8
2014-07-14,51
2014-07-21,29
2014-07-28,39
2014-08-04,9
2014-08-11,11
2014-08-18,33
2014-08-25,21
2014-09-01,9
2014-09-08,23
2014-09-15,21
2014-09-22,36
2014-09-29,67
2014-10-06,20
2014-10-13,58
2014-10-20,58
2014-10-27,18
2014-11-03,45
2014-11-10,14
2014-11-17,17
2014-11-24,51
2014-12-01,13
2014-12-08,16
2014-12-15,24
2014-12-22,7
2014-12-29,57
2015-01-05,13
2015-01-12,59
2015-01-19,20
2015-01-26,15
2015-02-02,20
2015-02-09,13
2015-02-16,21
2015-02-23,12
2015-03-02,14
2015-03-09,23
2015-03-16,35
2015-03-23,10
2015-03-30,16
2015-04-06,24
2015-04-13,20
2015-04-20,6
2015-04-27,8
2015-05-04,5
2015-05-11,20
2015-05-18,5
2015-05-25,13
2015-06-01,11
2015-06-08,32
2015-06-15,11
2015-06-22,13
2015-06-29,13
2015-07-06,12
2015-07-13,8
2015-07-20,11
2015-07-27,14
2015-08-03,21
2015-08-10,19
2015-08-17,15
2015-08-24,30
2015-08-31,29
2015-09-07,19
2015-09-14,13
2015-09-21,22
2015-09-28,36
2015-10-05,24
2015-10-12,31
2015-10-19,16
2015-10-26,20
2015-11-02,14
2015-11-09,21
2015-11-16,19
2015-11-23,26
2015-11-30,15
2015-12-07,7
2015-12-14,3
2015-12-21,4
2016-01-04,10
2016-01-11,17
2016-01-18,22
2016-01-25,15
2016-02-01,12
2016-02-08,13
2016-02-15,16
2016-02-22,23
2016-02-29,19
2016-03-07,29
2016-03-14,13
2016-03-21,7
2016-03-28,17
2016-04-04,14
2016-04-11,23
2016-04-18,16
2016-04-25,32
2016-05-02,12
2016-05-09,24
2016-05-16,24
2016-05-23,15
2016-05-30,14
2016-06-06,17
2016-06-13,13
2016-06-20,16
2016-06-27,11
2016-07-04,10
2016-07-11,38
2016-07-18,22
2016-07-25,16
2016-08-01,16
2016-08-08,19
2016-08-15,13
2016-08-22,18
2016-08-29,26
2016-09-05,21
2016-09-12,16
2016-09-19,14
2016-09-26,31
2016-10-03,21
2016-10-10,23
2016-10-17,14
2016-10-24,33
2016-10-31,26
2016-11-07,38
2016-11-14,35
2016-11-21,13
2016-11-28,34
2016-12-05,31
2016-12-12,30
2016-12-19,27
2016-12-26,20
2017-01-02,32
2017-01-09,28
2017-01-16,30
2017-01-23,28
2017-01-30,18
2017-02-06,25
2017-02-13,28
2017-02-20,49
2017-02-27,36
2017-03-06,27
2017-03-13,27
2017-03-20,26
2017-03-27,30
2017-04-03,33
2017-04-10,13
2017-04-17,30
2017-04-24,32
2017-05-01,21
2017-05-08,22
2017-05-15,27
2017-05-22,19
2017-05-29,22
2017-06-05,17
2017-06-12,17
2017-06-19,14
2017-06-26,31
2017-07-03,30
2017-07-10,15
2017-07-17,18
2017-07-24,21
2017-07-31,24
2017-08-07,23
2017-08-14,28
2017-08-21,24
2017-08-28,35
2017-09-04,27
2017-09-11,10
2017-09-18,30
2017-09-25,29
2017-10-02,22
2017-10-09,30
2017-10-16,36
2017-10-23,30
2017-10-30,25
2017-11-06,27
2017-11-13,30
2017-11-20,16
2017-11-27,26
2017-12-04,16
2017-12-11,19
2017-12-18,16
2017-12-25,8
2018-01-01,23
2018-01-08,23
2018-01-15,8
2018-01-22,16
2018-01-29,19
2018-02-05,24
2018-02-12,20
2018-02-19,31
2018-02-26,32
2018-03-05,20
2018-03-12,31
2018-03-19,19
2018-03-26,18
2018-04-02,25
2018-04-09,36
2018-04-16,26
2018-04-23,18
2018-04-30,32
2018-05-07,16
2018-05-14,26
2018-05-21,30
2018-05-28,15
2018-06-04,30
2018-06-11,15
2018-06-18,21
2018-06-25,18
2018-07-02,25
2018-07-09,21
2018-07-16,17
2018-07-23,15
2018-07-30,17
2018-08-06,20
2018-08-13,33
2018-08-20,29
2018-08-27,28
2018-09-03,21
2018-09-10,16
2018-09-17,34
2018-09-24,30
2018-10-01,35
2018-10-08,31
2018-10-15,33
2018-10-22,23
2018-10-29,21
2018-11-05,18
2018-11-12,24
2018-11-19,23
2018-11-26,27
2018-12-03,21
2018-12-10,15
2018-12-17,9
2018-12-24,13
2018-12-31,17
2019-01-07,15
2019-01-14,34
2019-01-21,23
2019-01-28,19
2019-02-04,21
2019-02-11,22
2019-02-18,12
2019-02-25,23
2019-03-04,28
2019-03-11,22
2019-03-18,22
2019-03-25,17
2019-04-01,16
2019-04-08,11
2019-04-15,15
2019-04-22,10
2019-04-29,6
2019-05-06,14
2019-05-13,22
2019-05-20,17
2019-05-27,20
2019-06-03,18
2019-06-10,10
2019-06-17,25
2019-06-24,17
2019-07-01,16
2019-07-08,31
2019-07-15,22
2019-07-22,17
2019-07-29,9
2019-08-05,19
2019-08-12,15
2019-08-19,19
2019-08-26,24
2019-09-02,12
2019-09-09,10
2019-09-16,16
2019-09-23,18
2019-09-30,32
2019-10-07,22
2019-10-14,28
2019-10-21,32
2019-10-28,20
2019-11-04,12
2019-11-11,21
2019-11-18,25
2019-11-25,19
2019-12-02,19
2019-12-09,7
2019-12-16,18
2019-12-23,9
2019-12-30,8
2020-01-06,16
2020-01-13,25
2020-01-20,18
2020-01-27,24
2020-02-03,15
2020-02-10,20
2020-02-17,24
2020-02-24,14
2020-03-02,13
2020-03-09,26
2020-03-16,21
2020-03-23,15
2020-03-30,5
2020-04-06,3
2020-04-13,5
2020-04-20,5
2020-04-27,7
2020-05-04,13
2020-05-11,6
2020-05-18,4
2020-05-25,7
2020-06-01,10
2020-06-08,8
2020-06-15,6
2020-06-22,9
2020-06-29,6
2020-07-06,7
2020-07-13,6
2020-07-20,11
2020-07-27,6
2020-08-03,15
2020-08-10,17
2020-08-17,10
2020-08-24,11
2020-08-31,17
2020-09-07,22
2020-09-14,18
2020-09-21,20
2020-09-28,19
2020-10-05,19
2020-10-12,23
2020-10-19,19
2020-10-26,43
2020-11-02,19
2020-11-09,25
2020-11-16,13
2020-11-23,16
2020-11-30,17
2020-12-07,28
2020-12-14,15
2020-12-21,9
2020-12-28,8
2021-01-04,18
2021-01-11,12
2021-01-18,11
2021-01-25,21
2021-02-01,15
2021-02-08,20
2021-02-15,20
2021-02-22,19
2021-03-01,22
2021-03-08,24
2021-03-15,27
2021-03-22,29
2021-03-29,16
2021-04-05,32
2021-04-12,27
2021-04-19,23
2021-04-26,26
2021-05-03,21
2021-05-10,26
2021-05-17,26
2021-05-24,41
2021-05-31,29
2021-06-07,35
2021-06-14,28
2021-06-21,34
2021-06-28,32
2021-07-05,28
2021-07-12,26
2021-07-19,27
2021-07-26,19
2021-08-02,22
2021-08-09,23
2021-08-16,16
2021-08-23,15
2021-08-30,24
2021-09-06,20
2021-09-13,9
2021-09-20,25
2021-09-27,16
2021-10-04,24
2021-10-11,19
2021-10-18,21
2021-10-25,19
2021-11-01,15
2021-11-08,25
2021-11-15,23
2021-11-22,26
2021-11-29,29
2021-12-06,18
2021-12-13,92
2021-12-20,34
2021-12-27,16
2022-01-03,22
2022-01-10,27
2022-01-17,44
2022-01-24,37
2022-01-31,22
2022-02-07,24
2022-02-14,23
2022-02-21,31
2022-02-28,25
2022-03-07,34
2022-03-14,58
2022-03-21,29
2022-03-28,39
2022-04-04,31
2022-04-11,33
2022-04-18,27
2022-04-25,32
2022-05-02,21
2022-05-09,35
2022-05-16,26
2022-05-23,32
2022-05-30,28
2022-06-06,42
2022-06-13,30
2022-06-20,18
2022-06-27,29
2022-07-04,31
2022-07-11,25
2022-07-18,22
2022-07-25,24
2022-08-01,29
2022-08-08,25
2022-08-15,36
2022-08-22,29
2022-08-29,19
2022-09-05,20
2022-09-12,26
2022-09-19,41
2022-09-26,32
2022-10-03,17
2022-10-10,29
2022-10-17,22
2022-10-24,16
2022-10-31,19
2022-11-07,35
2022-11-14,28
2022-11-21,40
2022-11-28,17
2022-12-05,18
2022-12-12,18
2022-12-19,18
2022-12-26,16
2023-01-02,15
2023-01-09,19
2023-01-16,22
2023-01-23,22
2023-01-30,37
2023-02-06,46
2023-02-13,26
2023-02-20,31
2023-02-27,38
2023-03-06,38
2023-03-13,43
2023-03-20,44
2023-03-27,29
2023-04-03,26
2023-04-10,43
2023-04-17,35
2023-04-24,42
2023-05-01,35
2023-05-08,28
2023-05-15,57
2023-05-22,49
2023-05-29,38
2023-06-05,53
2023-06-12,49
2023-06-19,39
2023-06-26,30
2023-07-03,47
2023-07-10,35
2023-07-17,40
2023-07-24,30
2023-07-31,23
2023-08-07,37
2023-08-14,41
2023-08-21,40
2023-08-28,58
2023-09-04,47
2023-09-11,32
2023-09-18,38
2023-09-25,44
2023-10-02,38
2023-10-09,74
2023-10-16,44
2023-10-23,25
2023-10-30,33
2023-11-06,29
2023-11-13,30
2023-11-20,24
2023-11-27,41
2023-12-04,68
2023-12-11,48
2023-12-18,17
2023-12-25,19
2024-01-01,25
2024-01-08,55
2024-01-15,63
2024-01-22,50
2024-01-29,66
2024-02-05,38
2024-02-12,39
2024-02-19,46
2024-02-26,56
