ds,y
2013-12-30,1
2014-01-06,51
2014-01-13,46
2014-01-20,43
2014-01-27,52
2014-02-03,47
2014-02-10,51
2014-02-17,67
2014-02-24,79
2014-03-03,51
2014-03-10,61
2014-03-17,70
2014-03-24,75
2014-03-31,86
2014-04-07,109
2014-04-14,64
2014-04-21,94
2014-04-28,80
2014-05-05,62
2014-05-12,78
2014-05-19,124
2014-05-26,102
2014-06-02,86
2014-06-09,129
2014-06-16,120
2014-06-23,120
2014-06-30,75
2014-07-07,99
2014-07-14,124
2014-07-21,99
2014-07-28,117
2014-08-04,96
2014-08-11,119
2014-08-18,102
2014-08-25,125
2014-09-01,162
2014-09-08,98
2014-09-15,90
2014-09-22,162
2014-09-29,126
2014-10-06,113
2014-10-13,119
2014-10-20,135
2014-10-27,137
2014-11-03,84
2014-11-10,96
2014-11-17,109
2014-11-24,118
2014-12-01,106
2014-12-08,120
2014-12-15,33
2014-12-22,94
2014-12-29,190
2015-01-05,97
2015-01-12,94
2015-01-19,118
2015-01-26,99
2015-02-02,96
2015-02-09,110
2015-02-16,111
2015-02-23,95
2015-03-02,86
2015-03-09,92
2015-03-16,71
2015-03-23,118
2015-03-30,115
2015-04-06,115
2015-04-13,132
2015-04-20,124
2015-04-27,90
2015-05-04,118
2015-05-11,144
2015-05-18,123
2015-05-25,120
2015-06-01,141
2015-06-08,123
2015-06-15,133
2015-06-22,163
2015-06-29,113
2015-07-06,117
2015-07-13,119
2015-07-20,151
2015-07-27,110
2015-08-03,132
2015-08-10,140
2015-08-17,151
2015-08-24,103
2015-08-31,135
2015-09-07,131
2015-09-14,142
2015-09-21,145
2015-09-28,86
2015-10-05,130
2015-10-12,145
2015-10-19,142
2015-10-26,155
2015-11-02,165
2015-11-09,164
2015-11-16,158
2015-11-23,165
2015-11-30,152
2015-12-07,41
2015-12-14,211
2015-12-21,109
2016-01-04,122
2016-01-11,126
2016-01-18,173
2016-01-25,172
2016-02-01,133
2016-02-08,149
2016-02-15,110
2016-02-22,206
2016-02-29,157
2016-03-07,163
2016-03-14,198
2016-03-21,147
2016-03-28,184
2016-04-04,203
2016-04-11,123
2016-04-18,175
2016-04-25,206
2016-05-02,172
2016-05-09,150
2016-05-16,150
2016-05-23,178
2016-05-30,166
2016-06-06,160
2016-06-13,165
2016-06-20,159
2016-06-27,166
2016-07-04,150
2016-07-11,190
2016-07-18,173
2016-07-25,144
2016-08-01,159
2016-08-08,170
2016-08-15,154
2016-08-22,186
2016-08-29,172
2016-09-05,127
2016-09-12,79
2016-09-19,188
2016-09-26,207
2016-10-03,168
2016-10-10,192
2016-10-17,214
2016-10-24,185
2016-10-31,183
2016-11-07,190
2016-11-14,144
2016-11-21,162
2016-11-28,136
2016-12-05,116
2016-12-12,97
2016-12-19,130
2016-12-26,169
2017-01-02,155
2017-01-09,207
2017-01-16,232
2017-01-23,201
2017-01-30,171
2017-02-06,146
2017-02-13,148
2017-02-20,189
2017-02-27,179
2017-03-06,148
2017-03-13,137
2017-03-20,187
2017-03-27,209
2017-04-03,158
2017-04-10,148
2017-04-17,168
2017-04-24,177
2017-05-01,159
2017-05-08,195
2017-05-15,168
2017-05-22,260
2017-05-29,254
2017-06-05,195
2017-06-12,211
2017-06-19,189
2017-06-26,218
2017-07-03,173
2017-07-10,179
2017-07-17,172
2017-07-24,189
2017-07-31,220
2017-08-07,175
2017-08-14,169
2017-08-21,196
2017-08-28,225
2017-09-04,234
2017-09-11,371
2017-09-18,287
2017-09-25,268
2017-10-02,236
2017-10-09,234
2017-10-16,201
2017-10-23,196
2017-10-30,118
2017-11-06,256
2017-11-13,270
2017-11-20,286
2017-11-27,260
2017-12-04,227
2017-12-11,163
2017-12-18,174
2017-12-25,155
2018-01-01,173
2018-01-08,79
2018-01-15,170
2018-01-22,278
2018-01-29,209
2018-02-05,159
2018-02-12,173
2018-02-19,193
2018-02-26,184
2018-03-05,218
2018-03-12,208
2018-03-19,150
2018-03-26,178
2018-04-02,194
2018-04-09,202
2018-04-16,197
2018-04-23,174
2018-04-30,145
2018-05-07,183
2018-05-14,188
2018-05-21,222
2018-05-28,210
2018-06-04,208
2018-06-11,256
2018-06-18,214
2018-06-25,239
2018-07-02,227
2018-07-09,253
2018-07-16,211
2018-07-23,258
2018-07-30,177
2018-08-06,321
2018-08-13,349
2018-08-20,235
2018-08-27,277
2018-09-03,212
2018-09-10,261
2018-09-17,225
2018-09-24,241
2018-10-01,260
2018-10-08,233
2018-10-15,223
2018-10-22,224
2018-10-29,219
2018-11-05,192
2018-11-12,169
2018-11-19,231
2018-11-26,257
2018-12-03,198
2018-12-10,198
2018-12-17,216
2018-12-24,164
2018-12-31,157
2019-01-07,206
2019-01-14,222
2019-01-21,225
2019-01-28,238
2019-02-04,126
2019-02-11,183
2019-02-18,192
2019-02-25,179
2019-03-04,179
2019-03-11,216
2019-03-18,210
2019-03-25,293
2019-04-01,250
2019-04-08,253
2019-04-15,213
2019-04-22,237
2019-04-29,235
2019-05-06,193
2019-05-13,229
2019-05-20,192
2019-05-27,263
2019-06-03,234
2019-06-10,160
2019-06-17,157
2019-06-24,192
2019-07-01,246
2019-07-08,238
2019-07-15,210
2019-07-22,218
2019-07-29,233
2019-08-05,221
2019-08-12,207
2019-08-19,189
2019-08-26,202
2019-09-02,214
2019-09-09,201
2019-09-16,140
2019-09-23,220
2019-09-30,203
2019-10-07,176
2019-10-14,187
2019-10-21,226
2019-10-28,199
2019-11-04,259
2019-11-11,225
2019-11-18,203
2019-11-25,146
2019-12-02,217
2019-12-09,252
2019-12-16,209
2019-12-23,128
2019-12-30,153
2020-01-06,211
2020-01-13,213
2020-01-20,193
2020-01-27,239
2020-02-03,183
2020-02-10,186
2020-02-17,216
2020-02-24,216
2020-03-02,258
2020-03-09,212
2020-03-16,108
2020-03-23,144
2020-03-30,86
2020-04-06,73
2020-04-13,50
2020-04-20,78
2020-04-27,63
2020-05-04,83
2020-05-11,59
2020-05-18,47
2020-05-25,61
2020-06-01,74
2020-06-08,81
2020-06-15,47
2020-06-22,140
2020-06-29,101
2020-07-06,81
2020-07-13,112
2020-07-20,68
