ds,y
2013-12-30,0
2014-01-06,8
2014-01-13,13
2014-01-20,4
2014-01-27,10
2014-02-03,7
2014-02-10,8
2014-02-17,15
2014-02-24,15
2014-03-03,10
2014-03-10,14
2014-03-17,15
2014-03-24,13
2014-03-31,23
2014-04-07,20
2014-04-14,18
2014-04-21,26
2014-04-28,23
2014-05-05,11
2014-05-12,21
2014-05-19,23
2014-05-26,22
2014-06-02,17
2014-06-09,28
2014-06-16,29
2014-06-23,33
2014-06-30,15
2014-07-07,20
2014-07-14,31
2014-07-21,19
2014-07-28,30
2014-08-04,15
2014-08-11,25
2014-08-18,22
2014-08-25,31
2014-09-01,38
2014-09-08,25
2014-09-15,26
2014-09-22,33
2014-09-29,36
2014-10-06,25
2014-10-13,31
2014-10-20,38
2014-10-27,31
2014-11-03,14
2014-11-10,29
2014-11-17,38
2014-11-24,35
2014-12-01,32
2014-12-08,29
2014-12-15,5
2014-12-22,43
2014-12-29,57
2015-01-05,38
2015-01-12,26
2015-01-19,43
2015-01-26,35
2015-02-02,25
2015-02-09,33
2015-02-16,41
2015-02-23,31
2015-03-02,24
2015-03-09,35
2015-03-16,20
2015-03-23,31
2015-03-30,29
2015-04-06,31
2015-04-13,32
2015-04-20,32
2015-04-27,19
2015-05-04,20
2015-05-11,41
2015-05-18,28
2015-05-25,37
2015-06-01,38
2015-06-08,26
2015-06-15,32
2015-06-22,48
2015-06-29,24
2015-07-06,26
2015-07-13,20
2015-07-20,42
2015-07-27,34
2015-08-03,40
2015-08-10,49
2015-08-17,44
2015-08-24,28
2015-08-31,37
2015-09-07,46
2015-09-14,44
2015-09-21,43
2015-09-28,17
2015-10-05,42
2015-10-12,51
2015-10-19,40
2015-10-26,52
2015-11-02,66
2015-11-09,63
2015-11-16,52
2015-11-23,58
2015-11-30,48
2015-12-07,9
2015-12-14,87
2015-12-21,37
2016-01-04,38
2016-01-11,43
2016-01-18,50
2016-01-25,59
2016-02-01,33
2016-02-08,50
2016-02-15,40
2016-02-22,70
2016-02-29,46
2016-03-07,52
2016-03-14,54
2016-03-21,48
2016-03-28,53
2016-04-04,66
2016-04-11,27
