ds,y
2013-12-30,1
2014-01-06,43
2014-01-13,33
2014-01-20,39
2014-01-27,42
2014-02-03,40
2014-02-10,43
2014-02-17,52
2014-02-24,64
2014-03-03,41
2014-03-10,47
2014-03-17,55
2014-03-24,62
2014-03-31,63
2014-04-07,89
2014-04-14,46
2014-04-21,68
2014-04-28,57
2014-05-05,51
2014-05-12,57
2014-05-19,101
2014-05-26,80
2014-06-02,69
2014-06-09,101
2014-06-16,91
2014-06-23,87
2014-06-30,60
2014-07-07,79
2014-07-14,93
2014-07-21,80
2014-07-28,87
2014-08-04,81
2014-08-11,94
2014-08-18,80
2014-08-25,94
2014-09-01,124
2014-09-08,73
2014-09-15,64
2014-09-22,129
2014-09-29,90
2014-10-06,88
2014-10-13,88
2014-10-20,97
2014-10-27,106
2014-11-03,70
2014-11-10,67
2014-11-17,71
2014-11-24,83
2014-12-01,74
2014-12-08,91
2014-12-15,28
2014-12-22,51
2014-12-29,133
2015-01-05,59
2015-01-12,68
2015-01-19,75
2015-01-26,64
2015-02-02,71
2015-02-09,77
2015-02-16,70
2015-02-23,64
2015-03-02,62
2015-03-09,57
2015-03-16,51
2015-03-23,87
2015-03-30,86
2015-04-06,84
2015-04-13,100
2015-04-20,92
2015-04-27,71
2015-05-04,98
2015-05-11,103
2015-05-18,95
2015-05-25,83
2015-06-01,103
2015-06-08,97
2015-06-15,101
2015-06-22,115
2015-06-29,89
2015-07-06,91
2015-07-13,99
2015-07-20,109
2015-07-27,76
2015-08-03,92
2015-08-10,91
2015-08-17,107
2015-08-24,75
2015-08-31,98
2015-09-07,85
2015-09-14,98
2015-09-21,102
2015-09-28,69
2015-10-05,88
2015-10-12,94
2015-10-19,102
2015-10-26,103
2015-11-02,99
2015-11-09,101
2015-11-16,106
2015-11-23,107
2015-11-30,104
2015-12-07,32
2015-12-14,124
2015-12-21,72
2016-01-04,84
2016-01-11,83
2016-01-18,123
2016-01-25,113
2016-02-01,100
2016-02-08,99
2016-02-15,70
2016-02-22,136
2016-02-29,111
2016-03-07,111
2016-03-14,144
2016-03-21,99
2016-03-28,131
2016-04-04,137
2016-04-11,96
2016-04-18,126
2016-04-25,143
2016-05-02,108
2016-05-09,108
2016-05-16,108
2016-05-23,128
2016-05-30,126
2016-06-06,119
2016-06-13,126
2016-06-20,112
2016-06-27,106
2016-07-04,114
2016-07-11,136
2016-07-18,116
2016-07-25,107
2016-08-01,115
2016-08-08,115
2016-08-15,106
2016-08-22,110
2016-08-29,111
2016-09-05,96
2016-09-12,57
2016-09-19,138
2016-09-26,132
2016-10-03,122
2016-10-10,129
2016-10-17,143
2016-10-24,114
2016-10-31,109
2016-11-07,127
2016-11-14,109
2016-11-21,110
2016-11-28,95
2016-12-05,76
2016-12-12,55
2016-12-19,80
2016-12-26,97
2017-01-02,101
2017-01-09,139
2017-01-16,156
2017-01-23,129
2017-01-30,111
2017-02-06,97
2017-02-13,110
2017-02-20,122
2017-02-27,123
2017-03-06,106
2017-03-13,113
2017-03-20,143
2017-03-27,159
2017-04-03,120
2017-04-10,104
2017-04-17,115
2017-04-24,135
2017-05-01,115
2017-05-08,142
2017-05-15,132
2017-05-22,181
2017-05-29,203
2017-06-05,142
2017-06-12,144
2017-06-19,149
2017-06-26,154
2017-07-03,108
2017-07-10,126
2017-07-17,130
2017-07-24,142
2017-07-31,157
2017-08-07,133
2017-08-14,126
2017-08-21,139
2017-08-28,157
2017-09-04,168
2017-09-11,296
2017-09-18,198
2017-09-25,190
2017-10-02,172
2017-10-09,156
2017-10-16,139
2017-10-23,134
2017-10-30,97
2017-11-06,178
2017-11-13,168
2017-11-20,159
2017-11-27,167
2017-12-04,154
2017-12-11,105
2017-12-18,105
2017-12-25,102
2018-01-01,120
2018-01-08,63
2018-01-15,123
2018-01-22,188
2018-01-29,148
2018-02-05,120
2018-02-12,133
2018-02-19,134
2018-02-26,132
2018-03-05,157
2018-03-12,157
2018-03-19,110
2018-03-26,116
2018-04-02,138
2018-04-09,151
2018-04-16,138
2018-04-23,124
2018-04-30,97
2018-05-07,124
2018-05-14,150
2018-05-21,159
2018-05-28,147
2018-06-04,151
2018-06-11,180
2018-06-18,152
2018-06-25,166
2018-07-02,168
2018-07-09,176
2018-07-16,158
2018-07-23,187
2018-07-30,137
2018-08-06,219
2018-08-13,244
2018-08-20,181
2018-08-27,198
2018-09-03,163
2018-09-10,179
2018-09-17,165
2018-09-24,160
2018-10-01,175
2018-10-08,161
2018-10-15,163
2018-10-22,160
2018-10-29,152
2018-11-05,133
2018-11-12,123
2018-11-19,157
2018-11-26,167
2018-12-03,143
2018-12-10,137
2018-12-17,142
2018-12-24,103
2018-12-31,90
2019-01-07,148
2019-01-14,150
2019-01-21,159
2019-01-28,165
2019-02-04,80
2019-02-11,138
2019-02-18,151
2019-02-25,130
2019-03-04,139
2019-03-11,158
2019-03-18,145
2019-03-25,204
2019-04-01,169
2019-04-08,174
2019-04-15,149
2019-04-22,161
2019-04-29,147
2019-05-06,138
2019-05-13,165
2019-05-20,142
2019-05-27,181
2019-06-03,164
2019-06-10,119
2019-06-17,127
2019-06-24,138
2019-07-01,174
2019-07-08,156
2019-07-15,149
2019-07-22,145
2019-07-29,160
2019-08-05,153
2019-08-12,134
2019-08-19,125
2019-08-26,145
2019-09-02,154
2019-09-09,146
2019-09-16,109
2019-09-23,157
2019-09-30,154
2019-10-07,129
2019-10-14,130
2019-10-21,161
2019-10-28,131
2019-11-04,180
2019-11-11,153
2019-11-18,142
2019-11-25,108
2019-12-02,145
2019-12-09,176
2019-12-16,144
2019-12-23,87
2019-12-30,94
2020-01-06,136
2020-01-13,149
2020-01-20,145
2020-01-27,169
2020-02-03,121
2020-02-10,136
2020-02-17,159
2020-02-24,159
2020-03-02,194
2020-03-09,152
2020-03-16,87
2020-03-23,112
2020-03-30,61
2020-04-06,48
2020-04-13,30
2020-04-20,58
2020-04-27,47
2020-05-04,57
2020-05-11,40
2020-05-18,38
2020-05-25,51
2020-06-01,55
2020-06-08,55
2020-06-15,41
2020-06-22,101
2020-06-29,73
2020-07-06,60
2020-07-13,79
2020-07-20,51
2020-07-27,55
2020-08-03,65
2020-08-10,77
2020-08-17,71
2020-08-24,83
2020-08-31,68
2020-09-07,97
2020-09-14,58
2020-09-21,97
2020-09-28,83
2020-10-05,62
2020-10-12,79
2020-10-19,66
2020-10-26,53
2020-11-02,53
2020-11-09,49
2020-11-16,45
2020-11-23,59
2020-11-30,99
2020-12-07,80
2020-12-14,46
2020-12-21,37
2020-12-28,59
2021-01-04,59
2021-01-11,54
2021-01-18,73
2021-01-25,69
2021-02-01,91
2021-02-08,88
2021-02-15,89
2021-02-22,141
2021-03-01,79
2021-03-08,115
2021-03-15,82
2021-03-22,100
2021-03-29,60
2021-04-05,81
2021-04-12,111
2021-04-19,90
2021-04-26,102
2021-05-03,93
2021-05-10,90
2021-05-17,114
2021-05-24,100
2021-05-31,110
2021-06-07,103
2021-06-14,119
2021-06-21,107
2021-06-28,101
2021-07-05,81
2021-07-12,130
2021-07-19,94
2021-07-26,87
2021-08-02,118
2021-08-09,94
2021-08-16,91
2021-08-23,98
2021-08-30,106
2021-09-06,110
2021-09-13,100
2021-09-20,105
2021-09-27,105
2021-10-04,130
2021-10-11,98
2021-10-18,116
2021-10-25,100
2021-11-01,57
2021-11-08,88
2021-11-15,85
2021-11-22,79
2021-11-29,100
2021-12-06,124
2021-12-13,69
2021-12-20,50
2021-12-27,36
2022-01-03,63
2022-01-10,81
2022-01-17,74
2022-01-24,107
2022-01-31,87
2022-02-07,100
2022-02-14,102
2022-02-21,112
2022-02-28,128
2022-03-07,122
2022-03-14,127
2022-03-21,114
2022-03-28,98
2022-04-04,140
2022-04-11,106
2022-04-18,131
2022-04-25,115
2022-05-02,74
2022-05-09,115
2022-05-16,97
2022-05-23,124
2022-05-30,132
2022-06-06,113
2022-06-13,108
2022-06-20,84
2022-06-27,95
2022-07-04,96
2022-07-11,127
2022-07-18,106
2022-07-25,87
2022-08-01,133
2022-08-08,124
2022-08-15,91
2022-08-22,99
2022-08-29,97
2022-09-05,131
2022-09-12,91
2022-09-19,121
2022-09-26,136
2022-10-03,117
2022-10-10,60
2022-10-17,103
2022-10-24,124
2022-10-31,81
2022-11-07,134
2022-11-14,100
2022-11-21,100
2022-11-28,61
2022-12-05,98
2022-12-12,48
2022-12-19,61
2022-12-26,34
2023-01-02,71
2023-01-09,86
2023-01-16,116
2023-01-23,98
2023-01-30,110
2023-02-06,89
2023-02-13,102
2023-02-20,127
2023-02-27,95
2023-03-06,134
2023-03-13,129
2023-03-20,80
2023-03-27,76
2023-04-03,93
2023-04-10,77
2023-04-17,181
2023-04-24,99
2023-05-01,107
2023-05-08,129
2023-05-15,147
2023-05-22,88
2023-05-29,120
2023-06-05,135
2023-06-12,111
2023-06-19,117
2023-06-26,115
2023-07-03,160
2023-07-10,104
2023-07-17,109
2023-07-24,98
2023-07-31,101
2023-08-07,176
2023-08-14,129
2023-08-21,138
2023-08-28,87
2023-09-04,194
2023-09-11,139
2023-09-18,124
2023-09-25,122
2023-10-02,120
2023-10-09,183
2023-10-16,141
2023-10-23,77
2023-10-30,123
2023-11-06,134
2023-11-13,154
2023-11-20,54
2023-11-27,111
2023-12-04,176
2023-12-11,109
2023-12-18,83
2023-12-25,139
2024-01-01,58
2024-01-08,103
2024-01-15,134
2024-01-22,151
2024-01-29,125
2024-02-05,118
2024-02-12,150
2024-02-19,177
2024-02-26,129
2024-03-04,146
2024-03-11,149
2024-03-18,100
2024-03-25,82
2024-04-01,116
2024-04-08,126
2024-04-15,126
2024-04-22,114
2024-04-29,93
2024-05-06,115
2024-05-13,123
2024-05-20,112
2024-05-27,143
2024-06-03,130
2024-06-10,135
2024-06-17,105
2024-06-24,118
2024-07-01,96
2024-07-08,136
2024-07-15,121
2024-07-22,91
2024-07-29,96
2024-08-05,121
2024-08-12,103
2024-08-19,126
2024-08-26,85
2024-09-02,108
2024-09-09,128
2024-09-16,106
2024-09-23,116
2024-09-30,89
2024-10-07,136
2024-10-14,116
2024-10-21,109
2024-10-28,91
2024-11-04,105
2024-11-11,102
2024-11-18,88
2024-11-25,121
2024-12-02,8
2024-12-09,81
2024-12-16,85
2024-12-23,47
2024-12-30,46
