ds,y
2013-12-30,8
2014-01-06,71
2014-01-13,150
2014-01-20,224
2014-01-27,200
2014-02-03,126
2014-02-10,341
2014-02-17,309
2014-02-24,273
2014-03-03,257
2014-03-10,316
2014-03-17,339
2014-03-24,321
2014-03-31,319
2014-04-07,362
2014-04-14,192
2014-04-21,264
2014-04-28,273
2014-05-05,247
2014-05-12,314
2014-05-19,340
2014-05-26,296
2014-06-02,346
2014-06-09,336
2014-06-16,373
2014-06-23,376
2014-06-30,294
2014-07-07,239
2014-07-14,262
2014-07-21,264
2014-07-28,179
2014-08-04,236
2014-08-11,231
2014-08-18,293
2014-08-25,216
2014-09-01,250
2014-09-08,227
2014-09-15,250
2014-09-22,263
2014-09-29,191
2014-10-06,181
2014-10-13,289
2014-10-20,297
2014-10-27,247
2014-11-03,256
2014-11-10,215
2014-11-17,246
2014-11-24,262
2014-12-01,223
2014-12-08,190
2014-12-15,156
2014-12-22,120
2014-12-29,218
2015-01-05,189
2015-01-12,290
2015-01-19,204
2015-01-26,224
2015-02-02,230
2015-02-09,369
2015-02-16,255
2015-02-23,304
2015-03-02,215
2015-03-09,232
2015-03-16,407
2015-03-23,244
2015-03-30,354
2015-04-06,389
2015-04-13,384
2015-04-20,477
2015-04-27,368
2015-05-04,401
2015-05-11,452
2015-05-18,346
2015-05-25,376
2015-06-01,405
2015-06-08,334
2015-06-15,393
2015-06-22,363
2015-06-29,333
2015-07-06,332
2015-07-13,382
2015-07-20,314
2015-07-27,351
2015-08-03,323
2015-08-10,395
2015-08-17,327
2015-08-24,314
2015-08-31,360
2015-09-07,253
2015-09-14,338
2015-09-21,296
2015-09-28,390
2015-10-05,438
2015-10-12,416
2015-10-19,305
2015-10-26,326
2015-11-02,325
2015-11-09,309
2015-11-16,314
2015-11-23,332
2015-11-30,298
2015-12-07,271
2015-12-14,175
2015-12-21,188
2016-01-04,243
2016-01-11,344
2016-01-18,340
2016-01-25,242
2016-02-01,364
2016-02-08,409
2016-02-15,343
2016-02-22,508
2016-02-29,307
2016-03-07,327
2016-03-14,365
2016-03-21,226
2016-03-28,372
2016-04-04,365
2016-04-11,371
2016-04-18,445
2016-04-25,377
2016-05-02,328
2016-05-09,364
2016-05-16,364
2016-05-23,370
2016-05-30,328
2016-06-06,422
2016-06-13,373
2016-06-20,387
2016-06-27,297
2016-07-04,358
2016-07-11,311
2016-07-18,380
2016-07-25,296
2016-08-01,312
2016-08-08,328
2016-08-15,355
2016-08-22,330
2016-08-29,318
2016-09-05,328
2016-09-12,223
2016-09-19,353
2016-09-26,306
2016-10-03,284
2016-10-10,580
2016-10-17,368
2016-10-24,276
2016-10-31,289
2016-11-07,328
2016-11-14,289
2016-11-21,289
2016-11-28,322
2016-12-05,303
2016-12-12,302
2016-12-19,167
2016-12-26,136
2017-01-02,200
2017-01-09,392
2017-01-16,394
2017-01-23,423
2017-01-30,323
2017-02-06,307
2017-02-13,440
2017-02-20,404
2017-02-27,372
2017-03-06,371
2017-03-13,378
2017-03-20,314
2017-03-27,365
2017-04-03,351
2017-04-10,256
2017-04-17,395
2017-04-24,360
2017-05-01,266
2017-05-08,327
2017-05-15,359
2017-05-22,357
2017-05-29,382
2017-06-05,369
2017-06-12,375
2017-06-19,413
2017-06-26,463
2017-07-03,352
2017-07-10,334
2017-07-17,372
2017-07-24,295
2017-07-31,280
2017-08-07,313
2017-08-14,364
2017-08-21,364
2017-08-28,341
2017-09-04,321
2017-09-11,164
2017-09-18,321
2017-09-25,305
2017-10-02,382
2017-10-09,341
2017-10-16,356
2017-10-23,371
2017-10-30,241
2017-11-06,325
2017-11-13,338
2017-11-20,247
2017-11-27,299
2017-12-04,304
2017-12-11,267
2017-12-18,201
2017-12-25,205
2018-01-01,138
2018-01-08,361
2018-01-15,328
2018-01-22,277
2018-01-29,327
2018-02-05,264
2018-02-12,368
2018-02-19,351
2018-02-26,295
2018-03-05,398
2018-03-12,359
2018-03-19,298
2018-03-26,267
2018-04-02,361
2018-04-09,411
2018-04-16,382
2018-04-23,395
2018-04-30,293
2018-05-07,267
2018-05-14,366
2018-05-21,366
2018-05-28,341
2018-06-04,381
2018-06-11,360
2018-06-18,363
2018-06-25,367
2018-07-02,290
2018-07-09,325
2018-07-16,366
2018-07-23,390
2018-07-30,306
2018-08-06,318
2018-08-13,346
2018-08-20,425
2018-08-27,438
2018-09-03,372
2018-09-10,480
2018-09-17,400
2018-09-24,483
2018-10-01,403
2018-10-08,415
2018-10-15,476
2018-10-22,440
2018-10-29,339
2018-11-05,392
2018-11-12,398
2018-11-19,315
2018-11-26,441
2018-12-03,384
2018-12-10,343
2018-12-17,257
2018-12-24,155
2018-12-31,164
2019-01-07,321
2019-01-14,353
2019-01-21,401
2019-01-28,363
2019-02-04,350
2019-02-11,397
2019-02-18,541
2019-02-25,402
2019-03-04,487
2019-03-11,409
2019-03-18,387
2019-03-25,307
2019-04-01,596
2019-04-08,442
2019-04-15,324
2019-04-22,417
2019-04-29,410
2019-05-06,383
2019-05-13,473
2019-05-20,462
2019-05-27,435
2019-06-03,407
2019-06-10,413
2019-06-17,424
2019-06-24,353
2019-07-01,371
2019-07-08,843
2019-07-15,394
2019-07-22,411
2019-07-29,337
2019-08-05,345
2019-08-12,300
2019-08-19,381
2019-08-26,338
2019-09-02,343
2019-09-09,289
2019-09-16,263
2019-09-23,344
2019-09-30,330
2019-10-07,391
2019-10-14,356
2019-10-21,354
2019-10-28,372
2019-11-04,339
2019-11-11,357
2019-11-18,306
2019-11-25,458
2019-12-02,382
2019-12-09,329
2019-12-16,305
2019-12-23,164
2019-12-30,159
2020-01-06,210
2020-01-13,336
2020-01-20,335
2020-01-27,376
2020-02-03,304
2020-02-10,360
2020-02-17,404
2020-02-24,314
2020-03-02,360
2020-03-09,314
2020-03-16,244
2020-03-23,248
2020-03-30,171
2020-04-06,126
2020-04-13,126
2020-04-20,120
2020-04-27,86
2020-05-04,149
2020-05-11,109
2020-05-18,184
2020-05-25,148
2020-06-01,143
2020-06-08,125
2020-06-15,161
2020-06-22,279
2020-06-29,197
2020-07-06,243
2020-07-13,348
2020-07-20,205
2020-07-27,285
2020-08-03,203
2020-08-10,259
2020-08-17,200
2020-08-24,236
2020-08-31,290
2020-09-07,303
2020-09-14,184
2020-09-21,230
2020-09-28,289
2020-10-05,216
2020-10-12,291
2020-10-19,259
2020-10-26,321
2020-11-02,257
2020-11-09,255
2020-11-16,224
2020-11-23,259
2020-11-30,236
2020-12-07,230
2020-12-14,226
