ds,y
2013-12-30,0
2014-01-06,17
2014-01-13,35
2014-01-20,72
2014-01-27,51
2014-02-03,26
2014-02-10,96
2014-02-17,85
2014-02-24,86
2014-03-03,52
2014-03-10,118
2014-03-17,102
2014-03-24,84
2014-03-31,76
2014-04-07,107
2014-04-14,53
2014-04-21,71
2014-04-28,86
2014-05-05,69
2014-05-12,59
2014-05-19,96
2014-05-26,81
2014-06-02,98
2014-06-09,93
2014-06-16,104
2014-06-23,111
2014-06-30,82
2014-07-07,67
2014-07-14,62
2014-07-21,75
2014-07-28,40
2014-08-04,43
2014-08-11,49
2014-08-18,64
2014-08-25,55
2014-09-01,58
2014-09-08,75
2014-09-15,64
2014-09-22,76
2014-09-29,64
2014-10-06,52
2014-10-13,75
2014-10-20,76
2014-10-27,62
2014-11-03,62
2014-11-10,45
2014-11-17,64
2014-11-24,54
2014-12-01,53
2014-12-08,49
2014-12-15,46
2014-12-22,34
2014-12-29,52
2015-01-05,44
2015-01-12,58
2015-01-19,67
2015-01-26,58
2015-02-02,50
2015-02-09,113
2015-02-16,62
2015-02-23,73
2015-03-02,55
2015-03-09,46
2015-03-16,90
2015-03-23,49
2015-03-30,82
2015-04-06,86
2015-04-13,102
2015-04-20,135
2015-04-27,90
2015-05-04,103
2015-05-11,120
2015-05-18,78
2015-05-25,86
2015-06-01,106
2015-06-08,94
2015-06-15,105
2015-06-22,96
2015-06-29,92
2015-07-06,80
2015-07-13,100
2015-07-20,69
2015-07-27,69
2015-08-03,73
2015-08-10,114
2015-08-17,70
2015-08-24,59
2015-08-31,87
2015-09-07,61
2015-09-14,75
2015-09-21,64
2015-09-28,92
2015-10-05,103
2015-10-12,103
2015-10-19,79
2015-10-26,73
2015-11-02,76
2015-11-09,59
2015-11-16,81
2015-11-23,103
2015-11-30,61
2015-12-07,64
2015-12-14,38
2015-12-21,51
2016-01-04,62
2016-01-11,86
2016-01-18,91
2016-01-25,44
2016-02-01,92
2016-02-08,97
2016-02-15,82
2016-02-22,129
2016-02-29,65
2016-03-07,87
2016-03-14,96
2016-03-21,54
2016-03-28,86
2016-04-04,75
2016-04-11,84
2016-04-18,106
2016-04-25,91
2016-05-02,83
2016-05-09,95
2016-05-16,95
2016-05-23,75
2016-05-30,68
2016-06-06,86
2016-06-13,66
2016-06-20,103
2016-06-27,58
2016-07-04,91
2016-07-11,67
2016-07-18,92
2016-07-25,73
2016-08-01,78
2016-08-08,84
2016-08-15,78
2016-08-22,81
2016-08-29,73
2016-09-05,72
2016-09-12,50
2016-09-19,104
2016-09-26,75
2016-10-03,47
2016-10-10,135
2016-10-17,90
2016-10-24,59
2016-10-31,80
2016-11-07,90
2016-11-14,80
2016-11-21,70
2016-11-28,75
2016-12-05,63
2016-12-12,62
2016-12-19,47
2016-12-26,46
2017-01-02,43
2017-01-09,94
2017-01-16,84
2017-01-23,106
2017-01-30,77
2017-02-06,82
2017-02-13,109
2017-02-20,93
2017-02-27,95
2017-03-06,92
2017-03-13,108
2017-03-20,87
2017-03-27,77
2017-04-03,96
2017-04-10,57
2017-04-17,89
2017-04-24,95
2017-05-01,54
2017-05-08,107
2017-05-15,70
2017-05-22,97
2017-05-29,117
2017-06-05,102
2017-06-12,89
2017-06-19,121
2017-06-26,109
2017-07-03,92
2017-07-10,90
2017-07-17,107
2017-07-24,91
2017-07-31,82
2017-08-07,99
2017-08-14,95
2017-08-21,95
2017-08-28,92
2017-09-04,85
2017-09-11,40
2017-09-18,75
2017-09-25,90
2017-10-02,97
2017-10-09,91
2017-10-16,87
2017-10-23,104
2017-10-30,67
2017-11-06,83
2017-11-13,94
2017-11-20,73
2017-11-27,78
2017-12-04,72
2017-12-11,82
2017-12-18,64
2017-12-25,54
2018-01-01,42
2018-01-08,105
2018-01-15,77
2018-01-22,68
2018-01-29,106
2018-02-05,72
2018-02-12,105
2018-02-19,100
2018-02-26,72
2018-03-05,123
2018-03-12,82
2018-03-19,76
2018-03-26,73
2018-04-02,96
2018-04-09,113
2018-04-16,89
2018-04-23,116
2018-04-30,77
2018-05-07,60
2018-05-14,101
2018-05-21,81
2018-05-28,93
2018-06-04,99
2018-06-11,85
2018-06-18,99
2018-06-25,82
2018-07-02,74
2018-07-09,90
2018-07-16,86
2018-07-23,107
2018-07-30,83
2018-08-06,95
2018-08-13,94
2018-08-20,94
2018-08-27,112
2018-09-03,90
2018-09-10,133
2018-09-17,108
2018-09-24,111
2018-10-01,103
2018-10-08,107
2018-10-15,134
2018-10-22,119
2018-10-29,96
2018-11-05,113
2018-11-12,120
2018-11-19,75
2018-11-26,110
2018-12-03,102
2018-12-10,95
2018-12-17,65
2018-12-24,58
2018-12-31,48
2019-01-07,91
2019-01-14,89
2019-01-21,110
2019-01-28,84
2019-02-04,97
2019-02-11,112
2019-02-18,154
2019-02-25,99
2019-03-04,137
2019-03-11,104
2019-03-18,86
2019-03-25,87
2019-04-01,161
2019-04-08,107
2019-04-15,88
2019-04-22,126
2019-04-29,110
2019-05-06,111
2019-05-13,136
2019-05-20,134
2019-05-27,121
2019-06-03,109
2019-06-10,105
2019-06-17,107
2019-06-24,94
2019-07-01,109
2019-07-08,225
2019-07-15,99
2019-07-22,122
2019-07-29,85
2019-08-05,97
2019-08-12,63
2019-08-19,95
2019-08-26,92
2019-09-02,82
2019-09-09,79
2019-09-16,66
2019-09-23,75
2019-09-30,92
2019-10-07,95
2019-10-14,102
2019-10-21,82
2019-10-28,92
2019-11-04,88
2019-11-11,93
2019-11-18,74
2019-11-25,134
2019-12-02,123
2019-12-09,100
2019-12-16,90
2019-12-23,47
2019-12-30,45
2020-01-06,51
2020-01-13,92
2020-01-20,98
2020-01-27,99
2020-02-03,84
2020-02-10,114
2020-02-17,109
2020-02-24,83
2020-03-02,101
2020-03-09,77
2020-03-16,61
2020-03-23,74
2020-03-30,50
2020-04-06,36
2020-04-13,44
2020-04-20,45
2020-04-27,34
2020-05-04,62
2020-05-11,33
2020-05-18,71
2020-05-25,48
2020-06-01,48
2020-06-08,32
2020-06-15,50
2020-06-22,94
2020-06-29,71
2020-07-06,74
2020-07-13,134
