ds,y
2013-12-30,8
2014-01-06,54
2014-01-13,115
2014-01-20,152
2014-01-27,149
2014-02-03,100
2014-02-10,245
2014-02-17,224
2014-02-24,187
2014-03-03,205
2014-03-10,198
2014-03-17,237
2014-03-24,237
2014-03-31,243
2014-04-07,255
2014-04-14,139
2014-04-21,193
2014-04-28,187
2014-05-05,178
2014-05-12,255
2014-05-19,244
2014-05-26,215
2014-06-02,248
2014-06-09,243
2014-06-16,269
2014-06-23,265
2014-06-30,212
2014-07-07,172
2014-07-14,200
2014-07-21,189
2014-07-28,139
2014-08-04,193
2014-08-11,182
2014-08-18,229
2014-08-25,161
2014-09-01,192
2014-09-08,152
2014-09-15,186
2014-09-22,187
2014-09-29,127
2014-10-06,129
2014-10-13,214
2014-10-20,221
2014-10-27,185
2014-11-03,194
2014-11-10,170
2014-11-17,182
2014-11-24,208
2014-12-01,170
2014-12-08,141
2014-12-15,110
2014-12-22,86
2014-12-29,166
2015-01-05,145
2015-01-12,232
2015-01-19,137
2015-01-26,166
2015-02-02,180
2015-02-09,256
2015-02-16,193
2015-02-23,231
2015-03-02,160
2015-03-09,186
2015-03-16,317
2015-03-23,195
2015-03-30,272
2015-04-06,303
2015-04-13,282
2015-04-20,342
2015-04-27,278
2015-05-04,298
2015-05-11,332
2015-05-18,268
2015-05-25,290
2015-06-01,299
2015-06-08,240
2015-06-15,288
2015-06-22,267
2015-06-29,241
2015-07-06,252
2015-07-13,282
2015-07-20,245
2015-07-27,282
2015-08-03,250
2015-08-10,281
2015-08-17,257
2015-08-24,255
2015-08-31,273
2015-09-07,192
2015-09-14,263
2015-09-21,232
2015-09-28,298
2015-10-05,335
2015-10-12,313
2015-10-19,226
2015-10-26,253
2015-11-02,249
2015-11-09,250
2015-11-16,233
2015-11-23,229
2015-11-30,237
2015-12-07,207
2015-12-14,137
2015-12-21,137
2016-01-04,181
2016-01-11,258
2016-01-18,249
2016-01-25,198
2016-02-01,272
2016-02-08,312
2016-02-15,261
2016-02-22,379
2016-02-29,242
2016-03-07,240
2016-03-14,269
2016-03-21,172
2016-03-28,286
2016-04-04,290
2016-04-11,287
2016-04-18,339
2016-04-25,286
2016-05-02,245
2016-05-09,269
2016-05-16,269
2016-05-23,295
2016-05-30,260
2016-06-06,336
2016-06-13,307
2016-06-20,284
2016-06-27,239
2016-07-04,267
2016-07-11,244
2016-07-18,288
2016-07-25,223
2016-08-01,234
2016-08-08,244
2016-08-15,277
2016-08-22,249
2016-08-29,245
2016-09-05,256
2016-09-12,173
2016-09-19,249
2016-09-26,231
2016-10-03,237
2016-10-10,445
2016-10-17,278
2016-10-24,217
2016-10-31,209
2016-11-07,238
2016-11-14,209
2016-11-21,219
2016-11-28,247
2016-12-05,240
2016-12-12,240
2016-12-19,120
2016-12-26,90
2017-01-02,157
2017-01-09,298
2017-01-16,310
2017-01-23,317
2017-01-30,246
2017-02-06,225
2017-02-13,331
2017-02-20,311
2017-02-27,277
2017-03-06,279
2017-03-13,270
2017-03-20,227
2017-03-27,288
2017-04-03,255
2017-04-10,199
2017-04-17,306
2017-04-24,265
2017-05-01,212
2017-05-08,220
2017-05-15,289
2017-05-22,260
2017-05-29,265
2017-06-05,267
2017-06-12,286
2017-06-19,292
2017-06-26,354
2017-07-03,260
2017-07-10,244
2017-07-17,265
2017-07-24,204
2017-07-31,198
2017-08-07,214
2017-08-14,269
2017-08-21,269
2017-08-28,249
2017-09-04,236
2017-09-11,124
2017-09-18,246
2017-09-25,215
2017-10-02,285
2017-10-09,250
2017-10-16,269
2017-10-23,267
2017-10-30,174
2017-11-06,242
2017-11-13,244
2017-11-20,174
2017-11-27,221
2017-12-04,232
2017-12-11,185
2017-12-18,137
2017-12-25,151
2018-01-01,96
2018-01-08,256
2018-01-15,251
2018-01-22,209
2018-01-29,221
2018-02-05,192
2018-02-12,263
2018-02-19,251
2018-02-26,223
2018-03-05,275
2018-03-12,277
2018-03-19,222
2018-03-26,194
2018-04-02,265
2018-04-09,298
2018-04-16,293
2018-04-23,279
2018-04-30,216
2018-05-07,207
2018-05-14,265
2018-05-21,285
2018-05-28,248
2018-06-04,282
2018-06-11,275
2018-06-18,264
2018-06-25,285
2018-07-02,216
2018-07-09,235
2018-07-16,280
2018-07-23,283
2018-07-30,223
2018-08-06,223
2018-08-13,252
2018-08-20,331
2018-08-27,326
2018-09-03,282
2018-09-10,347
2018-09-17,292
2018-09-24,372
2018-10-01,300
2018-10-08,308
2018-10-15,342
2018-10-22,321
2018-10-29,243
2018-11-05,279
2018-11-12,278
2018-11-19,240
2018-11-26,331
2018-12-03,282
2018-12-10,248
2018-12-17,192
2018-12-24,97
2018-12-31,116
2019-01-07,230
2019-01-14,264
2019-01-21,291
2019-01-28,279
2019-02-04,253
2019-02-11,285
2019-02-18,387
2019-02-25,303
2019-03-04,350
2019-03-11,305
2019-03-18,301
2019-03-25,220
2019-04-01,435
2019-04-08,335
2019-04-15,236
2019-04-22,291
2019-04-29,300
2019-05-06,272
2019-05-13,337
2019-05-20,328
2019-05-27,314
2019-06-03,298
2019-06-10,308
2019-06-17,317
2019-06-24,259
2019-07-01,262
2019-07-08,618
2019-07-15,295
2019-07-22,289
2019-07-29,252
2019-08-05,248
2019-08-12,237
2019-08-19,286
2019-08-26,246
2019-09-02,261
2019-09-09,210
2019-09-16,197
2019-09-23,269
2019-09-30,238
2019-10-07,296
2019-10-14,254
2019-10-21,272
2019-10-28,280
2019-11-04,251
2019-11-11,264
2019-11-18,232
2019-11-25,324
2019-12-02,259
2019-12-09,229
2019-12-16,215
2019-12-23,117
2019-12-30,114
2020-01-06,159
2020-01-13,244
2020-01-20,237
2020-01-27,277
2020-02-03,220
