ds,y
2013-12-30,6
2014-01-06,23
2014-01-13,19
2014-01-20,2
2014-01-27,75
2014-02-03,11
2014-02-10,34
2014-02-17,44
2014-02-24,33
2014-03-03,33
2014-03-10,57
2014-03-17,17
2014-03-24,45
2014-03-31,44
2014-04-07,43
2014-04-14,18
2014-04-21,32
2014-04-28,35
2014-05-05,41
2014-05-12,40
2014-05-19,32
2014-05-26,43
2014-06-02,37
2014-06-09,55
2014-06-16,44
2014-06-23,30
2014-06-30,43
2014-07-07,39
2014-07-14,37
2014-07-21,55
2014-07-28,17
2014-08-04,70
2014-08-11,48
2014-08-18,60
2014-08-25,66
2014-09-01,43
2014-09-08,32
2014-09-15,26
2014-09-22,38
2014-09-29,46
2014-10-06,40
2014-10-13,53
2014-10-20,51
2014-10-27,39
2014-11-03,26
2014-11-10,26
2014-11-17,21
2014-11-24,31
2014-12-01,34
2014-12-08,35
2014-12-15,34
2014-12-22,22
2014-12-29,39
2015-01-05,30
2015-01-12,44
2015-01-19,36
2015-01-26,37
2015-02-02,40
2015-02-09,28
2015-02-16,31
2015-02-23,35
2015-03-02,36
2015-03-09,49
2015-03-16,9
2015-03-23,14
2015-03-30,28
2015-04-06,38
2015-04-13,20
2015-04-20,21
2015-04-27,12
2015-05-04,20
2015-05-11,27
2015-05-18,29
2015-05-25,22
2015-06-01,29
2015-06-08,27
2015-06-15,23
2015-06-22,21
2015-06-29,18
2015-07-06,12
2015-07-13,19
2015-07-20,14
2015-07-27,32
2015-08-03,63
2015-08-10,28
2015-08-17,26
2015-08-24,35
2015-08-31,20
2015-09-07,19
2015-09-14,26
2015-09-21,21
2015-09-28,15
2015-10-05,22
2015-10-12,20
2015-10-19,15
2015-10-26,15
2015-11-02,8
2015-11-09,16
2015-11-16,16
2015-11-23,13
2015-11-30,11
2015-12-07,11
2015-12-14,5
2015-12-21,20
2016-01-04,9
2016-01-11,16
2016-01-18,8
2016-01-25,9
2016-02-01,3
2016-02-08,34
2016-02-15,18
2016-02-22,15
2016-02-29,19
2016-03-07,14
2016-03-14,12
2016-03-21,3
2016-03-28,11
2016-04-04,10
2016-04-11,7
2016-04-18,7
2016-04-25,11
2016-05-02,16
2016-05-09,60
2016-05-16,34
2016-05-23,16
2016-05-30,21
2016-06-06,11
2016-06-13,12
2016-06-20,13
2016-06-27,61
2016-07-04,8
2016-07-11,11
2016-07-18,10
2016-07-25,10
2016-08-01,12
2016-08-08,11
2016-08-15,14
2016-08-22,4
2016-08-29,13
2016-09-05,12
2016-09-12,11
2016-09-19,12
2016-09-26,12
2016-10-03,17
2016-10-10,13
2016-10-17,15
2016-10-24,8
2016-10-31,6
2016-11-07,6
2016-11-14,3
2016-11-21,12
2016-11-28,5
2016-12-05,7
2016-12-12,6
2016-12-19,1
2016-12-26,5
2017-01-02,10
2017-01-09,27
2017-01-16,27
2017-01-23,21
2017-01-30,28
2017-02-06,21
2017-02-13,33
2017-02-20,38
2017-02-27,42
2017-03-06,23
2017-03-13,47
2017-03-20,20
2017-03-27,28
2017-04-03,32
2017-04-10,14
2017-04-17,26
2017-04-24,26
2017-05-01,5
2017-05-08,44
2017-05-15,32
2017-05-22,32
2017-05-29,30
2017-06-05,32
2017-06-12,40
2017-06-19,18
2017-06-26,17
2017-07-03,28
2017-07-10,27
2017-07-17,22
2017-07-24,36
2017-07-31,33
2017-08-07,22
2017-08-14,44
2017-08-21,50
2017-08-28,57
2017-09-04,37
2017-09-11,38
2017-09-18,34
2017-09-25,45
2017-10-02,89
2017-10-09,71
2017-10-16,60
2017-10-23,46
2017-10-30,44
2017-11-06,44
2017-11-13,33
2017-11-20,21
2017-11-27,22
2017-12-04,50
2017-12-11,44
2017-12-18,26
2017-12-25,22
2018-01-01,16
2018-01-08,16
2018-01-15,26
2018-01-22,14
2018-01-29,24
2018-02-05,15
2018-02-12,21
2018-02-19,22
2018-02-26,27
2018-03-05,29
2018-03-12,17
2018-03-19,13
2018-03-26,26
2018-04-02,19
2018-04-09,21
2018-04-16,32
2018-04-23,31
2018-04-30,14
2018-05-07,25
2018-05-14,15
2018-05-21,18
2018-05-28,15
2018-06-04,22
2018-06-11,10
2018-06-18,55
2018-06-25,52
2018-07-02,77
2018-07-09,11
2018-07-16,16
2018-07-23,25
2018-07-30,8
2018-08-06,9
2018-08-13,13
2018-08-20,16
2018-08-27,9
2018-09-03,15
2018-09-10,15
2018-09-17,10
2018-09-24,18
2018-10-01,5
2018-10-08,6
2018-10-15,6
2018-10-22,6
2018-10-29,12
2018-11-05,9
2018-11-12,20
2018-11-19,13
2018-11-26,18
2018-12-03,14
2018-12-10,6
2018-12-17,6
2018-12-24,10
2018-12-31,23
2019-01-07,28
2019-01-14,21
2019-01-21,14
2019-01-28,21
2019-02-04,18
2019-02-11,31
2019-02-18,34
2019-02-25,33
2019-03-04,25
2019-03-11,29
2019-03-18,38
2019-03-25,36
2019-04-01,40
2019-04-08,30
2019-04-15,26
2019-04-22,38
2019-04-29,32
2019-05-06,34
2019-05-13,48
2019-05-20,46
2019-05-27,29
2019-06-03,43
2019-06-10,33
2019-06-17,37
2019-06-24,43
2019-07-01,44
2019-07-08,39
2019-07-15,27
2019-07-22,33
2019-07-29,32
2019-08-05,40
2019-08-12,43
2019-08-19,31
2019-08-26,45
2019-09-02,30
2019-09-09,46
2019-09-16,39
2019-09-23,42
2019-09-30,52
2019-10-07,34
2019-10-14,57
2019-10-21,48
2019-10-28,46
2019-11-04,38
2019-11-11,28
2019-11-18,48
2019-11-25,16
2019-12-02,44
2019-12-09,38
2019-12-16,11
2019-12-23,21
2019-12-30,21
2020-01-06,29
2020-01-13,30
2020-01-20,46
2020-01-27,31
2020-02-03,22
2020-02-10,27
2020-02-17,25
2020-02-24,40
2020-03-02,23
2020-03-09,42
2020-03-16,23
2020-03-23,18
2020-03-30,8
2020-04-06,9
2020-04-13,18
2020-04-20,22
2020-04-27,10
2020-05-04,21
2020-05-11,17
2020-05-18,21
2020-05-25,19
2020-06-01,19
2020-06-08,20
2020-06-15,11
2020-06-22,16
2020-06-29,16
2020-07-06,16
2020-07-13,19
2020-07-20,14
2020-07-27,17
2020-08-03,14
2020-08-10,16
2020-08-17,16
2020-08-24,17
2020-08-31,19
2020-09-07,20
2020-09-14,19
2020-09-21,12
2020-09-28,19
2020-10-05,14
2020-10-12,28
2020-10-19,32
2020-10-26,17
2020-11-02,24
2020-11-09,22
2020-11-16,25
2020-11-23,37
2020-11-30,17
2020-12-07,20
2020-12-14,23
2020-12-21,10
2020-12-28,12
2021-01-04,14
2021-01-11,20
2021-01-18,30
2021-01-25,36
2021-02-01,28
2021-02-08,30
2021-02-15,19
2021-02-22,19
2021-03-01,33
2021-03-08,23
2021-03-15,26
2021-03-22,31
2021-03-29,25
2021-04-05,46
2021-04-12,35
2021-04-19,44
2021-04-26,35
2021-05-03,37
2021-05-10,45
2021-05-17,39
2021-05-24,36
2021-05-31,31
2021-06-07,16
2021-06-14,39
2021-06-21,35
2021-06-28,49
2021-07-05,18
2021-07-12,51
2021-07-19,34
2021-07-26,28
2021-08-02,35
2021-08-09,65
2021-08-16,28
2021-08-23,39
2021-08-30,28
2021-09-06,30
2021-09-13,37
2021-09-20,23
2021-09-27,44
2021-10-04,20
2021-10-11,60
2021-10-18,28
2021-10-25,36
2021-11-01,33
2021-11-08,38
2021-11-15,16
2021-11-22,24
2021-11-29,75
2021-12-06,54
2021-12-13,28
2021-12-20,16
2021-12-27,43
2022-01-03,39
2022-01-10,33
2022-01-17,31
2022-01-24,44
2022-01-31,39
2022-02-07,33
2022-02-14,51
2022-02-21,17
2022-02-28,43
2022-03-07,81
2022-03-14,41
2022-03-21,73
2022-03-28,40
2022-04-04,64
2022-04-11,48
2022-04-18,84
2022-04-25,43
2022-05-02,2
2022-05-09,76
2022-05-16,47
2022-05-23,84
2022-05-30,57
2022-06-06,49
2022-06-13,32
2022-06-20,13
2022-06-27,55
2022-07-04,58
2022-07-11,74
2022-07-18,15
2022-07-25,67
2022-08-01,67
2022-08-08,60
2022-08-15,53
2022-08-22,90
2022-08-29,86
2022-09-05,54
2022-09-12,69
2022-09-19,75
2022-09-26,78
2022-10-03,78
2022-10-10,62
2022-10-17,34
2022-10-24,106
2022-10-31,77
2022-11-07,55
2022-11-14,61
2022-11-21,57
2022-11-28,69
2022-12-05,70
2022-12-12,73
2022-12-19,52
2022-12-26,36
2023-01-02,45
2023-01-09,59
2023-01-16,57
2023-01-23,50
2023-01-30,91
2023-02-06,70
2023-02-13,68
2023-02-20,74
2023-02-27,76
2023-03-06,51
2023-03-13,66
2023-03-20,65
2023-03-27,52
2023-04-03,41
2023-04-10,77
2023-04-17,68
2023-04-24,67
2023-05-01,59
2023-05-08,63
2023-05-15,75
2023-05-22,69
2023-05-29,91
2023-06-05,79
2023-06-12,72
2023-06-19,58
2023-06-26,79
2023-07-03,61
2023-07-10,65
2023-07-17,69
2023-07-24,40
2023-07-31,49
2023-08-07,64
2023-08-14,69
2023-08-21,74
2023-08-28,65
2023-09-04,73
2023-09-11,87
2023-09-18,59
2023-09-25,48
2023-10-02,74
2023-10-09,113
2023-10-16,55
2023-10-23,103
2023-10-30,42
2023-11-06,65
2023-11-13,17
2023-11-20,74
2023-11-27,49
2023-12-04,53
2023-12-11,45
2023-12-18,34
2023-12-25,54
2024-01-01,23
2024-01-08,51
2024-01-15,60
2024-01-22,53
2024-01-29,62
2024-02-05,52
2024-02-12,54
2024-02-19,64
2024-02-26,58
2024-03-04,44
2024-03-11,46
2024-03-18,30
2024-03-25,39
2024-04-01,51
2024-04-08,39
2024-04-15,60
2024-04-22,64
2024-04-29,49
2024-05-06,64
2024-05-13,33
2024-05-20,49
2024-05-27,62
2024-06-03,60
2024-06-10,34
2024-06-17,38
2024-06-24,61
2024-07-01,55
2024-07-08,56
2024-07-15,50
2024-07-22,25
2024-07-29,56
2024-08-05,48
2024-08-12,42
2024-08-19,49
2024-08-26,41
2024-09-02,56
2024-09-09,87
2024-09-16,38
2024-09-23,86
2024-09-30,46
2024-10-07,43
2024-10-14,103
2024-10-21,58
2024-10-28,55
2024-11-04,50
2024-11-11,72
2024-11-18,46
2024-11-25,56
2024-12-02,49
2024-12-09,38
2024-12-16,23
2024-12-23,48
2024-12-30,27
