ds,y
2013-12-30,2
2014-01-06,4
2014-01-13,2
2014-01-20,0
2014-01-27,18
2014-02-03,2
2014-02-10,11
2014-02-17,12
2014-02-24,7
2014-03-03,8
2014-03-10,16
2014-03-17,3
2014-03-24,6
2014-03-31,12
2014-04-07,7
2014-04-14,4
2014-04-21,5
2014-04-28,5
2014-05-05,9
2014-05-12,7
2014-05-19,8
2014-05-26,5
2014-06-02,8
2014-06-09,7
2014-06-16,12
2014-06-23,9
2014-06-30,9
2014-07-07,13
2014-07-14,3
2014-07-21,18
2014-07-28,1
2014-08-04,17
2014-08-11,12
2014-08-18,11
2014-08-25,7
2014-09-01,6
2014-09-08,5
2014-09-15,7
2014-09-22,7
2014-09-29,7
2014-10-06,12
2014-10-13,13
2014-10-20,9
2014-10-27,7
2014-11-03,4
2014-11-10,5
2014-11-17,3
2014-11-24,4
2014-12-01,5
2014-12-08,12
2014-12-15,5
2014-12-22,7
2014-12-29,11
2015-01-05,11
2015-01-12,11
2015-01-19,7
2015-01-26,8
2015-02-02,9
2015-02-09,11
2015-02-16,5
2015-02-23,4
2015-03-02,10
2015-03-09,12
2015-03-16,2
2015-03-23,3
2015-03-30,1
2015-04-06,7
2015-04-13,3
2015-04-20,6
2015-04-27,2
2015-05-04,5
2015-05-11,5
2015-05-18,5
2015-05-25,4
2015-06-01,7
2015-06-08,4
2015-06-15,5
2015-06-22,9
2015-06-29,4
2015-07-06,4
2015-07-13,2
2015-07-20,3
2015-07-27,9
2015-08-03,12
2015-08-10,6
2015-08-17,7
2015-08-24,9
2015-08-31,4
2015-09-07,3
2015-09-14,6
2015-09-21,5
2015-09-28,2
2015-10-05,5
2015-10-12,6
2015-10-19,3
2015-10-26,4
2015-11-02,1
2015-11-09,5
2015-11-16,4
2015-11-23,3
2015-11-30,6
2015-12-07,2
2015-12-14,3
2015-12-21,10
2016-01-04,4
2016-01-11,1
2016-01-18,1
2016-01-25,3
2016-02-01,0
2016-02-08,10
2016-02-15,7
2016-02-22,1
2016-02-29,5
2016-03-07,1
2016-03-14,5
2016-03-21,0
2016-03-28,3
2016-04-04,3
2016-04-11,1
2016-04-18,0
2016-04-25,3
2016-05-02,5
2016-05-09,34
2016-05-16,8
2016-05-23,6
2016-05-30,4
2016-06-06,2
2016-06-13,0
2016-06-20,1
2016-06-27,28
2016-07-04,1
2016-07-11,1
2016-07-18,2
2016-07-25,3
2016-08-01,2
2016-08-08,3
2016-08-15,6
2016-08-22,2
2016-08-29,3
2016-09-05,4
2016-09-12,2
2016-09-19,3
2016-09-26,2
2016-10-03,5
2016-10-10,3
2016-10-17,3
2016-10-24,1
2016-10-31,2
2016-11-07,1
2016-11-14,0
2016-11-21,2
2016-11-28,3
2016-12-05,2
2016-12-12,0
2016-12-19,0
2016-12-26,1
2017-01-02,3
2017-01-09,7
2017-01-16,7
2017-01-23,5
2017-01-30,4
2017-02-06,3
2017-02-13,6
2017-02-20,5
2017-02-27,10
2017-03-06,5
2017-03-13,7
2017-03-20,4
2017-03-27,4
2017-04-03,6
2017-04-10,1
2017-04-17,6
2017-04-24,4
2017-05-01,2
2017-05-08,8
2017-05-15,6
2017-05-22,5
2017-05-29,3
2017-06-05,7
2017-06-12,9
2017-06-19,4
2017-06-26,3
2017-07-03,6
2017-07-10,5
2017-07-17,3
2017-07-24,12
2017-07-31,5
2017-08-07,7
2017-08-14,9
2017-08-21,6
2017-08-28,8
2017-09-04,6
2017-09-11,2
2017-09-18,8
2017-09-25,7
2017-10-02,15
2017-10-09,26
2017-10-16,19
2017-10-23,10
2017-10-30,16
2017-11-06,9
2017-11-13,6
2017-11-20,2
2017-11-27,4
2017-12-04,16
2017-12-11,10
2017-12-18,7
2017-12-25,3
2018-01-01,3
2018-01-08,3
2018-01-15,7
2018-01-22,2
2018-01-29,8
2018-02-05,2
2018-02-12,4
2018-02-19,5
2018-02-26,6
2018-03-05,3
2018-03-12,9
2018-03-19,3
2018-03-26,7
2018-04-02,9
2018-04-09,4
2018-04-16,11
2018-04-23,9
2018-04-30,4
2018-05-07,5
2018-05-14,2
2018-05-21,5
2018-05-28,4
2018-06-04,8
2018-06-11,3
2018-06-18,18
2018-06-25,23
2018-07-02,29
2018-07-09,0
2018-07-16,7
2018-07-23,7
2018-07-30,3
2018-08-06,1
2018-08-13,8
2018-08-20,5
2018-08-27,3
2018-09-03,6
2018-09-10,3
2018-09-17,3
2018-09-24,5
2018-10-01,1
2018-10-08,3
2018-10-15,3
2018-10-22,2
2018-10-29,4
2018-11-05,2
2018-11-12,8
2018-11-19,2
2018-11-26,8
2018-12-03,3
2018-12-10,0
2018-12-17,0
2018-12-24,7
2018-12-31,7
2019-01-07,4
2019-01-14,4
2019-01-21,4
2019-01-28,6
2019-02-04,3
2019-02-11,5
2019-02-18,12
2019-02-25,5
2019-03-04,8
2019-03-11,3
2019-03-18,17
2019-03-25,10
2019-04-01,12
2019-04-08,5
2019-04-15,4
2019-04-22,10
2019-04-29,7
2019-05-06,12
2019-05-13,11
2019-05-20,17
2019-05-27,5
2019-06-03,14
2019-06-10,10
2019-06-17,13
2019-06-24,9
2019-07-01,10
2019-07-08,12
2019-07-15,3
2019-07-22,11
2019-07-29,8
2019-08-05,11
2019-08-12,8
2019-08-19,9
2019-08-26,12
2019-09-02,6
2019-09-09,7
2019-09-16,11
2019-09-23,16
2019-09-30,16
2019-10-07,9
2019-10-14,15
2019-10-21,8
2019-10-28,12
2019-11-04,13
2019-11-11,5
2019-11-18,17
2019-11-25,12
2019-12-02,8
2019-12-09,8
2019-12-16,5
2019-12-23,6
2019-12-30,5
2020-01-06,8
2020-01-13,8
2020-01-20,10
2020-01-27,6
2020-02-03,5
2020-02-10,8
2020-02-17,3
2020-02-24,10
2020-03-02,1
2020-03-09,9
2020-03-16,4
2020-03-23,2
2020-03-30,1
2020-04-06,2
2020-04-13,6
2020-04-20,5
2020-04-27,1
2020-05-04,3
2020-05-11,4
2020-05-18,5
2020-05-25,6
2020-06-01,4
2020-06-08,7
2020-06-15,6
2020-06-22,3
2020-06-29,5
2020-07-06,6
2020-07-13,7
2020-07-20,5
2020-07-27,3
2020-08-03,7
2020-08-10,3
2020-08-17,2
2020-08-24,5
2020-08-31,2
2020-09-07,2
2020-09-14,7
2020-09-21,1
2020-09-28,2
2020-10-05,4
2020-10-12,6
2020-10-19,7
2020-10-26,4
2020-11-02,4
2020-11-09,6
2020-11-16,7
2020-11-23,4
2020-11-30,2
2020-12-07,4
2020-12-14,9
2020-12-21,1
2020-12-28,3
2021-01-04,1
2021-01-11,3
2021-01-18,8
2021-01-25,17
2021-02-01,7
2021-02-08,5
2021-02-15,7
2021-02-22,5
2021-03-01,10
2021-03-08,10
2021-03-15,4
2021-03-22,7
2021-03-29,8
2021-04-05,12
2021-04-12,11
2021-04-19,12
2021-04-26,9
2021-05-03,7
2021-05-10,11
2021-05-17,8
2021-05-24,12
2021-05-31,5
2021-06-07,2
2021-06-14,10
2021-06-21,8
2021-06-28,14
2021-07-05,5
2021-07-12,16
2021-07-19,13
2021-07-26,6
2021-08-02,12
2021-08-09,19
2021-08-16,4
2021-08-23,11
2021-08-30,1
2021-09-06,6
2021-09-13,6
2021-09-20,9
2021-09-27,12
2021-10-04,8
2021-10-11,15
2021-10-18,4
2021-10-25,3
2021-11-01,8
2021-11-08,5
2021-11-15,2
2021-11-22,1
2021-11-29,28
2021-12-06,15
2021-12-13,5
2021-12-20,4
2021-12-27,11
2022-01-03,10
2022-01-10,13
2022-01-17,8
2022-01-24,11
2022-01-31,9
2022-02-07,12
2022-02-14,13
2022-02-21,6
2022-02-28,9
2022-03-07,30
2022-03-14,19
2022-03-21,20
2022-03-28,13
2022-04-04,22
2022-04-11,19
2022-04-18,23
2022-04-25,13
2022-05-02,1
2022-05-09,8
2022-05-16,18
2022-05-23,24
2022-05-30,31
2022-06-06,13
2022-06-13,9
2022-06-20,9
2022-06-27,29
2022-07-04,17
2022-07-11,23
2022-07-18,1
2022-07-25,20
2022-08-01,17
2022-08-08,17
2022-08-15,17
2022-08-22,8
2022-08-29,28
2022-09-05,8
2022-09-12,20
2022-09-19,21
2022-09-26,28
2022-10-03,19
2022-10-10,17
2022-10-17,8
2022-10-24,28
2022-10-31,20
2022-11-07,17
2022-11-14,18
2022-11-21,13
2022-11-28,27
2022-12-05,27
2022-12-12,25
2022-12-19,11
2022-12-26,10
2023-01-02,17
2023-01-09,19
2023-01-16,23
2023-01-23,13
2023-01-30,29
2023-02-06,17
