ds,y
2013-12-30,4
2014-01-06,19
2014-01-13,17
2014-01-20,2
2014-01-27,57
2014-02-03,9
2014-02-10,23
2014-02-17,32
2014-02-24,26
2014-03-03,25
2014-03-10,41
2014-03-17,14
2014-03-24,39
2014-03-31,32
2014-04-07,36
2014-04-14,14
2014-04-21,27
2014-04-28,30
2014-05-05,32
2014-05-12,33
2014-05-19,24
2014-05-26,38
2014-06-02,29
2014-06-09,48
2014-06-16,32
2014-06-23,21
2014-06-30,34
2014-07-07,26
2014-07-14,34
2014-07-21,37
2014-07-28,16
2014-08-04,53
2014-08-11,36
2014-08-18,49
2014-08-25,59
2014-09-01,37
2014-09-08,27
2014-09-15,19
2014-09-22,31
2014-09-29,39
2014-10-06,28
2014-10-13,40
2014-10-20,42
2014-10-27,32
2014-11-03,22
2014-11-10,21
2014-11-17,18
2014-11-24,27
2014-12-01,29
2014-12-08,23
2014-12-15,29
2014-12-22,15
2014-12-29,28
2015-01-05,19
2015-01-12,33
2015-01-19,29
2015-01-26,29
2015-02-02,31
2015-02-09,17
2015-02-16,26
2015-02-23,31
2015-03-02,26
2015-03-09,37
2015-03-16,7
2015-03-23,11
2015-03-30,27
2015-04-06,31
2015-04-13,17
2015-04-20,15
2015-04-27,10
2015-05-04,15
2015-05-11,22
2015-05-18,24
2015-05-25,18
2015-06-01,22
2015-06-08,23
2015-06-15,18
2015-06-22,12
2015-06-29,14
2015-07-06,8
2015-07-13,17
2015-07-20,11
2015-07-27,23
2015-08-03,51
2015-08-10,22
2015-08-17,19
2015-08-24,26
2015-08-31,16
2015-09-07,16
2015-09-14,20
2015-09-21,16
2015-09-28,13
2015-10-05,17
2015-10-12,14
2015-10-19,12
2015-10-26,11
2015-11-02,7
2015-11-09,11
2015-11-16,12
2015-11-23,10
2015-11-30,5
2015-12-07,9
2015-12-14,2
2015-12-21,10
2016-01-04,5
2016-01-11,15
2016-01-18,7
2016-01-25,6
2016-02-01,3
2016-02-08,24
2016-02-15,11
2016-02-22,14
2016-02-29,14
2016-03-07,13
2016-03-14,7
2016-03-21,3
2016-03-28,8
2016-04-04,7
2016-04-11,6
2016-04-18,7
2016-04-25,8
2016-05-02,11
2016-05-09,26
2016-05-16,26
2016-05-23,10
2016-05-30,17
2016-06-06,9
2016-06-13,12
2016-06-20,12
2016-06-27,33
2016-07-04,7
2016-07-11,10
2016-07-18,8
2016-07-25,7
2016-08-01,10
2016-08-08,8
2016-08-15,8
2016-08-22,2
2016-08-29,10
2016-09-05,8
2016-09-12,9
2016-09-19,9
2016-09-26,10
2016-10-03,12
2016-10-10,10
2016-10-17,12
2016-10-24,7
2016-10-31,4
2016-11-07,5
2016-11-14,3
2016-11-21,10
2016-11-28,2
2016-12-05,5
2016-12-12,6
2016-12-19,1
2016-12-26,4
2017-01-02,7
2017-01-09,20
2017-01-16,20
2017-01-23,16
2017-01-30,24
2017-02-06,18
2017-02-13,27
2017-02-20,33
2017-02-27,32
2017-03-06,18
2017-03-13,40
2017-03-20,16
2017-03-27,24
2017-04-03,26
2017-04-10,13
2017-04-17,20
2017-04-24,22
2017-05-01,3
2017-05-08,36
2017-05-15,26
2017-05-22,27
2017-05-29,27
2017-06-05,25
2017-06-12,31
2017-06-19,14
2017-06-26,14
2017-07-03,22
2017-07-10,22
2017-07-17,19
2017-07-24,24
2017-07-31,28
2017-08-07,15
2017-08-14,35
2017-08-21,44
2017-08-28,49
2017-09-04,31
2017-09-11,36
2017-09-18,26
2017-09-25,38
2017-10-02,74
2017-10-09,45
2017-10-16,41
2017-10-23,36
2017-10-30,28
2017-11-06,35
2017-11-13,27
2017-11-20,19
2017-11-27,18
2017-12-04,34
2017-12-11,34
2017-12-18,19
2017-12-25,19
2018-01-01,13
2018-01-08,13
2018-01-15,19
