ds,y
2013-12-30,0
2014-01-06,13
2014-01-13,22
2014-01-20,17
2014-01-27,14
2014-02-03,18
2014-02-10,21
2014-02-17,12
2014-02-24,9
2014-03-03,14
2014-03-10,33
2014-03-17,29
2014-03-24,28
2014-03-31,13
2014-04-07,18
2014-04-14,17
2014-04-21,24
2014-04-28,18
2014-05-05,19
2014-05-12,18
2014-05-19,20
2014-05-26,16
2014-06-02,21
2014-06-09,23
2014-06-16,11
2014-06-23,14
2014-06-30,15
2014-07-07,14
2014-07-14,7
2014-07-21,14
2014-07-28,15
2014-08-04,16
2014-08-11,19
2014-08-18,19
2014-08-25,19
2014-09-01,14
2014-09-08,11
2014-09-15,11
2014-09-22,26
2014-09-29,15
2014-10-06,9
2014-10-13,17
2014-10-20,19
2014-10-27,16
2014-11-03,13
2014-11-10,12
2014-11-17,9
2014-11-24,15
2014-12-01,17
2014-12-08,8
2014-12-15,12
2014-12-22,7
2014-12-29,26
2015-01-05,10
2015-01-12,16
2015-01-19,23
2015-01-26,20
2015-02-02,16
2015-02-09,21
2015-02-16,19
2015-02-23,12
2015-03-02,20
2015-03-09,7
2015-03-16,14
2015-03-23,23
2015-03-30,11
2015-04-06,23
2015-04-13,17
2015-04-20,18
2015-04-27,14
2015-05-04,11
2015-05-11,27
2015-05-18,28
2015-05-25,24
2015-06-01,20
2015-06-08,28
2015-06-15,32
2015-06-22,25
2015-06-29,21
2015-07-06,19
2015-07-13,23
2015-07-20,15
2015-07-27,23
2015-08-03,13
2015-08-10,11
2015-08-17,18
2015-08-24,29
2015-08-31,22
2015-09-07,19
2015-09-14,18
2015-09-21,22
2015-09-28,32
2015-10-05,45
2015-10-12,27
2015-10-19,15
2015-10-26,13
2015-11-02,27
2015-11-09,29
2015-11-16,40
2015-11-23,36
2015-11-30,16
2015-12-07,22
2015-12-14,14
2015-12-21,16
2016-01-04,26
2016-01-11,36
2016-01-18,52
2016-01-25,36
2016-02-01,18
2016-02-08,30
2016-02-15,35
2016-02-22,23
2016-02-29,30
2016-03-07,14
2016-03-14,23
2016-03-21,10
2016-03-28,22
2016-04-04,24
2016-04-11,31
2016-04-18,18
2016-04-25,31
2016-05-02,18
2016-05-09,26
2016-05-16,26
2016-05-23,23
2016-05-30,23
2016-06-06,26
2016-06-13,18
2016-06-20,12
2016-06-27,19
2016-07-04,14
2016-07-11,22
2016-07-18,14
2016-07-25,18
2016-08-01,11
2016-08-08,16
2016-08-15,10
2016-08-22,27
2016-08-29,31
2016-09-05,16
2016-09-12,25
2016-09-19,15
2016-09-26,23
2016-10-03,26
2016-10-10,21
2016-10-17,15
2016-10-24,18
2016-10-31,13
2016-11-07,42
2016-11-14,8
2016-11-21,14
2016-11-28,10
2016-12-05,22
2016-12-12,18
2016-12-19,12
2016-12-26,11
2017-01-02,46
2017-01-09,27
2017-01-16,33
2017-01-23,25
2017-01-30,21
2017-02-06,31
2017-02-13,20
2017-02-20,17
2017-02-27,28
2017-03-06,27
2017-03-13,37
2017-03-20,20
2017-03-27,25
2017-04-03,22
2017-04-10,19
2017-04-17,14
2017-04-24,20
2017-05-01,13
2017-05-08,27
2017-05-15,27
2017-05-22,24
2017-05-29,31
2017-06-05,22
2017-06-12,21
2017-06-19,26
