ds,y
2013-12-30,0
2014-01-06,8
2014-01-13,19
2014-01-20,14
2014-01-27,10
2014-02-03,10
2014-02-10,18
2014-02-17,11
2014-02-24,6
2014-03-03,12
2014-03-10,24
2014-03-17,20
2014-03-24,20
2014-03-31,10
2014-04-07,15
2014-04-14,14
2014-04-21,20
2014-04-28,17
2014-05-05,14
2014-05-12,12
2014-05-19,18
2014-05-26,9
2014-06-02,18
2014-06-09,18
2014-06-16,11
2014-06-23,10
2014-06-30,11
2014-07-07,14
2014-07-14,3
2014-07-21,11
2014-07-28,11
2014-08-04,14
2014-08-11,16
2014-08-18,14
2014-08-25,16
2014-09-01,12
2014-09-08,9
2014-09-15,8
2014-09-22,21
2014-09-29,13
2014-10-06,4
2014-10-13,14
2014-10-20,12
2014-10-27,15
2014-11-03,11
2014-11-10,11
2014-11-17,9
2014-11-24,11
2014-12-01,10
2014-12-08,7
2014-12-15,10
2014-12-22,4
2014-12-29,16
2015-01-05,9
2015-01-12,16
2015-01-19,14
2015-01-26,15
2015-02-02,12
2015-02-09,20
2015-02-16,14
2015-02-23,10
2015-03-02,14
2015-03-09,6
2015-03-16,13
2015-03-23,17
2015-03-30,7
2015-04-06,17
2015-04-13,16
2015-04-20,12
2015-04-27,10
2015-05-04,10
2015-05-11,22
2015-05-18,22
2015-05-25,18
2015-06-01,17
2015-06-08,22
2015-06-15,21
2015-06-22,17
2015-06-29,14
2015-07-06,13
2015-07-13,19
2015-07-20,13
2015-07-27,20
2015-08-03,9
2015-08-10,9
2015-08-17,13
2015-08-24,27
2015-08-31,20
2015-09-07,17
2015-09-14,13
2015-09-21,12
2015-09-28,27
2015-10-05,38
2015-10-12,19
2015-10-19,13
2015-10-26,12
2015-11-02,20
2015-11-09,26
2015-11-16,32
2015-11-23,27
2015-11-30,9
2015-12-07,19
2015-12-14,8
2015-12-21,10
2016-01-04,19
2016-01-11,27
2016-01-18,43
2016-01-25,31
2016-02-01,12
2016-02-08,25
2016-02-15,24
2016-02-22,17
2016-02-29,26
2016-03-07,12
2016-03-14,19
2016-03-21,7
2016-03-28,16
2016-04-04,18
2016-04-11,22
