ds,y
2013-12-30,5
2014-01-06,1
2014-01-13,21
2014-01-20,9
2014-01-27,1
2014-02-03,17
2014-02-10,42
2014-02-17,9
2014-02-24,55
2014-03-03,33
2014-03-10,29
2014-03-17,36
2014-03-24,60
2014-03-31,35
2014-04-07,43
2014-04-14,5
2014-04-21,33
2014-04-28,92
2014-05-05,35
2014-05-12,19
2014-05-19,25
2014-05-26,58
2014-06-02,29
2014-06-09,26
2014-06-16,53
2014-06-23,40
2014-06-30,26
2014-07-07,48
2014-07-14,31
2014-07-21,28
2014-07-28,46
2014-08-04,20
2014-08-11,45
2014-08-18,116
2014-08-25,48
2014-09-01,24
2014-09-08,55
2014-09-15,34
2014-09-22,66
2014-09-29,45
2014-10-06,53
2014-10-13,61
2014-10-20,192
2014-10-27,51
2014-11-03,58
2014-11-10,83
2014-11-17,42
2014-11-24,75
2014-12-01,111
2014-12-08,27
2014-12-15,48
2014-12-22,44
2014-12-29,122
2015-01-05,48
2015-01-12,66
2015-01-19,31
2015-01-26,74
2015-02-02,51
2015-02-09,67
2015-02-16,72
2015-02-23,47
2015-03-02,44
2015-03-09,76
2015-03-16,42
2015-03-23,119
2015-03-30,86
2015-04-06,68
2015-04-13,82
2015-04-20,96
2015-04-27,64
2015-05-04,120
2015-05-11,107
2015-05-18,78
2015-05-25,183
2015-06-01,77
2015-06-08,89
2015-06-15,87
2015-06-22,75
2015-06-29,61
2015-07-06,100
2015-07-13,113
2015-07-20,109
2015-07-27,126
2015-08-03,99
2015-08-10,93
2015-08-17,79
2015-08-24,70
2015-08-31,63
2015-09-07,96
2015-09-14,57
2015-09-21,91
2015-09-28,68
2015-10-05,91
2015-10-12,85
2015-10-19,178
2015-10-26,45
2015-11-02,124
2015-11-09,126
2015-11-16,79
2015-11-23,98
2015-11-30,89
2015-12-07,41
2015-12-14,63
2015-12-21,52
2016-01-04,95
2016-01-11,79
2016-01-18,109
2016-01-25,84
2016-02-01,139
2016-02-08,88
2016-02-15,87
2016-02-22,104
2016-02-29,83
2016-03-07,67
2016-03-14,68
2016-03-21,54
2016-03-28,97
2016-04-04,74
2016-04-11,100
2016-04-18,90
2016-04-25,93
2016-05-02,90
2016-05-09,79
2016-05-16,79
2016-05-23,119
2016-05-30,69
2016-06-06,100
2016-06-13,79
2016-06-20,95
2016-06-27,75
2016-07-04,87
2016-07-11,62
2016-07-18,77
2016-07-25,76
2016-08-01,109
2016-08-08,71
2016-08-15,79
2016-08-22,89
2016-08-29,97
2016-09-05,116
2016-09-12,98
2016-09-19,103
2016-09-26,92
2016-10-03,95
2016-10-10,101
2016-10-17,95
2016-10-24,100
2016-10-31,65
2016-11-07,115
2016-11-14,103
2016-11-21,99
2016-11-28,73
2016-12-05,55
2016-12-12,89
