ds,y
2013-12-30,0
2014-01-06,0
2014-01-13,3
2014-01-20,3
2014-01-27,0
2014-02-03,4
2014-02-10,15
2014-02-17,1
2014-02-24,19
2014-03-03,8
2014-03-10,8
2014-03-17,5
2014-03-24,9
2014-03-31,3
2014-04-07,10
2014-04-14,1
2014-04-21,6
2014-04-28,16
2014-05-05,6
2014-05-12,6
2014-05-19,6
2014-05-26,13
2014-06-02,10
2014-06-09,6
2014-06-16,9
2014-06-23,4
2014-06-30,6
2014-07-07,11
2014-07-14,8
2014-07-21,7
2014-07-28,9
2014-08-04,1
2014-08-11,9
2014-08-18,14
2014-08-25,14
2014-09-01,4
2014-09-08,12
2014-09-15,4
2014-09-22,14
2014-09-29,8
2014-10-06,13
2014-10-13,13
2014-10-20,52
2014-10-27,11
2014-11-03,14
2014-11-10,22
2014-11-17,9
2014-11-24,15
2014-12-01,26
2014-12-08,4
2014-12-15,8
2014-12-22,12
2014-12-29,47
2015-01-05,7
2015-01-12,15
2015-01-19,6
2015-01-26,18
2015-02-02,10
2015-02-09,16
2015-02-16,14
2015-02-23,16
2015-03-02,11
2015-03-09,17
2015-03-16,7
2015-03-23,18
2015-03-30,16
2015-04-06,15
2015-04-13,17
2015-04-20,21
2015-04-27,10
2015-05-04,33
2015-05-11,24
2015-05-18,20
2015-05-25,30
2015-06-01,13
2015-06-08,10
2015-06-15,16
2015-06-22,14
2015-06-29,14
2015-07-06,18
2015-07-13,33
2015-07-20,26
2015-07-27,36
2015-08-03,22
2015-08-10,28
2015-08-17,18
2015-08-24,19
2015-08-31,12
2015-09-07,23
2015-09-14,15
2015-09-21,25
2015-09-28,19
2015-10-05,22
2015-10-12,27
2015-10-19,36
2015-10-26,13
2015-11-02,34
2015-11-09,30
2015-11-16,24
2015-11-23,28
2015-11-30,24
2015-12-07,6
2015-12-14,18
2015-12-21,11
2016-01-04,30
2016-01-11,20
2016-01-18,25
2016-01-25,21
2016-02-01,42
2016-02-08,21
