ds,y
2013-12-30,5
2014-01-06,1
2014-01-13,18
2014-01-20,6
2014-01-27,1
2014-02-03,13
2014-02-10,27
2014-02-17,8
2014-02-24,36
2014-03-03,25
2014-03-10,21
2014-03-17,31
2014-03-24,51
2014-03-31,32
2014-04-07,33
2014-04-14,4
2014-04-21,27
2014-04-28,76
2014-05-05,29
2014-05-12,13
2014-05-19,19
2014-05-26,45
2014-06-02,19
2014-06-09,20
2014-06-16,44
2014-06-23,36
2014-06-30,20
2014-07-07,37
2014-07-14,23
2014-07-21,21
2014-07-28,37
2014-08-04,19
2014-08-11,36
2014-08-18,102
2014-08-25,34
2014-09-01,20
2014-09-08,43
2014-09-15,30
2014-09-22,52
2014-09-29,37
2014-10-06,40
2014-10-13,48
2014-10-20,140
2014-10-27,40
2014-11-03,44
2014-11-10,61
2014-11-17,33
2014-11-24,60
2014-12-01,85
2014-12-08,23
2014-12-15,40
2014-12-22,32
2014-12-29,75
2015-01-05,41
2015-01-12,51
2015-01-19,25
2015-01-26,56
2015-02-02,41
2015-02-09,51
2015-02-16,58
2015-02-23,31
2015-03-02,33
2015-03-09,59
2015-03-16,35
2015-03-23,101
2015-03-30,70
2015-04-06,53
2015-04-13,65
2015-04-20,75
2015-04-27,54
2015-05-04,87
2015-05-11,83
2015-05-18,58
2015-05-25,153
2015-06-01,64
2015-06-08,79
2015-06-15,71
2015-06-22,61
2015-06-29,47
2015-07-06,82
2015-07-13,80
2015-07-20,83
2015-07-27,90
2015-08-03,77
2015-08-10,65
2015-08-17,61
2015-08-24,51
2015-08-31,51
2015-09-07,73
2015-09-14,42
2015-09-21,66
2015-09-28,49
2015-10-05,69
2015-10-12,58
2015-10-19,142
2015-10-26,32
2015-11-02,90
2015-11-09,96
2015-11-16,55
2015-11-23,70
2015-11-30,65
2015-12-07,35
2015-12-14,45
2015-12-21,41
2016-01-04,65
2016-01-11,59
2016-01-18,84
2016-01-25,63
2016-02-01,97
2016-02-08,67
2016-02-15,62
2016-02-22,71
2016-02-29,58
2016-03-07,53
2016-03-14,52
2016-03-21,45
2016-03-28,73
2016-04-04,59
2016-04-11,75
2016-04-18,74
2016-04-25,75
2016-05-02,69
2016-05-09,61
2016-05-16,61
2016-05-23,88
2016-05-30,53
2016-06-06,81
2016-06-13,60
2016-06-20,70
2016-06-27,55
2016-07-04,65
2016-07-11,48
2016-07-18,46
2016-07-25,58
2016-08-01,89
2016-08-08,55
2016-08-15,53
2016-08-22,69
2016-08-29,72
2016-09-05,89
2016-09-12,69
2016-09-19,83
2016-09-26,63
2016-10-03,76
2016-10-10,78
2016-10-17,76
2016-10-24,61
2016-10-31,48
2016-11-07,86
2016-11-14,76
2016-11-21,75
2016-11-28,50
2016-12-05,43
2016-12-12,73
