ds,y
2013-12-30,0
2014-01-06,2
2014-01-13,4
2014-01-20,4
2014-01-27,7
2014-02-03,3
2014-02-10,8
2014-02-17,18
2014-02-24,6
2014-03-03,7
2014-03-10,14
2014-03-17,10
2014-03-24,28
2014-03-31,28
2014-04-07,23
2014-04-14,12
2014-04-21,0
2014-04-28,8
2014-05-05,8
2014-05-12,5
2014-05-19,2
2014-05-26,11
2014-06-02,9
2014-06-09,8
2014-06-16,6
2014-06-23,6
2014-06-30,8
2014-07-07,4
2014-07-14,3
2014-07-21,11
2014-07-28,4
2014-08-04,5
2014-08-11,22
2014-08-18,9
2014-08-25,7
2014-09-01,20
2014-09-08,10
2014-09-15,18
2014-09-22,19
2014-09-29,8
2014-10-06,20
2014-10-13,3
2014-10-20,14
2014-10-27,9
2014-11-03,24
2014-11-10,5
2014-11-17,15
2014-11-24,4
2014-12-01,15
2014-12-08,6
2014-12-15,11
2014-12-22,5
2014-12-29,6
2015-01-05,16
2015-01-12,13
2015-01-19,13
2015-01-26,10
2015-02-02,5
2015-02-09,3
2015-02-16,2
2015-02-23,9
2015-03-02,8
2015-03-09,6
2015-03-16,5
2015-03-23,7
2015-03-30,8
2015-04-06,9
2015-04-13,5
2015-04-20,12
2015-04-27,3
2015-05-04,11
2015-05-11,3
2015-05-18,5
2015-05-25,7
2015-06-01,12
2015-06-08,8
2015-06-15,8
2015-06-22,7
2015-06-29,10
2015-07-06,7
2015-07-13,11
2015-07-20,19
2015-07-27,32
2015-08-03,38
2015-08-10,41
2015-08-17,36
2015-08-24,107
2015-08-31,30
2015-09-07,31
2015-09-14,34
2015-09-21,55
2015-09-28,38
2015-10-05,47
2015-10-12,29
2015-10-19,34
2015-10-26,41
2015-11-02,35
2015-11-09,30
2015-11-16,49
2015-11-23,24
2015-11-30,14
2015-12-07,27
2015-12-14,18
2015-12-21,15
2016-01-04,23
2016-01-11,34
2016-01-18,37
2016-01-25,24
2016-02-01,34
2016-02-08,27
2016-02-15,39
2016-02-22,51
2016-02-29,33
2016-03-07,29
2016-03-14,32
2016-03-21,21
2016-03-28,43
2016-04-04,35
2016-04-11,48
2016-04-18,46
2016-04-25,36
2016-05-02,39
2016-05-09,62
2016-05-16,62
2016-05-23,46
2016-05-30,37
2016-06-06,43
2016-06-13,37
2016-06-20,44
2016-06-27,34
2016-07-04,45
2016-07-11,12
2016-07-18,54
2016-07-25,24
2016-08-01,45
2016-08-08,37
2016-08-15,48
2016-08-22,63
2016-08-29,68
2016-09-05,50
2016-09-12,52
2016-09-19,51
2016-09-26,51
2016-10-03,74
2016-10-10,71
2016-10-17,62
2016-10-24,66
2016-10-31,61
2016-11-07,71
2016-11-14,55
2016-11-21,36
2016-11-28,40
2016-12-05,57
2016-12-12,27
2016-12-19,37
2016-12-26,47
2017-01-02,48
2017-01-09,50
2017-01-16,46
2017-01-23,65
2017-01-30,45
2017-02-06,44
2017-02-13,51
2017-02-20,68
2017-02-27,50
2017-03-06,56
2017-03-13,61
2017-03-20,66
2017-03-27,60
2017-04-03,60
2017-04-10,50
2017-04-17,66
2017-04-24,74
2017-05-01,31
2017-05-08,76
2017-05-15,67
2017-05-22,70
2017-05-29,55
2017-06-05,55
2017-06-12,106
2017-06-19,69
2017-06-26,60
2017-07-03,61
2017-07-10,58
2017-07-17,11
2017-07-24,47
2017-07-31,55
2017-08-07,63
2017-08-14,44
2017-08-21,48
2017-08-28,77
2017-09-04,42
2017-09-11,55
2017-09-18,51
2017-09-25,46
2017-10-02,59
2017-10-09,53
2017-10-16,42
2017-10-23,55
2017-10-30,53
2017-11-06,53
2017-11-13,57
2017-11-20,37
2017-11-27,50
2017-12-04,31
2017-12-11,31
2017-12-18,42
2017-12-25,33
2018-01-01,32
2018-01-08,51
2018-01-15,52
2018-01-22,57
2018-01-29,73
2018-02-05,52
2018-02-12,71
2018-02-19,79
2018-02-26,83
2018-03-05,74
2018-03-12,70
2018-03-19,46
2018-03-26,59
2018-04-02,64
2018-04-09,66
2018-04-16,54
2018-04-23,66
2018-04-30,44
2018-05-07,45
2018-05-14,58
2018-05-21,42
2018-05-28,69
2018-06-04,74
2018-06-11,63
2018-06-18,61
2018-06-25,75
2018-07-02,62
2018-07-09,59
2018-07-16,59
2018-07-23,61
2018-07-30,59
2018-08-06,54
2018-08-13,61
2018-08-20,61
2018-08-27,64
2018-09-03,58
2018-09-10,59
2018-09-17,58
2018-09-24,65
2018-10-01,51
2018-10-08,53
2018-10-15,67
2018-10-22,49
2018-10-29,43
2018-11-05,61
2018-11-12,65
2018-11-19,40
2018-11-26,59
2018-12-03,48
2018-12-10,38
2018-12-17,24
2018-12-24,34
2018-12-31,32
2019-01-07,31
2019-01-14,59
2019-01-21,58
2019-01-28,55
2019-02-04,40
2019-02-11,62
2019-02-18,57
2019-02-25,56
2019-03-04,64
2019-03-11,60
2019-03-18,69
2019-03-25,79
2019-04-01,83
2019-04-08,70
2019-04-15,37
2019-04-22,55
2019-04-29,56
2019-05-06,50
2019-05-13,88
2019-05-20,82
2019-05-27,67
2019-06-03,70
2019-06-10,67
2019-06-17,84
2019-06-24,87
2019-07-01,73
2019-07-08,68
2019-07-15,67
2019-07-22,58
2019-07-29,64
2019-08-05,61
2019-08-12,35
2019-08-19,56
2019-08-26,47
2019-09-02,52
2019-09-09,84
2019-09-16,59
2019-09-23,61
2019-09-30,68
2019-10-07,65
2019-10-14,58
2019-10-21,71
2019-10-28,73
2019-11-04,72
2019-11-11,60
2019-11-18,54
2019-11-25,61
2019-12-02,47
2019-12-09,43
2019-12-16,53
2019-12-23,34
2019-12-30,22
2020-01-06,44
2020-01-13,64
2020-01-20,67
2020-01-27,66
2020-02-03,61
2020-02-10,80
2020-02-17,71
2020-02-24,76
2020-03-02,68
2020-03-09,78
2020-03-16,62
2020-03-23,41
2020-03-30,43
2020-04-06,17
2020-04-13,31
2020-04-20,39
2020-04-27,26
2020-05-04,33
2020-05-11,40
2020-05-18,35
2020-05-25,34
2020-06-01,41
2020-06-08,26
2020-06-15,24
2020-06-22,30
2020-06-29,28
2020-07-06,28
2020-07-13,58
2020-07-20,42
2020-07-27,31
2020-08-03,26
2020-08-10,50
2020-08-17,43
2020-08-24,43
2020-08-31,48
2020-09-07,57
2020-09-14,33
2020-09-21,51
2020-09-28,36
2020-10-05,54
2020-10-12,50
2020-10-19,47
2020-10-26,53
2020-11-02,46
2020-11-09,50
2020-11-16,43
2020-11-23,37
2020-11-30,37
2020-12-07,32
2020-12-14,36
2020-12-21,29
2020-12-28,26
2021-01-04,32
2021-01-11,57
2021-01-18,50
2021-01-25,48
2021-02-01,60
2021-02-08,87
2021-02-15,89
2021-02-22,56
2021-03-01,81
2021-03-08,57
2021-03-15,86
2021-03-22,67
2021-03-29,38
2021-04-05,58
2021-04-12,89
2021-04-19,78
2021-04-26,74
2021-05-03,62
2021-05-10,72
2021-05-17,74
2021-05-24,91
2021-05-31,73
2021-06-07,83
2021-06-14,100
2021-06-21,82
2021-06-28,93
2021-07-05,75
2021-07-12,82
2021-07-19,67
2021-07-26,99
2021-08-02,67
2021-08-09,70
2021-08-16,92
2021-08-23,104
