ds,y
2013-12-30,0
2014-01-06,0
2014-01-13,0
2014-01-20,0
2014-01-27,2
2014-02-03,0
2014-02-10,1
2014-02-17,3
2014-02-24,2
2014-03-03,2
2014-03-10,4
2014-03-17,1
2014-03-24,5
2014-03-31,4
2014-04-07,3
2014-04-14,1
2014-04-21,0
2014-04-28,3
2014-05-05,1
2014-05-12,1
2014-05-19,0
2014-05-26,1
2014-06-02,3
2014-06-09,1
2014-06-16,0
2014-06-23,1
2014-06-30,4
2014-07-07,1
2014-07-14,0
2014-07-21,4
2014-07-28,2
2014-08-04,1
2014-08-11,4
2014-08-18,3
2014-08-25,3
2014-09-01,6
2014-09-08,1
2014-09-15,3
2014-09-22,1
2014-09-29,2
2014-10-06,7
2014-10-13,1
2014-10-20,3
2014-10-27,2
2014-11-03,6
2014-11-10,2
2014-11-17,4
2014-11-24,2
2014-12-01,4
2014-12-08,0
2014-12-15,1
2014-12-22,1
2014-12-29,4
2015-01-05,2
2015-01-12,1
2015-01-19,0
2015-01-26,0
2015-02-02,1
2015-02-09,0
2015-02-16,0
2015-02-23,2
2015-03-02,3
2015-03-09,0
2015-03-16,0
2015-03-23,3
2015-03-30,3
2015-04-06,2
2015-04-13,3
2015-04-20,1
2015-04-27,0
2015-05-04,3
2015-05-11,0
2015-05-18,0
2015-05-25,1
2015-06-01,2
2015-06-08,2
2015-06-15,1
2015-06-22,2
2015-06-29,1
2015-07-06,2
2015-07-13,4
2015-07-20,7
2015-07-27,7
2015-08-03,2
2015-08-10,13
2015-08-17,7
2015-08-24,31
2015-08-31,9
2015-09-07,1
2015-09-14,7
2015-09-21,11
2015-09-28,9
2015-10-05,4
2015-10-12,6
2015-10-19,2
2015-10-26,9
2015-11-02,6
2015-11-09,7
2015-11-16,6
2015-11-23,6
2015-11-30,1
2015-12-07,4
2015-12-14,5
2015-12-21,0
2016-01-04,5
2016-01-11,7
2016-01-18,10
2016-01-25,4
2016-02-01,9
2016-02-08,5
