ds,y
2013-12-30,0
2014-01-06,2
2014-01-13,4
2014-01-20,4
2014-01-27,5
2014-02-03,3
2014-02-10,7
2014-02-17,15
2014-02-24,4
2014-03-03,5
2014-03-10,10
2014-03-17,9
2014-03-24,23
2014-03-31,24
2014-04-07,20
2014-04-14,11
2014-04-21,0
2014-04-28,5
2014-05-05,7
2014-05-12,4
2014-05-19,2
2014-05-26,10
2014-06-02,6
2014-06-09,7
2014-06-16,6
2014-06-23,5
2014-06-30,4
2014-07-07,3
2014-07-14,3
2014-07-21,7
2014-07-28,2
2014-08-04,4
2014-08-11,18
2014-08-18,6
2014-08-25,4
2014-09-01,14
2014-09-08,9
2014-09-15,15
2014-09-22,18
2014-09-29,6
2014-10-06,13
2014-10-13,2
2014-10-20,11
2014-10-27,7
2014-11-03,18
2014-11-10,3
2014-11-17,11
2014-11-24,2
2014-12-01,11
2014-12-08,6
2014-12-15,10
2014-12-22,4
2014-12-29,2
2015-01-05,14
2015-01-12,12
2015-01-19,13
2015-01-26,10
2015-02-02,4
2015-02-09,3
2015-02-16,2
2015-02-23,7
2015-03-02,5
2015-03-09,6
2015-03-16,5
2015-03-23,4
2015-03-30,5
2015-04-06,7
2015-04-13,2
2015-04-20,11
2015-04-27,3
2015-05-04,8
2015-05-11,3
2015-05-18,5
2015-05-25,6
2015-06-01,10
2015-06-08,6
2015-06-15,7
2015-06-22,5
2015-06-29,9
2015-07-06,5
2015-07-13,7
2015-07-20,12
2015-07-27,25
2015-08-03,36
2015-08-10,28
2015-08-17,29
2015-08-24,76
2015-08-31,21
2015-09-07,30
2015-09-14,27
2015-09-21,44
2015-09-28,29
2015-10-05,43
2015-10-12,23
2015-10-19,32
2015-10-26,32
2015-11-02,29
2015-11-09,23
2015-11-16,43
2015-11-23,18
2015-11-30,13
2015-12-07,23
2015-12-14,13
2015-12-21,15
2016-01-04,18
2016-01-11,27
2016-01-18,27
2016-01-25,20
2016-02-01,25
2016-02-08,22
2016-02-15,31
2016-02-22,37
2016-02-29,29
2016-03-07,24
2016-03-14,22
2016-03-21,13
2016-03-28,31
2016-04-04,29
2016-04-11,39
2016-04-18,41
2016-04-25,30
2016-05-02,32
2016-05-09,49
2016-05-16,49
2016-05-23,38
2016-05-30,28
2016-06-06,37
2016-06-13,30
2016-06-20,36
2016-06-27,28
2016-07-04,38
2016-07-11,1
2016-07-18,39
2016-07-25,24
2016-08-01,40
2016-08-08,31
2016-08-15,39
2016-08-22,46
2016-08-29,61
2016-09-05,45
2016-09-12,39
2016-09-19,42
2016-09-26,43
2016-10-03,55
2016-10-10,55
2016-10-17,50
2016-10-24,54
2016-10-31,47
2016-11-07,61
2016-11-14,50
2016-11-21,27
2016-11-28,31
2016-12-05,44
2016-12-12,24
2016-12-19,30
2016-12-26,36
2017-01-02,36
2017-01-09,33
2017-01-16,33
2017-01-23,53
2017-01-30,32
2017-02-06,34
2017-02-13,38
2017-02-20,59
2017-02-27,36
2017-03-06,44
2017-03-13,47
2017-03-20,56
2017-03-27,43
2017-04-03,46
2017-04-10,38
2017-04-17,57
2017-04-24,61
2017-05-01,18
2017-05-08,63
2017-05-15,56
2017-05-22,60
2017-05-29,46
2017-06-05,46
2017-06-12,91
2017-06-19,49
2017-06-26,51
2017-07-03,47
2017-07-10,50
2017-07-17,3
2017-07-24,40
2017-07-31,44
2017-08-07,48
2017-08-14,37
2017-08-21,31
2017-08-28,64
2017-09-04,31
2017-09-11,51
2017-09-18,34
2017-09-25,41
2017-10-02,44
2017-10-09,45
2017-10-16,30
2017-10-23,39
2017-10-30,42
2017-11-06,39
2017-11-13,43
2017-11-20,28
2017-11-27,38
2017-12-04,22
2017-12-11,25
2017-12-18,32
2017-12-25,24
2018-01-01,25
2018-01-08,43
2018-01-15,35
2018-01-22,50
2018-01-29,56
2018-02-05,39
2018-02-12,58
2018-02-19,69
2018-02-26,68
2018-03-05,53
2018-03-12,57
2018-03-19,36
2018-03-26,49
2018-04-02,57
2018-04-09,43
2018-04-16,43
2018-04-23,61
2018-04-30,34
2018-05-07,37
2018-05-14,48
2018-05-21,32
2018-05-28,51
2018-06-04,59
2018-06-11,51
2018-06-18,45
2018-06-25,59
2018-07-02,52
2018-07-09,44
2018-07-16,42
2018-07-23,46
2018-07-30,46
2018-08-06,40
2018-08-13,44
2018-08-20,40
2018-08-27,46
2018-09-03,43
2018-09-10,50
2018-09-17,40
2018-09-24,52
2018-10-01,41
2018-10-08,39
2018-10-15,51
2018-10-22,39
2018-10-29,36
2018-11-05,52
2018-11-12,48
2018-11-19,31
2018-11-26,41
2018-12-03,41
2018-12-10,34
2018-12-17,20
2018-12-24,28
2018-12-31,22
2019-01-07,24
2019-01-14,48
2019-01-21,55
2019-01-28,40
2019-02-04,32
2019-02-11,46
2019-02-18,45
2019-02-25,43
2019-03-04,56
2019-03-11,49
2019-03-18,54
2019-03-25,58
2019-04-01,68
2019-04-08,62
2019-04-15,28
2019-04-22,40
2019-04-29,41
2019-05-06,34
2019-05-13,66
2019-05-20,61
2019-05-27,53
2019-06-03,62
2019-06-10,54
2019-06-17,67
2019-06-24,65
2019-07-01,46
2019-07-08,56
2019-07-15,53
2019-07-22,49
2019-07-29,52
2019-08-05,49
2019-08-12,24
2019-08-19,43
2019-08-26,34
2019-09-02,46
2019-09-09,74
2019-09-16,51
2019-09-23,52
2019-09-30,52
2019-10-07,53
2019-10-14,44
2019-10-21,53
2019-10-28,58
2019-11-04,55
2019-11-11,48
2019-11-18,35
2019-11-25,48
2019-12-02,33
2019-12-09,35
2019-12-16,42
2019-12-23,24
2019-12-30,18
2020-01-06,31
2020-01-13,47
2020-01-20,50
2020-01-27,55
2020-02-03,52
2020-02-10,58
2020-02-17,53
2020-02-24,56
2020-03-02,52
2020-03-09,59
2020-03-16,51
2020-03-23,31
2020-03-30,35
2020-04-06,15
2020-04-13,24
2020-04-20,33
2020-04-27,19
2020-05-04,24
2020-05-11,30
2020-05-18,24
2020-05-25,22
2020-06-01,31
2020-06-08,22
2020-06-15,19
2020-06-22,21
2020-06-29,17
2020-07-06,26
2020-07-13,48
2020-07-20,31
2020-07-27,26
2020-08-03,19
2020-08-10,41
2020-08-17,34
2020-08-24,30
2020-08-31,35
2020-09-07,44
2020-09-14,28
2020-09-21,38
2020-09-28,28
2020-10-05,43
2020-10-12,38
2020-10-19,39
2020-10-26,43
2020-11-02,35
2020-11-09,39
2020-11-16,28
2020-11-23,29
2020-11-30,29
2020-12-07,22
2020-12-14,30
2020-12-21,20
2020-12-28,21
2021-01-04,24
2021-01-11,44
2021-01-18,39
2021-01-25,35
2021-02-01,51
2021-02-08,64
2021-02-15,63
2021-02-22,41
2021-03-01,66
2021-03-08,43
2021-03-15,61
2021-03-22,46
2021-03-29,28
2021-04-05,41
2021-04-12,70
2021-04-19,62
2021-04-26,59
2021-05-03,49
2021-05-10,58
2021-05-17,58
2021-05-24,69
2021-05-31,58
2021-06-07,64
2021-06-14,72
2021-06-21,61
2021-06-28,77
2021-07-05,56
2021-07-12,68
2021-07-19,55
2021-07-26,79
2021-08-02,53
2021-08-09,48
2021-08-16,73
2021-08-23,81
