ds,y
2013-12-30,4
2014-01-06,20
2014-01-13,8
2014-01-20,12
2014-01-27,11
2014-02-03,6
2014-02-10,16
2014-02-17,14
2014-02-24,14
2014-03-03,17
2014-03-10,16
2014-03-17,9
2014-03-24,5
2014-03-31,12
2014-04-07,11
2014-04-14,3
2014-04-21,9
2014-04-28,11
2014-05-05,11
2014-05-12,9
2014-05-19,11
2014-05-26,9
2014-06-02,8
2014-06-09,0
2014-06-16,26
2014-06-23,17
2014-06-30,14
2014-07-07,17
2014-07-14,7
2014-07-21,15
2014-07-28,17
2014-08-04,13
2014-08-11,10
2014-08-18,14
2014-08-25,10
2014-09-01,8
2014-09-08,21
2014-09-15,12
2014-09-22,40
2014-09-29,9
2014-10-06,11
2014-10-13,12
2014-10-20,4
2014-10-27,15
2014-11-03,11
2014-11-10,21
2014-11-17,19
2014-11-24,15
2014-12-01,26
2014-12-08,3
2014-12-15,1
2014-12-22,0
2014-12-29,19
2015-01-05,17
2015-01-12,3
2015-01-19,6
2015-01-26,14
2015-02-02,21
2015-02-09,16
2015-02-16,29
2015-02-23,19
2015-03-02,10
2015-03-09,12
2015-03-16,17
2015-03-23,9
2015-03-30,10
2015-04-06,31
2015-04-13,4
2015-04-20,19
2015-04-27,9
2015-05-04,9
2015-05-11,15
2015-05-18,109
2015-05-25,89
2015-06-01,118
2015-06-08,33
2015-06-15,8
2015-06-22,123
2015-06-29,25
2015-07-06,22
2015-07-13,57
2015-07-20,16
2015-07-27,51
2015-08-03,17
2015-08-10,33
2015-08-17,45
2015-08-24,27
2015-08-31,114
2015-09-07,27
2015-09-14,74
2015-09-21,83
2015-09-28,77
2015-10-05,56
2015-10-12,18
2015-10-19,44
2015-10-26,13
2015-11-02,25
2015-11-09,24
2015-11-16,17
2015-11-23,20
2015-11-30,30
2015-12-07,14
2015-12-14,10
2015-12-21,1
2016-01-04,7
2016-01-11,29
2016-01-18,31
2016-01-25,27
2016-02-01,18
2016-02-08,37
2016-02-15,31
2016-02-22,63
2016-02-29,39
2016-03-07,28
2016-03-14,17
2016-03-21,17
2016-03-28,41
2016-04-04,36
2016-04-11,37
2016-04-18,41
2016-04-25,26
2016-05-02,21
2016-05-09,33
2016-05-16,33
2016-05-23,41
2016-05-30,28
2016-06-06,28
2016-06-13,19
2016-06-20,44
2016-06-27,6
2016-07-04,30
2016-07-11,26
2016-07-18,32
2016-07-25,39
2016-08-01,36
2016-08-08,16
2016-08-15,46
2016-08-22,27
2016-08-29,66
2016-09-05,40
2016-09-12,27
2016-09-19,26
2016-09-26,22
2016-10-03,40
2016-10-10,54
2016-10-17,47
2016-10-24,39
2016-10-31,38
2016-11-07,33
2016-11-14,45
2016-11-21,29
2016-11-28,26
2016-12-05,17
2016-12-12,10
2016-12-19,9
2016-12-26,7
2017-01-02,9
2017-01-09,20
2017-01-16,35
2017-01-23,34
2017-01-30,25
2017-02-06,34
2017-02-13,40
2017-02-20,42
2017-02-27,21
2017-03-06,48
2017-03-13,70
2017-03-20,56
2017-03-27,46
2017-04-03,62
2017-04-10,21
2017-04-17,45
2017-04-24,27
2017-05-01,22
2017-05-08,120
2017-05-15,32
2017-05-22,26
2017-05-29,44
2017-06-05,52
2017-06-12,36
2017-06-19,38
2017-06-26,42
2017-07-03,29
2017-07-10,27
2017-07-17,37
2017-07-24,33
2017-07-31,20
2017-08-07,55
2017-08-14,29
2017-08-21,34
2017-08-28,27
2017-09-04,10
2017-09-11,26
2017-09-18,31
2017-09-25,35
2017-10-02,23
2017-10-09,31
2017-10-16,49
2017-10-23,45
2017-10-30,28
2017-11-06,46
2017-11-13,34
2017-11-20,30
2017-11-27,50
2017-12-04,25
2017-12-11,14
2017-12-18,22
2017-12-25,44
2018-01-01,6
2018-01-08,22
2018-01-15,28
2018-01-22,30
2018-01-29,21
2018-02-05,34
2018-02-12,31
2018-02-19,46
