ds,y
2013-12-30,2
2014-01-06,18
2014-01-13,6
2014-01-20,7
2014-01-27,8
2014-02-03,6
2014-02-10,9
2014-02-17,14
2014-02-24,12
2014-03-03,14
2014-03-10,14
2014-03-17,2
2014-03-24,4
2014-03-31,9
2014-04-07,7
2014-04-14,2
2014-04-21,6
2014-04-28,9
2014-05-05,7
2014-05-12,9
2014-05-19,8
2014-05-26,6
2014-06-02,7
2014-06-09,0
2014-06-16,21
2014-06-23,13
2014-06-30,12
2014-07-07,13
2014-07-14,6
2014-07-21,12
2014-07-28,15
2014-08-04,10
2014-08-11,8
2014-08-18,11
2014-08-25,7
2014-09-01,7
2014-09-08,19
2014-09-15,11
2014-09-22,36
2014-09-29,8
2014-10-06,11
2014-10-13,10
2014-10-20,2
2014-10-27,9
2014-11-03,10
2014-11-10,19
2014-11-17,14
2014-11-24,11
2014-12-01,22
2014-12-08,3
2014-12-15,1
2014-12-22,0
2014-12-29,17
2015-01-05,15
2015-01-12,3
2015-01-19,4
2015-01-26,12
2015-02-02,16
2015-02-09,12
2015-02-16,25
2015-02-23,17
2015-03-02,7
2015-03-09,8
2015-03-16,8
2015-03-23,6
2015-03-30,5
2015-04-06,18
2015-04-13,1
2015-04-20,18
2015-04-27,8
2015-05-04,6
2015-05-11,10
2015-05-18,83
2015-05-25,81
2015-06-01,100
2015-06-08,25
2015-06-15,7
2015-06-22,99
2015-06-29,18
2015-07-06,20
2015-07-13,44
2015-07-20,14
2015-07-27,42
2015-08-03,11
2015-08-10,25
2015-08-17,25
2015-08-24,19
2015-08-31,88
2015-09-07,26
2015-09-14,61
2015-09-21,65
2015-09-28,69
2015-10-05,42
2015-10-12,13
2015-10-19,33
2015-10-26,9
2015-11-02,21
2015-11-09,17
2015-11-16,13
2015-11-23,15
2015-11-30,21
2015-12-07,12
2015-12-14,9
2015-12-21,1
2016-01-04,6
2016-01-11,25
2016-01-18,27
2016-01-25,21
2016-02-01,13
2016-02-08,30
2016-02-15,22
2016-02-22,46
2016-02-29,31
2016-03-07,26
2016-03-14,17
2016-03-21,12
2016-03-28,39
2016-04-04,29
2016-04-11,30
2016-04-18,36
2016-04-25,25
2016-05-02,17
2016-05-09,25
2016-05-16,25
2016-05-23,34
2016-05-30,22
2016-06-06,23
2016-06-13,16
2016-06-20,31
2016-06-27,6
2016-07-04,21
2016-07-11,23
2016-07-18,19
2016-07-25,25
2016-08-01,26
2016-08-08,14
2016-08-15,38
2016-08-22,23
2016-08-29,50
2016-09-05,29
2016-09-12,21
2016-09-19,23
2016-09-26,16
2016-10-03,34
2016-10-10,43
2016-10-17,37
2016-10-24,32
2016-10-31,32
2016-11-07,25
2016-11-14,35
2016-11-21,23
2016-11-28,20
2016-12-05,11
2016-12-12,7
2016-12-19,8
2016-12-26,6
2017-01-02,7
2017-01-09,14
2017-01-16,27
2017-01-23,22
2017-01-30,20
2017-02-06,25
2017-02-13,27
2017-02-20,31
2017-02-27,19
2017-03-06,39
2017-03-13,46
2017-03-20,39
