ds,y
2013-12-30,0
2014-01-06,3
2014-01-13,13
2014-01-20,30
2014-01-27,16
2014-02-03,25
2014-02-10,16
2014-02-17,23
2014-02-24,28
2014-03-03,23
2014-03-10,21
2014-03-17,39
2014-03-24,35
2014-03-31,31
2014-04-07,32
2014-04-14,34
2014-04-21,40
2014-04-28,27
2014-05-05,21
2014-05-12,33
2014-05-19,49
2014-05-26,40
2014-06-02,31
2014-06-09,33
2014-06-16,54
2014-06-23,29
2014-06-30,37
2014-07-07,34
2014-07-14,31
2014-07-21,32
2014-07-28,35
2014-08-04,31
2014-08-11,57
2014-08-18,40
2014-08-25,35
2014-09-01,51
2014-09-08,30
2014-09-15,34
2014-09-22,44
2014-09-29,28
2014-10-06,58
2014-10-13,34
2014-10-20,29
2014-10-27,28
2014-11-03,21
2014-11-10,25
2014-11-17,52
2014-11-24,36
2014-12-01,17
2014-12-08,26
2014-12-15,20
2014-12-22,4
2014-12-29,26
2015-01-05,26
2015-01-12,34
2015-01-19,24
2015-01-26,20
2015-02-02,20
2015-02-09,34
2015-02-16,32
2015-02-23,34
2015-03-02,31
2015-03-09,19
2015-03-16,33
2015-03-23,17
2015-03-30,42
2015-04-06,18
2015-04-13,43
2015-04-20,22
2015-04-27,30
2015-05-04,28
2015-05-11,48
2015-05-18,37
2015-05-25,22
2015-06-01,51
2015-06-08,26
2015-06-15,39
2015-06-22,36
2015-06-29,38
2015-07-06,21
2015-07-13,39
2015-07-20,23
2015-07-27,22
2015-08-03,43
2015-08-10,34
2015-08-17,38
2015-08-24,29
2015-08-31,25
2015-09-07,109
2015-09-14,24
2015-09-21,51
2015-09-28,31
2015-10-05,28
2015-10-12,46
2015-10-19,26
2015-10-26,31
2015-11-02,34
2015-11-09,31
2015-11-16,19
2015-11-23,40
2015-11-30,35
2015-12-07,34
2015-12-14,10
2015-12-21,7
2016-01-04,17
2016-01-11,28
2016-01-18,30
2016-01-25,30
2016-02-01,24
2016-02-08,18
2016-02-15,24
2016-02-22,40
2016-02-29,33
2016-03-07,50
2016-03-14,19
2016-03-21,25
2016-03-28,23
2016-04-04,33
2016-04-11,57
2016-04-18,35
2016-04-25,31
2016-05-02,43
2016-05-09,45
2016-05-16,45
2016-05-23,46
2016-05-30,52
2016-06-06,38
2016-06-13,33
2016-06-20,31
2016-06-27,26
2016-07-04,34
2016-07-11,44
2016-07-18,35
2016-07-25,33
2016-08-01,32
2016-08-08,43
2016-08-15,94
