ds,y
2013-12-30,0
2014-01-06,1
2014-01-13,9
2014-01-20,24
2014-01-27,13
2014-02-03,17
2014-02-10,15
2014-02-17,19
2014-02-24,22
2014-03-03,18
2014-03-10,17
2014-03-17,34
2014-03-24,30
2014-03-31,26
2014-04-07,23
2014-04-14,26
2014-04-21,31
2014-04-28,23
2014-05-05,18
2014-05-12,30
2014-05-19,40
2014-05-26,34
2014-06-02,23
2014-06-09,29
2014-06-16,46
2014-06-23,25
2014-06-30,31
2014-07-07,28
2014-07-14,22
2014-07-21,30
2014-07-28,30
2014-08-04,21
2014-08-11,53
2014-08-18,33
2014-08-25,25
2014-09-01,36
2014-09-08,24
2014-09-15,25
2014-09-22,40
2014-09-29,21
2014-10-06,44
2014-10-13,28
2014-10-20,24
2014-10-27,23
2014-11-03,16
2014-11-10,21
2014-11-17,40
2014-11-24,29
2014-12-01,10
2014-12-08,18
2014-12-15,16
2014-12-22,3
2014-12-29,21
2015-01-05,19
2015-01-12,23
2015-01-19,17
2015-01-26,17
2015-02-02,15
2015-02-09,26
2015-02-16,26
2015-02-23,27
2015-03-02,20
2015-03-09,15
2015-03-16,28
2015-03-23,13
2015-03-30,34
2015-04-06,13
2015-04-13,28
2015-04-20,18
2015-04-27,22
2015-05-04,23
2015-05-11,40
2015-05-18,25
2015-05-25,18
2015-06-01,40
2015-06-08,16
2015-06-15,35
2015-06-22,25
2015-06-29,30
2015-07-06,17
2015-07-13,34
2015-07-20,20
2015-07-27,17
2015-08-03,35
2015-08-10,26
2015-08-17,34
2015-08-24,23
2015-08-31,21
2015-09-07,100
2015-09-14,20
2015-09-21,43
2015-09-28,24
2015-10-05,21
2015-10-12,35
2015-10-19,16
2015-10-26,27
2015-11-02,29
2015-11-09,27
2015-11-16,14
2015-11-23,33
2015-11-30,29
2015-12-07,23
2015-12-14,6
2015-12-21,4
2016-01-04,11
2016-01-11,20
2016-01-18,23
2016-01-25,22
2016-02-01,18
2016-02-08,11
2016-02-15,16
2016-02-22,34
2016-02-29,27
2016-03-07,38
2016-03-14,14
2016-03-21,16
2016-03-28,20
2016-04-04,24
2016-04-11,50
2016-04-18,29
2016-04-25,28
2016-05-02,37
2016-05-09,36
2016-05-16,36
2016-05-23,36
2016-05-30,39
2016-06-06,29
2016-06-13,23
