ds,y
2013-12-30,2
2014-01-06,23
2014-01-13,14
2014-01-20,33
2014-01-27,39
2014-02-03,29
2014-02-10,49
2014-02-17,49
2014-02-24,40
2014-03-03,41
2014-03-10,42
2014-03-17,79
2014-03-24,54
2014-03-31,83
2014-04-07,87
2014-04-14,47
2014-04-21,59
2014-04-28,63
2014-05-05,92
2014-05-12,102
2014-05-19,135
2014-05-26,92
2014-06-02,80
2014-06-09,108
2014-06-16,128
2014-06-23,92
2014-06-30,84
2014-07-07,161
2014-07-14,77
2014-07-21,99
2014-07-28,84
2014-08-04,60
2014-08-11,64
2014-08-18,97
2014-08-25,78
2014-09-01,87
2014-09-08,75
2014-09-15,76
2014-09-22,92
2014-09-29,110
2014-10-06,91
2014-10-13,103
2014-10-20,109
2014-10-27,80
2014-11-03,107
2014-11-10,81
2014-11-17,87
2014-11-24,158
2014-12-01,178
2014-12-08,103
2014-12-15,45
2014-12-22,23
2014-12-29,111
2015-01-05,91
2015-01-12,129
2015-01-19,84
2015-01-26,78
2015-02-02,115
2015-02-09,69
2015-02-16,108
2015-02-23,105
2015-03-02,109
2015-03-09,84
2015-03-16,133
2015-03-23,146
2015-03-30,215
2015-04-06,220
2015-04-13,226
2015-04-20,179
2015-04-27,182
2015-05-04,163
2015-05-11,225
2015-05-18,195
2015-05-25,214
2015-06-01,217
2015-06-08,195
2015-06-15,195
2015-06-22,213
2015-06-29,221
2015-07-06,179
2015-07-13,155
2015-07-20,214
2015-07-27,223
2015-08-03,199
2015-08-10,232
2015-08-17,205
2015-08-24,239
2015-08-31,188
2015-09-07,173
2015-09-14,185
2015-09-21,178
2015-09-28,200
2015-10-05,197
2015-10-12,177
2015-10-19,177
2015-10-26,179
2015-11-02,137
2015-11-09,180
2015-11-16,164
2015-11-23,148
2015-11-30,153
2015-12-07,114
2015-12-14,87
2015-12-21,121
2016-01-04,161
2016-01-11,162
2016-01-18,156
2016-01-25,153
2016-02-01,127
2016-02-08,166
2016-02-15,127
2016-02-22,181
2016-02-29,186
2016-03-07,177
2016-03-14,147
2016-03-21,92
2016-03-28,183
2016-04-04,213
2016-04-11,188
2016-04-18,237
2016-04-25,198
2016-05-02,165
2016-05-09,184
2016-05-16,184
2016-05-23,212
2016-05-30,206
2016-06-06,210
2016-06-13,206
2016-06-20,196
2016-06-27,184
2016-07-04,183
2016-07-11,208
2016-07-18,215
2016-07-25,193
2016-08-01,175
2016-08-08,195
2016-08-15,190
2016-08-22,231
