ds,y
2013-12-30,1
2014-01-06,5
2014-01-13,3
2014-01-20,13
2014-01-27,6
2014-02-03,4
2014-02-10,7
2014-02-17,9
2014-02-24,14
2014-03-03,12
2014-03-10,7
2014-03-17,10
2014-03-24,11
2014-03-31,21
2014-04-07,22
2014-04-14,12
2014-04-21,18
2014-04-28,17
2014-05-05,21
2014-05-12,50
2014-05-19,22
2014-05-26,19
2014-06-02,25
2014-06-09,33
2014-06-16,32
2014-06-23,22
2014-06-30,29
2014-07-07,36
2014-07-14,15
2014-07-21,29
2014-07-28,25
2014-08-04,17
2014-08-11,13
2014-08-18,28
2014-08-25,18
2014-09-01,33
2014-09-08,12
2014-09-15,21
2014-09-22,24
2014-09-29,22
2014-10-06,21
2014-10-13,23
2014-10-20,27
2014-10-27,23
2014-11-03,28
2014-11-10,26
2014-11-17,27
2014-11-24,42
2014-12-01,48
2014-12-08,29
2014-12-15,14
2014-12-22,6
2014-12-29,32
2015-01-05,19
2015-01-12,31
2015-01-19,22
2015-01-26,20
2015-02-02,38
2015-02-09,25
2015-02-16,25
2015-02-23,25
2015-03-02,27
2015-03-09,22
2015-03-16,30
2015-03-23,47
2015-03-30,52
2015-04-06,59
2015-04-13,68
2015-04-20,37
2015-04-27,35
2015-05-04,39
2015-05-11,52
2015-05-18,57
2015-05-25,48
2015-06-01,50
2015-06-08,39
2015-06-15,48
2015-06-22,49
2015-06-29,57
2015-07-06,51
2015-07-13,38
2015-07-20,58
2015-07-27,45
2015-08-03,55
2015-08-10,55
2015-08-17,59
2015-08-24,54
2015-08-31,47
2015-09-07,32
2015-09-14,43
2015-09-21,50
2015-09-28,59
2015-10-05,43
2015-10-12,50
2015-10-19,48
2015-10-26,51
2015-11-02,33
2015-11-09,42
2015-11-16,38
2015-11-23,38
2015-11-30,47
2015-12-07,23
2015-12-14,24
2015-12-21,33
2016-01-04,47
2016-01-11,40
2016-01-18,46
2016-01-25,45
2016-02-01,21
2016-02-08,49
2016-02-15,26
2016-02-22,44
2016-02-29,43
2016-03-07,46
2016-03-14,35
2016-03-21,21
2016-03-28,48
2016-04-04,46
2016-04-11,41
2016-04-18,54
2016-04-25,53
2016-05-02,44
2016-05-09,50
2016-05-16,50
2016-05-23,48
2016-05-30,47
2016-06-06,54
2016-06-13,48
2016-06-20,56
2016-06-27,49
2016-07-04,42
2016-07-11,65
2016-07-18,59
2016-07-25,47
2016-08-01,37
2016-08-08,46
2016-08-15,40
2016-08-22,44
2016-08-29,64
2016-09-05,44
2016-09-12,34
2016-09-19,38
2016-09-26,59
2016-10-03,46
2016-10-10,37
2016-10-17,48
2016-10-24,47
2016-10-31,42
2016-11-07,65
2016-11-14,51
2016-11-21,50
2016-11-28,29
2016-12-05,28
2016-12-12,29
2016-12-19,29
2016-12-26,30
2017-01-02,51
2017-01-09,69
2017-01-16,61
2017-01-23,57
2017-01-30,42
2017-02-06,59
2017-02-13,40
2017-02-20,42
2017-02-27,64
2017-03-06,50
2017-03-13,60
2017-03-20,36
2017-03-27,67
