ds,y
2013-12-30,1
2014-01-06,18
2014-01-13,11
2014-01-20,20
2014-01-27,33
2014-02-03,25
2014-02-10,42
2014-02-17,40
2014-02-24,26
2014-03-03,29
2014-03-10,35
2014-03-17,69
2014-03-24,43
2014-03-31,62
2014-04-07,65
2014-04-14,35
2014-04-21,41
2014-04-28,46
2014-05-05,71
2014-05-12,52
2014-05-19,113
2014-05-26,73
2014-06-02,55
2014-06-09,75
2014-06-16,96
2014-06-23,70
2014-06-30,55
2014-07-07,125
2014-07-14,62
2014-07-21,70
2014-07-28,59
2014-08-04,43
2014-08-11,51
2014-08-18,69
2014-08-25,60
2014-09-01,54
2014-09-08,63
2014-09-15,55
2014-09-22,68
2014-09-29,88
2014-10-06,70
2014-10-13,80
2014-10-20,82
2014-10-27,57
2014-11-03,79
2014-11-10,55
2014-11-17,60
2014-11-24,116
2014-12-01,130
2014-12-08,74
2014-12-15,31
2014-12-22,17
2014-12-29,79
2015-01-05,72
2015-01-12,98
2015-01-19,62
2015-01-26,58
2015-02-02,77
2015-02-09,44
2015-02-16,83
2015-02-23,80
2015-03-02,82
2015-03-09,62
2015-03-16,103
2015-03-23,99
2015-03-30,163
2015-04-06,161
2015-04-13,158
2015-04-20,142
2015-04-27,147
2015-05-04,124
2015-05-11,173
2015-05-18,138
2015-05-25,166
2015-06-01,167
2015-06-08,156
2015-06-15,147
2015-06-22,164
2015-06-29,164
2015-07-06,128
2015-07-13,117
2015-07-20,156
2015-07-27,178
2015-08-03,144
2015-08-10,177
2015-08-17,146
2015-08-24,185
2015-08-31,141
2015-09-07,141
2015-09-14,142
2015-09-21,128
2015-09-28,141
2015-10-05,154
2015-10-12,127
2015-10-19,129
2015-10-26,128
2015-11-02,104
2015-11-09,138
2015-11-16,126
2015-11-23,110
2015-11-30,106
2015-12-07,91
2015-12-14,63
2015-12-21,88
2016-01-04,114
2016-01-11,122
2016-01-18,110
2016-01-25,108
2016-02-01,106
2016-02-08,117
2016-02-15,101
2016-02-22,137
2016-02-29,143
2016-03-07,131
2016-03-14,112
2016-03-21,71
2016-03-28,135
2016-04-04,167
2016-04-11,147
2016-04-18,183
2016-04-25,145
2016-05-02,121
2016-05-09,134
2016-05-16,134
2016-05-23,164
2016-05-30,159
2016-06-06,156
2016-06-13,158
2016-06-20,140
2016-06-27,135
2016-07-04,141
2016-07-11,143
2016-07-18,156
2016-07-25,146
2016-08-01,138
2016-08-08,149
2016-08-15,150
2016-08-22,187
2016-08-29,145
2016-09-05,155
2016-09-12,110
2016-09-19,149
2016-09-26,130
2016-10-03,163
2016-10-10,118
2016-10-17,132
2016-10-24,143
2016-10-31,125
2016-11-07,150
2016-11-14,123
2016-11-21,89
2016-11-28,93
2016-12-05,112
2016-12-12,87
2016-12-19,78
2016-12-26,120
2017-01-02,128
2017-01-09,141
2017-01-16,189
2017-01-23,152
2017-01-30,121
2017-02-06,153
2017-02-13,143
2017-02-20,171
2017-02-27,188
2017-03-06,190
2017-03-13,181
2017-03-20,142
2017-03-27,170
2017-04-03,134
2017-04-10,120
2017-04-17,152
2017-04-24,177
2017-05-01,141
2017-05-08,174
2017-05-15,201
2017-05-22,215
2017-05-29,168
2017-06-05,173
2017-06-12,145
2017-06-19,184
2017-06-26,147
2017-07-03,140
2017-07-10,130
2017-07-17,144
2017-07-24,152
2017-07-31,140
2017-08-07,132
2017-08-14,204
2017-08-21,184
2017-08-28,129
2017-09-04,146
2017-09-11,128
2017-09-18,109
2017-09-25,166
2017-10-02,163
2017-10-09,143
2017-10-16,248
2017-10-23,186
2017-10-30,130
2017-11-06,137
2017-11-13,121
2017-11-20,124
2017-11-27,132
2017-12-04,136
2017-12-11,116
2017-12-18,104
2017-12-25,90
2018-01-01,94
2018-01-08,127
2018-01-15,150
2018-01-22,179
2018-01-29,142
2018-02-05,159
2018-02-12,156
2018-02-19,171
2018-02-26,163
2018-03-05,156
2018-03-12,168
2018-03-19,129
2018-03-26,124
2018-04-02,129
2018-04-09,170
2018-04-16,169
2018-04-23,132
2018-04-30,143
2018-05-07,153
2018-05-14,191
2018-05-21,169
2018-05-28,167
2018-06-04,168
2018-06-11,137
2018-06-18,227
2018-06-25,109
2018-07-02,119
2018-07-09,141
2018-07-16,142
2018-07-23,173
2018-07-30,132
2018-08-06,154
2018-08-13,139
2018-08-20,140
2018-08-27,147
2018-09-03,144
2018-09-10,138
2018-09-17,143
2018-09-24,173
2018-10-01,156
2018-10-08,156
2018-10-15,168
2018-10-22,152
2018-10-29,123
2018-11-05,132
2018-11-12,130
2018-11-19,106
2018-11-26,114
2018-12-03,101
2018-12-10,103
2018-12-17,81
2018-12-24,69
2018-12-31,104
2019-01-07,127
2019-01-14,130
2019-01-21,132
2019-01-28,120
2019-02-04,88
2019-02-11,108
2019-02-18,132
2019-02-25,115
2019-03-04,124
2019-03-11,166
2019-03-18,144
2019-03-25,164
2019-04-01,137
2019-04-08,148
2019-04-15,89
2019-04-22,111
2019-04-29,102
2019-05-06,117
2019-05-13,133
2019-05-20,139
2019-05-27,142
2019-06-03,150
2019-06-10,159
2019-06-17,149
2019-06-24,142
2019-07-01,130
2019-07-08,116
2019-07-15,157
2019-07-22,143
2019-07-29,135
2019-08-05,147
2019-08-12,148
2019-08-19,161
2019-08-26,156
2019-09-02,177
2019-09-09,140
2019-09-16,119
2019-09-23,163
2019-09-30,131
2019-10-07,162
2019-10-14,138
2019-10-21,136
2019-10-28,131
2019-11-04,98
2019-11-11,137
2019-11-18,109
2019-11-25,118
2019-12-02,125
2019-12-09,112
2019-12-16,88
2019-12-23,66
2019-12-30,61
2020-01-06,100
2020-01-13,139
2020-01-20,127
2020-01-27,151
2020-02-03,121
2020-02-10,160
2020-02-17,155
2020-02-24,167
2020-03-02,131
2020-03-09,145
2020-03-16,88
2020-03-23,61
2020-03-30,65
2020-04-06,53
2020-04-13,82
2020-04-20,63
2020-04-27,85
2020-05-04,84
2020-05-11,90
2020-05-18,102
2020-05-25,137
2020-06-01,102
2020-06-08,106
2020-06-15,132
2020-06-22,85
2020-06-29,108
2020-07-06,89
2020-07-13,101
2020-07-20,86
2020-07-27,63
2020-08-03,118
2020-08-10,120
2020-08-17,135
2020-08-24,146
2020-08-31,149
2020-09-07,124
2020-09-14,102
2020-09-21,125
2020-09-28,133
2020-10-05,103
2020-10-12,110
2020-10-19,109
2020-10-26,96
2020-11-02,87
2020-11-09,76
2020-11-16,78
2020-11-23,82
2020-11-30,107
2020-12-07,94
2020-12-14,70
2020-12-21,59
2020-12-28,56
2021-01-04,76
2021-01-11,79
2021-01-18,89
2021-01-25,112
2021-02-01,103
2021-02-08,124
2021-02-15,111
2021-02-22,146
2021-03-01,119
2021-03-08,166
2021-03-15,122
2021-03-22,131
2021-03-29,75
2021-04-05,106
2021-04-12,101
2021-04-19,131
2021-04-26,119
2021-05-03,136
2021-05-10,128
2021-05-17,144
2021-05-24,150
2021-05-31,177
2021-06-07,153
2021-06-14,140
2021-06-21,158
2021-06-28,143
2021-07-05,142
2021-07-12,133
2021-07-19,129
2021-07-26,118
2021-08-02,128
2021-08-09,131
2021-08-16,109
2021-08-23,126
2021-08-30,141
2021-09-06,138
2021-09-13,106
2021-09-20,146
2021-09-27,131
2021-10-04,147
2021-10-11,144
2021-10-18,181
2021-10-25,190
2021-11-01,140
2021-11-08,145
2021-11-15,109
2021-11-22,145
2021-11-29,110
2021-12-06,154
2021-12-13,117
2021-12-20,71
2021-12-27,96
2022-01-03,70
2022-01-10,107
2022-01-17,111
2022-01-24,111
2022-01-31,101
2022-02-07,120
2022-02-14,159
2022-02-21,178
2022-02-28,152
2022-03-07,152
2022-03-14,152
2022-03-21,115
2022-03-28,148
2022-04-04,136
2022-04-11,124
2022-04-18,152
2022-04-25,157
2022-05-02,125
2022-05-09,141
2022-05-16,132
2022-05-23,156
2022-05-30,200
2022-06-06,204
2022-06-13,158
2022-06-20,171
2022-06-27,125
2022-07-04,128
2022-07-11,117
2022-07-18,131
2022-07-25,135
2022-08-01,145
2022-08-08,180
2022-08-15,143
2022-08-22,177
2022-08-29,175
2022-09-05,165
2022-09-12,96
2022-09-19,159
2022-09-26,161
2022-10-03,150
2022-10-10,141
2022-10-17,153
2022-10-24,164
2022-10-31,113
2022-11-07,162
2022-11-14,152
2022-11-21,136
2022-11-28,127
2022-12-05,99
2022-12-12,114
2022-12-19,71
2022-12-26,95
2023-01-02,122
2023-01-09,133
2023-01-16,130
2023-01-23,123
2023-01-30,140
2023-02-06,150
2023-02-13,204
2023-02-20,207
2023-02-27,172
2023-03-06,195
2023-03-13,147
2023-03-20,138
2023-03-27,166
2023-04-03,80
2023-04-10,162
2023-04-17,159
2023-04-24,148
2023-05-01,132
2023-05-08,133
2023-05-15,97
2023-05-22,156
2023-05-29,153
2023-06-05,175
2023-06-12,139
2023-06-19,115
2023-06-26,108
2023-07-03,131
2023-07-10,113
2023-07-17,135
2023-07-24,108
2023-07-31,146
2023-08-07,146
2023-08-14,156
2023-08-21,146
2023-08-28,154
2023-09-04,156
2023-09-11,209
