ds,y
2013-12-30,3
2014-01-06,83
2014-01-13,104
2014-01-20,103
2014-01-27,129
2014-02-03,96
2014-02-10,123
2014-02-17,108
2014-02-24,151
2014-03-03,108
2014-03-10,152
2014-03-17,93
2014-03-24,101
2014-03-31,133
2014-04-07,118
2014-04-14,93
2014-04-21,118
2014-04-28,95
2014-05-05,112
2014-05-12,105
2014-05-19,124
2014-05-26,119
2014-06-02,164
2014-06-09,146
2014-06-16,120
2014-06-23,133
2014-06-30,127
2014-07-07,139
2014-07-14,111
2014-07-21,126
2014-07-28,108
2014-08-04,203
2014-08-11,194
2014-08-18,130
2014-08-25,124
2014-09-01,148
2014-09-08,150
2014-09-15,130
2014-09-22,133
2014-09-29,121
2014-10-06,126
2014-10-13,78
2014-10-20,107
2014-10-27,87
2014-11-03,134
2014-11-10,108
2014-11-17,75
2014-11-24,93
2014-12-01,77
2014-12-08,59
2014-12-15,79
2014-12-22,47
2014-12-29,127
2015-01-05,118
2015-01-12,116
2015-01-19,111
2015-01-26,79
2015-02-02,103
2015-02-09,111
2015-02-16,128
2015-02-23,96
2015-03-02,130
2015-03-09,83
2015-03-16,117
2015-03-23,111
2015-03-30,163
2015-04-06,147
2015-04-13,161
2015-04-20,137
2015-04-27,174
2015-05-04,151
2015-05-11,156
2015-05-18,146
2015-05-25,160
2015-06-01,139
2015-06-08,156
2015-06-15,150
2015-06-22,109
2015-06-29,144
2015-07-06,126
2015-07-13,149
2015-07-20,129
2015-07-27,118
2015-08-03,148
2015-08-10,140
2015-08-17,128
2015-08-24,181
2015-08-31,158
2015-09-07,98
2015-09-14,160
2015-09-21,131
2015-09-28,156
2015-10-05,141
2015-10-12,122
2015-10-19,134
2015-10-26,125
2015-11-02,116
2015-11-09,116
2015-11-16,136
2015-11-23,131
2015-11-30,130
2015-12-07,92
2015-12-14,86
2015-12-21,87
2016-01-04,126
2016-01-11,108
2016-01-18,142
2016-01-25,132
2016-02-01,118
2016-02-08,113
2016-02-15,138
2016-02-22,158
2016-02-29,120
2016-03-07,190
2016-03-14,164
2016-03-21,95
2016-03-28,171
2016-04-04,159
2016-04-11,173
2016-04-18,171
2016-04-25,166
2016-05-02,169
2016-05-09,173
2016-05-16,173
2016-05-23,145
2016-05-30,178
2016-06-06,162
2016-06-13,221
2016-06-20,140
2016-06-27,145
2016-07-04,166
2016-07-11,146
2016-07-18,169
2016-07-25,152
2016-08-01,201
2016-08-08,125
2016-08-15,154
2016-08-22,198
2016-08-29,173
2016-09-05,190
2016-09-12,144
2016-09-19,174
2016-09-26,152
2016-10-03,179
2016-10-10,189
2016-10-17,211
2016-10-24,156
2016-10-31,321
2016-11-07,485
2016-11-14,177
2016-11-21,160
2016-11-28,125
2016-12-05,196
2016-12-12,196
2016-12-19,122
2016-12-26,129
2017-01-02,94
2017-01-09,144
2017-01-16,193
2017-01-23,184
2017-01-30,174
2017-02-06,152
2017-02-13,201
2017-02-20,192
2017-02-27,178
2017-03-06,212
2017-03-13,234
2017-03-20,165
2017-03-27,256
2017-04-03,203
2017-04-10,148
2017-04-17,224
2017-04-24,204
2017-05-01,161
2017-05-08,141
2017-05-15,245
2017-05-22,205
2017-05-29,252
2017-06-05,166
2017-06-12,243
2017-06-19,199
2017-06-26,185
2017-07-03,211
2017-07-10,199
2017-07-17,227
2017-07-24,161
2017-07-31,183
2017-08-07,184
2017-08-14,197
2017-08-21,187
2017-08-28,293
2017-09-04,160
2017-09-11,172
2017-09-18,192
2017-09-25,81
2017-10-02,239
2017-10-09,204
2017-10-16,213
2017-10-23,161
2017-10-30,181
2017-11-06,179
2017-11-13,235
