ds,y
2013-12-30,1
2014-01-06,13
2014-01-13,18
2014-01-20,18
2014-01-27,31
2014-02-03,15
2014-02-10,27
2014-02-17,31
2014-02-24,35
2014-03-03,14
2014-03-10,38
2014-03-17,22
2014-03-24,17
2014-03-31,26
2014-04-07,25
2014-04-14,28
2014-04-21,27
2014-04-28,17
2014-05-05,29
2014-05-12,27
2014-05-19,23
2014-05-26,27
2014-06-02,37
2014-06-09,25
2014-06-16,23
2014-06-23,27
2014-06-30,22
2014-07-07,27
2014-07-14,30
2014-07-21,26
2014-07-28,18
2014-08-04,33
2014-08-11,45
2014-08-18,18
2014-08-25,30
2014-09-01,31
2014-09-08,33
2014-09-15,27
2014-09-22,30
2014-09-29,25
2014-10-06,36
2014-10-13,14
2014-10-20,16
2014-10-27,22
2014-11-03,18
2014-11-10,23
2014-11-17,11
2014-11-24,15
2014-12-01,15
2014-12-08,13
2014-12-15,18
2014-12-22,9
2014-12-29,28
2015-01-05,26
2015-01-12,23
2015-01-19,31
2015-01-26,16
2015-02-02,31
2015-02-09,23
2015-02-16,28
2015-02-23,24
2015-03-02,25
2015-03-09,25
2015-03-16,30
2015-03-23,29
2015-03-30,31
2015-04-06,32
2015-04-13,35
2015-04-20,30
2015-04-27,47
2015-05-04,30
2015-05-11,38
2015-05-18,27
2015-05-25,32
2015-06-01,26
2015-06-08,36
2015-06-15,28
2015-06-22,28
2015-06-29,32
2015-07-06,22
2015-07-13,32
2015-07-20,36
2015-07-27,31
2015-08-03,47
2015-08-10,27
2015-08-17,29
2015-08-24,42
2015-08-31,35
2015-09-07,26
2015-09-14,38
2015-09-21,28
2015-09-28,41
2015-10-05,23
2015-10-12,27
2015-10-19,32
2015-10-26,37
2015-11-02,20
2015-11-09,20
2015-11-16,36
2015-11-23,29
2015-11-30,24
2015-12-07,21
2015-12-14,20
2015-12-21,15
2016-01-04,29
2016-01-11,28
2016-01-18,25
2016-01-25,28
2016-02-01,27
2016-02-08,20
2016-02-15,39
2016-02-22,38
2016-02-29,24
2016-03-07,47
2016-03-14,21
2016-03-21,21
2016-03-28,47
2016-04-04,28
2016-04-11,35
2016-04-18,43
2016-04-25,36
2016-05-02,40
2016-05-09,42
2016-05-16,42
2016-05-23,40
2016-05-30,41
2016-06-06,32
2016-06-13,48
2016-06-20,38
2016-06-27,30
2016-07-04,36
2016-07-11,32
2016-07-18,25
2016-07-25,34
2016-08-01,32
2016-08-08,29
2016-08-15,29
2016-08-22,47
2016-08-29,35
2016-09-05,51
2016-09-12,34
2016-09-19,37
2016-09-26,35
2016-10-03,29
2016-10-10,40
2016-10-17,42
2016-10-24,43
2016-10-31,64
2016-11-07,84
2016-11-14,49
2016-11-21,33
2016-11-28,41
2016-12-05,49
2016-12-12,30
2016-12-19,24
2016-12-26,30
2017-01-02,27
2017-01-09,37
2017-01-16,39
2017-01-23,38
2017-01-30,46
2017-02-06,36
2017-02-13,53
2017-02-20,49
2017-02-27,43
2017-03-06,42
2017-03-13,57
2017-03-20,39
2017-03-27,69
2017-04-03,47
2017-04-10,34
2017-04-17,48
2017-04-24,48
2017-05-01,38
2017-05-08,33
2017-05-15,58
2017-05-22,47
2017-05-29,73
2017-06-05,41
2017-06-12,46
2017-06-19,44
2017-06-26,43
2017-07-03,35
2017-07-10,46
2017-07-17,57
2017-07-24,39
2017-07-31,44
2017-08-07,56
2017-08-14,41
2017-08-21,42
2017-08-28,166
2017-09-04,45
2017-09-11,40
2017-09-18,46
2017-09-25,35
2017-10-02,66
2017-10-09,48
2017-10-16,60
2017-10-23,50
2017-10-30,42
2017-11-06,38
2017-11-13,74
2017-11-20,50
2017-11-27,57
2017-12-04,55
2017-12-11,32
2017-12-18,42
2017-12-25,37
2018-01-01,25
2018-01-08,31
2018-01-15,58
2018-01-22,64
2018-01-29,57
2018-02-05,51
2018-02-12,42
2018-02-19,48
2018-02-26,52
2018-03-05,51
2018-03-12,37
2018-03-19,53
2018-03-26,35
2018-04-02,66
2018-04-09,45
2018-04-16,43
2018-04-23,48
2018-04-30,48
2018-05-07,49
2018-05-14,38
2018-05-21,47
2018-05-28,48
2018-06-04,54
2018-06-11,61
2018-06-18,40
2018-06-25,49
2018-07-02,41
2018-07-09,42
2018-07-16,53
2018-07-23,35
2018-07-30,26
2018-08-06,40
2018-08-13,45
2018-08-20,54
2018-08-27,41
2018-09-03,36
2018-09-10,49
2018-09-17,63
2018-09-24,44
2018-10-01,59
2018-10-08,40
2018-10-15,45
2018-10-22,39
2018-10-29,44
2018-11-05,38
2018-11-12,42
2018-11-19,34
2018-11-26,39
2018-12-03,43
2018-12-10,33
2018-12-17,24
2018-12-24,30
2018-12-31,18
2019-01-07,28
2019-01-14,25
2019-01-21,33
2019-01-28,27
2019-02-04,34
2019-02-11,37
2019-02-18,37
2019-02-25,41
2019-03-04,47
2019-03-11,42
2019-03-18,44
2019-03-25,49
2019-04-01,44
2019-04-08,36
2019-04-15,38
2019-04-22,46
2019-04-29,31
2019-05-06,37
2019-05-13,46
2019-05-20,40
2019-05-27,53
2019-06-03,34
2019-06-10,46
2019-06-17,63
2019-06-24,42
2019-07-01,64
2019-07-08,31
2019-07-15,33
2019-07-22,37
2019-07-29,40
2019-08-05,45
2019-08-12,37
2019-08-19,55
2019-08-26,50
2019-09-02,38
2019-09-09,37
2019-09-16,35
2019-09-23,43
2019-09-30,43
2019-10-07,35
2019-10-14,46
2019-10-21,43
2019-10-28,40
2019-11-04,37
2019-11-11,54
2019-11-18,29
2019-11-25,56
2019-12-02,102
2019-12-09,36
2019-12-16,43
2019-12-23,27
2019-12-30,11
2020-01-06,25
2020-01-13,29
2020-01-20,38
2020-01-27,32
2020-02-03,41
2020-02-10,48
2020-02-17,50
2020-02-24,54
2020-03-02,41
2020-03-09,52
2020-03-16,32
2020-03-23,22
2020-03-30,16
2020-04-06,14
2020-04-13,18
2020-04-20,22
2020-04-27,14
2020-05-04,12
2020-05-11,6
2020-05-18,10
2020-05-25,21
2020-06-01,19
2020-06-08,17
2020-06-15,30
2020-06-22,12
2020-06-29,20
2020-07-06,25
2020-07-13,24
2020-07-20,46
2020-07-27,13
2020-08-03,38
2020-08-10,22
2020-08-17,24
2020-08-24,31
2020-08-31,30
2020-09-07,28
2020-09-14,33
2020-09-21,24
2020-09-28,32
2020-10-05,36
2020-10-12,27
2020-10-19,48
2020-10-26,29
2020-11-02,25
2020-11-09,32
2020-11-16,37
2020-11-23,45
2020-11-30,40
2020-12-07,20
2020-12-14,33
2020-12-21,18
2020-12-28,16
2021-01-04,11
2021-01-11,26
2021-01-18,21
2021-01-25,60
2021-02-01,37
2021-02-08,35
2021-02-15,23
2021-02-22,42
2021-03-01,41
2021-03-08,40
2021-03-15,35
2021-03-22,32
2021-03-29,42
2021-04-05,50
2021-04-12,42
2021-04-19,53
2021-04-26,39
2021-05-03,58
2021-05-10,28
2021-05-17,68
2021-05-24,58
2021-05-31,31
2021-06-07,53
2021-06-14,45
2021-06-21,41
2021-06-28,56
2021-07-05,53
2021-07-12,52
2021-07-19,68
2021-07-26,53
2021-08-02,51
2021-08-09,70
2021-08-16,55
2021-08-23,39
2021-08-30,34
2021-09-06,41
2021-09-13,51
2021-09-20,74
2021-09-27,65
2021-10-04,67
2021-10-11,71
2021-10-18,58
2021-10-25,60
2021-11-01,43
2021-11-08,52
2021-11-15,87
2021-11-22,61
2021-11-29,101
2021-12-06,119
2021-12-13,68
2021-12-20,64
2021-12-27,42
2022-01-03,31
2022-01-10,54
2022-01-17,53
2022-01-24,54
2022-01-31,68
2022-02-07,47
2022-02-14,77
2022-02-21,59
2022-02-28,44
2022-03-07,82
2022-03-14,59
2022-03-21,53
2022-03-28,78
2022-04-04,62
2022-04-11,33
2022-04-18,40
2022-04-25,82
2022-05-02,52
2022-05-09,71
2022-05-16,85
2022-05-23,87
2022-05-30,64
2022-06-06,83
2022-06-13,62
2022-06-20,79
2022-06-27,58
2022-07-04,57
2022-07-11,48
2022-07-18,61
2022-07-25,88
2022-08-01,77
2022-08-08,73
2022-08-15,75
2022-08-22,89
2022-08-29,57
2022-09-05,78
2022-09-12,67
2022-09-19,67
2022-09-26,100
2022-10-03,77
2022-10-10,74
2022-10-17,88
2022-10-24,97
2022-10-31,59
2022-11-07,79
2022-11-14,89
2022-11-21,77
2022-11-28,106
2022-12-05,89
2022-12-12,57
2022-12-19,46
2022-12-26,51
2023-01-02,36
2023-01-09,66
2023-01-16,58
2023-01-23,59
2023-01-30,85
2023-02-06,61
2023-02-13,77
2023-02-20,68
2023-02-27,73
2023-03-06,91
2023-03-13,62
2023-03-20,57
2023-03-27,62
2023-04-03,66
2023-04-10,70
2023-04-17,79
2023-04-24,91
2023-05-01,50
2023-05-08,120
2023-05-15,85
2023-05-22,94
2023-05-29,95
2023-06-05,87
2023-06-12,109
2023-06-19,100
2023-06-26,82
2023-07-03,75
2023-07-10,75
2023-07-17,86
2023-07-24,114
2023-07-31,70
2023-08-07,86
2023-08-14,70
2023-08-21,82
2023-08-28,97
2023-09-04,79
2023-09-11,63
2023-09-18,42
2023-09-25,93
2023-10-02,107
2023-10-09,80
2023-10-16,70
2023-10-23,66
2023-10-30,48
2023-11-06,101
2023-11-13,74
2023-11-20,94
2023-11-27,62
2023-12-04,61
2023-12-11,39
2023-12-18,46
2023-12-25,29
2024-01-01,37
2024-01-08,70
2024-01-15,75
2024-01-22,63
2024-01-29,69
2024-02-05,59
2024-02-12,67
2024-02-19,63
2024-02-26,26
2024-03-04,53
2024-03-11,56
2024-03-18,47
2024-03-25,44
2024-04-01,44
2024-04-08,53
2024-04-15,56
2024-04-22,40
2024-04-29,39
2024-05-06,57
2024-05-13,40
2024-05-20,50
2024-05-27,59
2024-06-03,51
2024-06-10,42
2024-06-17,38
2024-06-24,66
2024-07-01,29
2024-07-08,49
2024-07-15,59
2024-07-22,62
2024-07-29,56
2024-08-05,65
2024-08-12,58
2024-08-19,45
2024-08-26,38
2024-09-02,40
2024-09-09,48
2024-09-16,32
2024-09-23,51
2024-09-30,56
2024-10-07,38
2024-10-14,52
2024-10-21,63
2024-10-28,47
2024-11-04,53
2024-11-11,64
2024-11-18,55
2024-11-25,58
2024-12-02,42
2024-12-09,32
2024-12-16,23
2024-12-23,14
2024-12-30,25
