ds,y
2013-12-30,2
2014-01-06,70
2014-01-13,86
2014-01-20,85
2014-01-27,98
2014-02-03,81
2014-02-10,96
2014-02-17,77
2014-02-24,116
2014-03-03,94
2014-03-10,114
2014-03-17,71
2014-03-24,84
2014-03-31,107
2014-04-07,93
2014-04-14,65
2014-04-21,91
2014-04-28,78
2014-05-05,83
2014-05-12,78
2014-05-19,101
2014-05-26,92
2014-06-02,127
2014-06-09,121
2014-06-16,97
2014-06-23,106
2014-06-30,105
2014-07-07,112
2014-07-14,81
2014-07-21,100
2014-07-28,90
2014-08-04,170
2014-08-11,149
2014-08-18,112
2014-08-25,94
2014-09-01,117
2014-09-08,117
2014-09-15,103
2014-09-22,103
2014-09-29,96
2014-10-06,90
2014-10-13,64
2014-10-20,91
2014-10-27,65
2014-11-03,116
2014-11-10,85
2014-11-17,64
2014-11-24,78
2014-12-01,62
2014-12-08,46
2014-12-15,61
2014-12-22,38
2014-12-29,99
2015-01-05,92
2015-01-12,93
2015-01-19,80
2015-01-26,63
2015-02-02,72
2015-02-09,88
2015-02-16,100
2015-02-23,72
2015-03-02,105
2015-03-09,58
2015-03-16,87
2015-03-23,82
2015-03-30,132
2015-04-06,115
2015-04-13,126
2015-04-20,107
2015-04-27,127
2015-05-04,121
2015-05-11,118
2015-05-18,119
2015-05-25,128
2015-06-01,113
2015-06-08,120
2015-06-15,122
2015-06-22,81
2015-06-29,112
2015-07-06,104
2015-07-13,117
2015-07-20,93
2015-07-27,87
2015-08-03,101
2015-08-10,113
2015-08-17,99
2015-08-24,139
2015-08-31,123
2015-09-07,72
2015-09-14,122
2015-09-21,103
2015-09-28,115
2015-10-05,118
2015-10-12,95
2015-10-19,102
2015-10-26,88
2015-11-02,96
2015-11-09,96
2015-11-16,100
2015-11-23,102
2015-11-30,106
2015-12-07,71
2015-12-14,66
2015-12-21,72
2016-01-04,97
2016-01-11,80
2016-01-18,117
2016-01-25,104
2016-02-01,91
2016-02-08,93
2016-02-15,99
2016-02-22,120
2016-02-29,96
2016-03-07,143
2016-03-14,143
2016-03-21,74
2016-03-28,124
2016-04-04,131
2016-04-11,138
2016-04-18,128
2016-04-25,130
2016-05-02,129
2016-05-09,131
2016-05-16,131
2016-05-23,105
2016-05-30,137
2016-06-06,130
2016-06-13,173
2016-06-20,102
2016-06-27,115
2016-07-04,130
2016-07-11,114
2016-07-18,144
2016-07-25,118
2016-08-01,169
2016-08-08,96
2016-08-15,125
2016-08-22,151
2016-08-29,138
2016-09-05,139
2016-09-12,110
2016-09-19,137
2016-09-26,117
2016-10-03,150
2016-10-10,149
2016-10-17,169
2016-10-24,113
2016-10-31,257
2016-11-07,401
2016-11-14,128
2016-11-21,127
2016-11-28,84
2016-12-05,147
2016-12-12,166
2016-12-19,98
2016-12-26,99
2017-01-02,67
2017-01-09,107
2017-01-16,154
2017-01-23,146
2017-01-30,128
2017-02-06,116
2017-02-13,148
2017-02-20,143
2017-02-27,135
2017-03-06,170
2017-03-13,177
2017-03-20,126
2017-03-27,187
2017-04-03,156
2017-04-10,114
2017-04-17,176
2017-04-24,156
2017-05-01,123
2017-05-08,108
2017-05-15,187
2017-05-22,158
2017-05-29,179
2017-06-05,125
2017-06-12,197
2017-06-19,155
2017-06-26,142
2017-07-03,176
2017-07-10,153
2017-07-17,170
2017-07-24,122
2017-07-31,139
2017-08-07,128
2017-08-14,156
2017-08-21,145
2017-08-28,127
2017-09-04,115
2017-09-11,132
2017-09-18,146
2017-09-25,46
2017-10-02,173
2017-10-09,156
2017-10-16,153
2017-10-23,111
2017-10-30,139
2017-11-06,141
2017-11-13,161
2017-11-20,114
2017-11-27,154
2017-12-04,135
2017-12-11,89
2017-12-18,93
2017-12-25,125
2018-01-01,78
2018-01-08,101
2018-01-15,143
2018-01-22,113
2018-01-29,115
2018-02-05,113
2018-02-12,157
2018-02-19,164
2018-02-26,128
2018-03-05,164
2018-03-12,164
2018-03-19,144
2018-03-26,118
2018-04-02,164
2018-04-09,118
2018-04-16,136
2018-04-23,127
2018-04-30,122
2018-05-07,118
2018-05-14,132
2018-05-21,130
2018-05-28,145
2018-06-04,153
2018-06-11,133
2018-06-18,135
2018-06-25,126
2018-07-02,163
2018-07-09,124
2018-07-16,140
2018-07-23,139
2018-07-30,111
2018-08-06,119
2018-08-13,122
2018-08-20,158
2018-08-27,116
2018-09-03,123
2018-09-10,132
2018-09-17,137
2018-09-24,122
2018-10-01,178
2018-10-08,138
2018-10-15,129
2018-10-22,140
2018-10-29,129
2018-11-05,144
2018-11-12,119
2018-11-19,114
2018-11-26,119
2018-12-03,102
2018-12-10,94
2018-12-17,77
2018-12-24,78
2018-12-31,61
2019-01-07,101
2019-01-14,109
2019-01-21,103
2019-01-28,102
2019-02-04,91
2019-02-11,135
2019-02-18,115
2019-02-25,121
2019-03-04,132
2019-03-11,132
2019-03-18,129
2019-03-25,127
2019-04-01,147
2019-04-08,136
2019-04-15,119
2019-04-22,131
2019-04-29,113
2019-05-06,85
2019-05-13,146
2019-05-20,125
2019-05-27,134
2019-06-03,137
2019-06-10,159
2019-06-17,147
2019-06-24,127
2019-07-01,174
2019-07-08,119
2019-07-15,108
2019-07-22,119
2019-07-29,109
2019-08-05,119
2019-08-12,99
2019-08-19,161
2019-08-26,151
2019-09-02,123
2019-09-09,123
2019-09-16,131
2019-09-23,135
2019-09-30,148
2019-10-07,136
2019-10-14,132
2019-10-21,131
2019-10-28,101
2019-11-04,130
2019-11-11,147
2019-11-18,90
2019-11-25,139
2019-12-02,184
2019-12-09,89
2019-12-16,95
2019-12-23,78
2019-12-30,47
2020-01-06,76
2020-01-13,73
2020-01-20,129
2020-01-27,131
2020-02-03,97
2020-02-10,151
2020-02-17,134
2020-02-24,121
2020-03-02,120
2020-03-09,137
2020-03-16,93
2020-03-23,93
2020-03-30,68
2020-04-06,40
2020-04-13,48
2020-04-20,31
2020-04-27,40
2020-05-04,32
2020-05-11,40
2020-05-18,38
2020-05-25,41
2020-06-01,30
2020-06-08,51
2020-06-15,71
2020-06-22,40
2020-06-29,47
2020-07-06,52
2020-07-13,53
2020-07-20,69
2020-07-27,38
2020-08-03,76
2020-08-10,53
2020-08-17,92
2020-08-24,74
2020-08-31,103
2020-09-07,73
2020-09-14,78
2020-09-21,89
2020-09-28,84
2020-10-05,84
2020-10-12,74
2020-10-19,125
2020-10-26,85
2020-11-02,78
2020-11-09,117
2020-11-16,96
2020-11-23,119
2020-11-30,77
2020-12-07,76
2020-12-14,76
2020-12-21,47
2020-12-28,33
2021-01-04,44
2021-01-11,72
2021-01-18,66
2021-01-25,83
2021-02-01,68
2021-02-08,83
2021-02-15,68
2021-02-22,80
2021-03-01,98
2021-03-08,108
2021-03-15,94
2021-03-22,105
2021-03-29,101
2021-04-05,110
2021-04-12,101
2021-04-19,153
2021-04-26,124
2021-05-03,158
2021-05-10,121
2021-05-17,161
2021-05-24,170
2021-05-31,126
2021-06-07,138
2021-06-14,132
2021-06-21,128
2021-06-28,169
2021-07-05,165
2021-07-12,168
2021-07-19,149
2021-07-26,128
2021-08-02,146
2021-08-09,174
2021-08-16,148
2021-08-23,122
2021-08-30,154
2021-09-06,159
2021-09-13,128
2021-09-20,201
2021-09-27,208
2021-10-04,190
2021-10-11,184
2021-10-18,200
2021-10-25,188
2021-11-01,137
2021-11-08,179
2021-11-15,167
2021-11-22,163
2021-11-29,199
2021-12-06,220
2021-12-13,137
2021-12-20,104
2021-12-27,84
2022-01-03,97
2022-01-10,115
2022-01-17,144
2022-01-24,139
2022-01-31,161
2022-02-07,113
2022-02-14,181
2022-02-21,152
2022-02-28,160
2022-03-07,192
2022-03-14,192
2022-03-21,148
2022-03-28,188
2022-04-04,179
2022-04-11,116
2022-04-18,159
2022-04-25,222
2022-05-02,209
2022-05-09,199
2022-05-16,223
2022-05-23,237
2022-05-30,215
2022-06-06,244
2022-06-13,205
2022-06-20,208
2022-06-27,194
2022-07-04,180
2022-07-11,204
2022-07-18,188
2022-07-25,250
2022-08-01,192
2022-08-08,218
2022-08-15,211
2022-08-22,202
2022-08-29,176
2022-09-05,201
2022-09-12,182
2022-09-19,195
2022-09-26,314
2022-10-03,196
2022-10-10,207
2022-10-17,264
2022-10-24,246
2022-10-31,151
2022-11-07,237
2022-11-14,281
2022-11-21,203
2022-11-28,192
2022-12-05,213
2022-12-12,290
2022-12-19,125
2022-12-26,108
2023-01-02,110
2023-01-09,215
2023-01-16,151
2023-01-23,202
2023-01-30,225
2023-02-06,177
2023-02-13,205
2023-02-20,209
2023-02-27,174
2023-03-06,218
2023-03-13,189
2023-03-20,181
2023-03-27,189
2023-04-03,179
2023-04-10,182
2023-04-17,224
2023-04-24,276
2023-05-01,171
2023-05-08,273
2023-05-15,238
2023-05-22,221
2023-05-29,273
2023-06-05,249
2023-06-12,245
2023-06-19,224
2023-06-26,261
2023-07-03,233
2023-07-10,193
2023-07-17,223
2023-07-24,261
2023-07-31,237
2023-08-07,286
2023-08-14,213
2023-08-21,295
2023-08-28,253
2023-09-04,212
2023-09-11,247
2023-09-18,235
2023-09-25,265
2023-10-02,251
2023-10-09,256
2023-10-16,220
2023-10-23,187
2023-10-30,151
2023-11-06,202
2023-11-13,226
2023-11-20,176
2023-11-27,165
2023-12-04,125
2023-12-11,104
2023-12-18,98
2023-12-25,70
2024-01-01,112
2024-01-08,157
2024-01-15,223
2024-01-22,195
2024-01-29,168
2024-02-05,172
2024-02-12,188
2024-02-19,180
2024-02-26,103
2024-03-04,163
2024-03-11,160
2024-03-18,138
2024-03-25,127
2024-04-01,159
2024-04-08,193
2024-04-15,191
2024-04-22,174
2024-04-29,127
2024-05-06,137
2024-05-13,147
2024-05-20,180
2024-05-27,152
2024-06-03,168
2024-06-10,122
2024-06-17,169
2024-06-24,171
2024-07-01,141
2024-07-08,147
2024-07-15,120
2024-07-22,178
2024-07-29,178
2024-08-05,158
2024-08-12,147
2024-08-19,146
2024-08-26,143
2024-09-02,148
2024-09-09,142
2024-09-16,110
2024-09-23,136
2024-09-30,150
2024-10-07,168
2024-10-14,170
2024-10-21,177
2024-10-28,130
2024-11-04,169
2024-11-11,199
2024-11-18,136
2024-11-25,200
2024-12-02,170
2024-12-09,144
2024-12-16,102
2024-12-23,73
2024-12-30,77
