ds,y
2013-12-30,6
2014-01-06,27
2014-01-13,30
2014-01-20,33
2014-01-27,51
2014-02-03,23
2014-02-10,58
2014-02-17,39
2014-02-24,31
2014-03-03,44
2014-03-10,48
2014-03-17,48
2014-03-24,45
2014-03-31,63
2014-04-07,36
2014-04-14,29
2014-04-21,42
2014-04-28,42
2014-05-05,62
2014-05-12,77
2014-05-19,54
2014-05-26,66
2014-06-02,89
2014-06-09,87
2014-06-16,90
2014-06-23,51
2014-06-30,73
2014-07-07,49
2014-07-14,53
2014-07-21,34
2014-07-28,25
2014-08-04,38
2014-08-11,48
2014-08-18,88
2014-08-25,58
2014-09-01,46
2014-09-08,53
2014-09-15,38
2014-09-22,65
2014-09-29,39
2014-10-06,66
2014-10-13,71
2014-10-20,37
2014-10-27,56
2014-11-03,36
2014-11-10,61
2014-11-17,32
2014-11-24,37
2014-12-01,48
2014-12-08,43
2014-12-15,35
2014-12-22,14
2014-12-29,64
2015-01-05,40
2015-01-12,73
2015-01-19,61
2015-01-26,70
2015-02-02,45
2015-02-09,46
2015-02-16,28
2015-02-23,51
2015-03-02,58
2015-03-09,56
2015-03-16,68
2015-03-23,37
2015-03-30,77
2015-04-06,87
2015-04-13,73
2015-04-20,57
2015-04-27,76
2015-05-04,77
2015-05-11,63
2015-05-18,64
2015-05-25,91
2015-06-01,100
2015-06-08,96
2015-06-15,76
2015-06-22,52
2015-06-29,65
2015-07-06,67
2015-07-13,55
2015-07-20,93
2015-07-27,87
2015-08-03,81
2015-08-10,59
2015-08-17,72
2015-08-24,70
2015-08-31,84
2015-09-07,39
2015-09-14,59
2015-09-21,57
2015-09-28,65
2015-10-05,21
2015-10-12,30
2015-10-19,30
2015-10-26,32
2015-11-02,61
2015-11-09,52
2015-11-16,67
2015-11-23,66
2015-11-30,50
2015-12-07,46
2015-12-14,23
2015-12-21,22
2016-01-04,37
2016-01-11,38
2016-01-18,78
2016-01-25,56
2016-02-01,31
2016-02-08,75
2016-02-15,53
2016-02-22,74
2016-02-29,57
2016-03-07,58
2016-03-14,68
2016-03-21,36
2016-03-28,49
2016-04-04,68
2016-04-11,72
2016-04-18,86
2016-04-25,68
2016-05-02,85
2016-05-09,72
2016-05-16,72
2016-05-23,86
2016-05-30,81
2016-06-06,69
2016-06-13,69
2016-06-20,58
2016-06-27,53
2016-07-04,67
2016-07-11,73
2016-07-18,47
2016-07-25,36
2016-08-01,58
2016-08-08,65
2016-08-15,56
2016-08-22,43
2016-08-29,69
2016-09-05,69
2016-09-12,40
2016-09-19,70
2016-09-26,53
2016-10-03,51
2016-10-10,93
2016-10-17,63
2016-10-24,59
2016-10-31,46
2016-11-07,47
2016-11-14,56
2016-11-21,42
2016-11-28,25
2016-12-05,58
2016-12-12,35
2016-12-19,32
2016-12-26,41
2017-01-02,48
2017-01-09,70
2017-01-16,84
2017-01-23,109
2017-01-30,88
2017-02-06,62
2017-02-13,62
2017-02-20,78
2017-02-27,121
2017-03-06,94
2017-03-13,147
2017-03-20,111
2017-03-27,105
2017-04-03,80
2017-04-10,57
2017-04-17,66
2017-04-24,108
2017-05-01,74
2017-05-08,64
2017-05-15,84
2017-05-22,91
2017-05-29,93
2017-06-05,91
2017-06-12,137
2017-06-19,71
2017-06-26,101
2017-07-03,74
2017-07-10,59
2017-07-17,80
2017-07-24,68
2017-07-31,66
2017-08-07,75
2017-08-14,113
2017-08-21,105
2017-08-28,109
2017-09-04,88
2017-09-11,88
2017-09-18,95
2017-09-25,88
2017-10-02,108
2017-10-09,96
2017-10-16,86
2017-10-23,96
2017-10-30,55
2017-11-06,90
2017-11-13,96
2017-11-20,79
2017-11-27,92
2017-12-04,75
2017-12-11,32
2017-12-18,47
2017-12-25,44
2018-01-01,64
2018-01-08,45
2018-01-15,73
2018-01-22,87
2018-01-29,81
2018-02-05,74
2018-02-12,70
2018-02-19,96
2018-02-26,85
2018-03-05,71
2018-03-12,84
2018-03-19,90
2018-03-26,57
2018-04-02,99
2018-04-09,95
2018-04-16,80
2018-04-23,76
2018-04-30,83
2018-05-07,89
2018-05-14,126
2018-05-21,117
2018-05-28,116
2018-06-04,73
2018-06-11,74
2018-06-18,92
2018-06-25,53
2018-07-02,92
2018-07-09,130
2018-07-16,92
2018-07-23,97
2018-07-30,83
2018-08-06,79
2018-08-13,85
2018-08-20,94
2018-08-27,75
2018-09-03,105
2018-09-10,97
2018-09-17,65
2018-09-24,144
2018-10-01,97
2018-10-08,75
2018-10-15,85
2018-10-22,119
2018-10-29,85
2018-11-05,83
2018-11-12,87
2018-11-19,63
2018-11-26,72
2018-12-03,77
2018-12-10,55
2018-12-17,47
2018-12-24,65
2018-12-31,46
2019-01-07,61
2019-01-14,86
2019-01-21,74
2019-01-28,75
2019-02-04,65
2019-02-11,72
2019-02-18,77
2019-02-25,82
2019-03-04,69
2019-03-11,69
2019-03-18,55
2019-03-25,89
2019-04-01,73
2019-04-08,52
2019-04-15,35
2019-04-22,49
2019-04-29,50
2019-05-06,47
2019-05-13,45
2019-05-20,66
2019-05-27,75
2019-06-03,67
2019-06-10,68
2019-06-17,65
2019-06-24,72
2019-07-01,72
2019-07-08,60
2019-07-15,64
2019-07-22,67
2019-07-29,59
2019-08-05,43
2019-08-12,79
2019-08-19,58
2019-08-26,73
2019-09-02,65
2019-09-09,72
2019-09-16,59
2019-09-23,82
2019-09-30,72
2019-10-07,89
2019-10-14,86
2019-10-21,75
2019-10-28,63
2019-11-04,89
2019-11-11,68
2019-11-18,67
2019-11-25,96
2019-12-02,89
2019-12-09,59
2019-12-16,52
2019-12-23,41
2019-12-30,33
2020-01-06,47
2020-01-13,72
2020-01-20,81
2020-01-27,58
2020-02-03,51
2020-02-10,62
2020-02-17,77
2020-02-24,92
2020-03-02,59
2020-03-09,69
2020-03-16,77
2020-03-23,39
2020-03-30,46
2020-04-06,53
2020-04-13,58
2020-04-20,58
2020-04-27,43
2020-05-04,57
2020-05-11,60
2020-05-18,51
2020-05-25,66
2020-06-01,53
2020-06-08,52
2020-06-15,40
2020-06-22,41
2020-06-29,54
2020-07-06,54
2020-07-13,64
2020-07-20,61
2020-07-27,69
2020-08-03,74
2020-08-10,54
2020-08-17,49
2020-08-24,60
2020-08-31,39
2020-09-07,59
2020-09-14,66
2020-09-21,41
2020-09-28,51
2020-10-05,66
2020-10-12,73
2020-10-19,51
2020-10-26,51
2020-11-02,63
2020-11-09,61
2020-11-16,57
2020-11-23,55
2020-11-30,65
2020-12-07,57
2020-12-14,48
2020-12-21,43
2020-12-28,51
2021-01-04,42
2021-01-11,59
2021-01-18,74
2021-01-25,64
2021-02-01,45
2021-02-08,70
2021-02-15,25
2021-02-22,70
2021-03-01,60
2021-03-08,68
2021-03-15,48
2021-03-22,48
2021-03-29,34
2021-04-05,55
2021-04-12,93
2021-04-19,56
2021-04-26,53
2021-05-03,53
2021-05-10,66
2021-05-17,63
2021-05-24,127
2021-05-31,59
2021-06-07,68
2021-06-14,76
2021-06-21,60
2021-06-28,84
2021-07-05,58
2021-07-12,48
2021-07-19,55
2021-07-26,53
2021-08-02,53
2021-08-09,65
2021-08-16,70
2021-08-23,72
2021-08-30,65
2021-09-06,67
2021-09-13,62
2021-09-20,61
2021-09-27,52
2021-10-04,75
2021-10-11,82
2021-10-18,82
2021-10-25,50
2021-11-01,92
2021-11-08,61
2021-11-15,72
2021-11-22,68
2021-11-29,72
2021-12-06,72
2021-12-13,54
2021-12-20,57
2021-12-27,67
2022-01-03,49
2022-01-10,66
2022-01-17,54
2022-01-24,46
2022-01-31,56
2022-02-07,51
2022-02-14,48
2022-02-21,45
2022-02-28,62
2022-03-07,64
2022-03-14,73
2022-03-21,59
2022-03-28,71
2022-04-04,54
2022-04-11,50
2022-04-18,67
2022-04-25,79
2022-05-02,50
2022-05-09,97
2022-05-16,83
2022-05-23,62
2022-05-30,78
2022-06-06,68
2022-06-13,80
2022-06-20,63
2022-06-27,53
2022-07-04,74
2022-07-11,76
2022-07-18,51
2022-07-25,69
2022-08-01,78
2022-08-08,95
2022-08-15,77
2022-08-22,71
2022-08-29,92
2022-09-05,82
2022-09-12,65
2022-09-19,91
2022-09-26,79
2022-10-03,96
2022-10-10,96
2022-10-17,101
2022-10-24,79
2022-10-31,76
2022-11-07,69
2022-11-14,93
2022-11-21,107
2022-11-28,102
2022-12-05,77
2022-12-12,80
2022-12-19,47
2022-12-26,63
2023-01-02,56
2023-01-09,53
2023-01-16,73
2023-01-23,66
2023-01-30,80
2023-02-06,65
2023-02-13,102
2023-02-20,90
2023-02-27,69
2023-03-06,88
2023-03-13,84
2023-03-20,83
2023-03-27,85
2023-04-03,67
2023-04-10,86
2023-04-17,98
2023-04-24,102
2023-05-01,86
2023-05-08,91
2023-05-15,79
2023-05-22,96
2023-05-29,94
2023-06-05,185
2023-06-12,126
2023-06-19,90
2023-06-26,83
2023-07-03,81
2023-07-10,113
2023-07-17,129
2023-07-24,113
2023-07-31,83
2023-08-07,86
2023-08-14,116
2023-08-21,82
2023-08-28,161
2023-09-04,108
2023-09-11,65
2023-09-18,70
2023-09-25,69
2023-10-02,77
2023-10-09,147
2023-10-16,190
2023-10-23,85
2023-10-30,116
2023-11-06,146
2023-11-13,117
2023-11-20,104
2023-11-27,93
2023-12-04,96
2023-12-11,83
2023-12-18,70
2023-12-25,44
2024-01-01,58
2024-01-08,119
2024-01-15,76
2024-01-22,112
2024-01-29,110
2024-02-05,116
2024-02-12,125
2024-02-19,109
2024-02-26,148
2024-03-04,95
2024-03-11,191
2024-03-18,103
2024-03-25,108
2024-04-01,158
2024-04-08,164
2024-04-15,144
2024-04-22,193
2024-04-29,139
2024-05-06,167
2024-05-13,65
2024-05-20,52
2024-05-27,191
2024-06-03,152
2024-06-10,258
2024-06-17,174
2024-06-24,119
2024-07-01,155
2024-07-08,178
2024-07-15,136
2024-07-22,93
2024-07-29,133
2024-08-05,92
2024-08-12,153
2024-08-19,166
2024-08-26,208
2024-09-02,133
2024-09-09,163
2024-09-16,143
2024-09-23,168
2024-09-30,130
2024-10-07,150
2024-10-14,127
2024-10-21,156
2024-10-28,137
2024-11-04,167
2024-11-11,72
2024-11-18,150
2024-11-25,136
2024-12-02,113
2024-12-09,113
2024-12-16,82
2024-12-23,72
2024-12-30,70
