ds,y
2013-12-30,4
2014-01-06,19
2014-01-13,23
2014-01-20,27
2014-01-27,42
2014-02-03,22
2014-02-10,45
2014-02-17,28
2014-02-24,24
2014-03-03,37
2014-03-10,40
2014-03-17,40
2014-03-24,35
2014-03-31,52
2014-04-07,28
2014-04-14,24
2014-04-21,36
2014-04-28,30
2014-05-05,49
2014-05-12,64
2014-05-19,42
2014-05-26,55
2014-06-02,70
2014-06-09,65
2014-06-16,74
2014-06-23,43
2014-06-30,52
2014-07-07,42
2014-07-14,38
2014-07-21,27
2014-07-28,21
2014-08-04,32
2014-08-11,41
2014-08-18,72
2014-08-25,41
2014-09-01,38
2014-09-08,44
2014-09-15,31
2014-09-22,49
2014-09-29,29
2014-10-06,51
2014-10-13,54
2014-10-20,25
2014-10-27,43
2014-11-03,30
2014-11-10,42
2014-11-17,26
2014-11-24,27
2014-12-01,39
2014-12-08,29
2014-12-15,24
2014-12-22,9
2014-12-29,47
2015-01-05,32
2015-01-12,52
2015-01-19,45
2015-01-26,53
2015-02-02,38
2015-02-09,39
2015-02-16,19
2015-02-23,40
2015-03-02,39
2015-03-09,47
2015-03-16,54
2015-03-23,24
2015-03-30,61
2015-04-06,67
2015-04-13,60
2015-04-20,46
2015-04-27,66
2015-05-04,60
2015-05-11,52
2015-05-18,51
2015-05-25,71
2015-06-01,76
2015-06-08,69
2015-06-15,54
2015-06-22,40
2015-06-29,56
2015-07-06,51
2015-07-13,46
2015-07-20,53
2015-07-27,70
2015-08-03,63
2015-08-10,45
2015-08-17,60
2015-08-24,55
2015-08-31,60
2015-09-07,31
2015-09-14,40
2015-09-21,47
2015-09-28,55
2015-10-05,17
2015-10-12,26
2015-10-19,20
2015-10-26,29
2015-11-02,55
2015-11-09,37
2015-11-16,41
2015-11-23,53
2015-11-30,43
2015-12-07,34
2015-12-14,16
2015-12-21,18
2016-01-04,26
2016-01-11,30
2016-01-18,64
2016-01-25,42
2016-02-01,28
2016-02-08,55
2016-02-15,37
2016-02-22,51
2016-02-29,43
2016-03-07,46
2016-03-14,36
2016-03-21,30
2016-03-28,42
2016-04-04,54
2016-04-11,52
2016-04-18,66
2016-04-25,58
2016-05-02,59
2016-05-09,53
2016-05-16,53
2016-05-23,76
2016-05-30,65
2016-06-06,57
2016-06-13,58
2016-06-20,43
2016-06-27,39
2016-07-04,50
2016-07-11,55
2016-07-18,37
2016-07-25,29
2016-08-01,46
2016-08-08,56
2016-08-15,42
2016-08-22,34
2016-08-29,54
2016-09-05,44
2016-09-12,29
2016-09-19,55
2016-09-26,43
2016-10-03,44
2016-10-10,77
2016-10-17,48
2016-10-24,44
2016-10-31,34
2016-11-07,33
2016-11-14,44
2016-11-21,34
2016-11-28,18
2016-12-05,53
2016-12-12,29
2016-12-19,21
2016-12-26,34
2017-01-02,38
2017-01-09,51
2017-01-16,54
2017-01-23,78
2017-01-30,67
2017-02-06,49
2017-02-13,40
2017-02-20,57
2017-02-27,91
2017-03-06,66
2017-03-13,111
2017-03-20,83
2017-03-27,77
2017-04-03,61
2017-04-10,43
2017-04-17,47
2017-04-24,77
2017-05-01,53
2017-05-08,43
2017-05-15,67
2017-05-22,63
2017-05-29,70
2017-06-05,69
2017-06-12,106
2017-06-19,54
2017-06-26,73
2017-07-03,59
2017-07-10,46
2017-07-17,53
2017-07-24,51
2017-07-31,42
2017-08-07,54
2017-08-14,82
2017-08-21,75
2017-08-28,79
2017-09-04,61
2017-09-11,63
2017-09-18,74
2017-09-25,65
2017-10-02,76
2017-10-09,67
2017-10-16,68
2017-10-23,62
2017-10-30,45
2017-11-06,72
2017-11-13,71
2017-11-20,59
2017-11-27,69
2017-12-04,44
2017-12-11,22
2017-12-18,33
2017-12-25,30
2018-01-01,36
2018-01-08,35
2018-01-15,50
