ds,y
2013-12-30,19
2014-01-06,33
2014-01-13,41
2014-01-20,27
2014-01-27,41
2014-02-03,18
2014-02-10,32
2014-02-17,65
2014-02-24,31
2014-03-03,52
2014-03-10,42
2014-03-17,33
2014-03-24,43
2014-03-31,50
2014-04-07,81
2014-04-14,29
2014-04-21,61
2014-04-28,47
2014-05-05,71
2014-05-12,40
2014-05-19,62
2014-05-26,48
2014-06-02,31
2014-06-09,51
2014-06-16,59
2014-06-23,42
2014-06-30,56
2014-07-07,43
2014-07-14,60
2014-07-21,62
2014-07-28,36
2014-08-04,58
2014-08-11,58
2014-08-18,60
2014-08-25,41
2014-09-01,49
2014-09-08,62
2014-09-15,76
2014-09-22,49
2014-09-29,29
2014-10-06,57
2014-10-13,36
2014-10-20,47
2014-10-27,33
2014-11-03,31
2014-11-10,80
2014-11-17,43
2014-11-24,29
2014-12-01,38
2014-12-08,47
2014-12-15,29
2014-12-22,13
2014-12-29,65
2015-01-05,49
2015-01-12,28
2015-01-19,42
2015-01-26,33
2015-02-02,21
2015-02-09,60
2015-02-16,42
2015-02-23,52
2015-03-02,24
2015-03-09,45
2015-03-16,150
2015-03-23,40
2015-03-30,77
2015-04-06,82
2015-04-13,43
2015-04-20,50
2015-04-27,41
2015-05-04,73
2015-05-11,54
2015-05-18,48
2015-05-25,33
2015-06-01,42
2015-06-08,61
2015-06-15,40
2015-06-22,37
2015-06-29,55
2015-07-06,25
2015-07-13,39
2015-07-20,28
2015-07-27,25
2015-08-03,57
2015-08-10,19
2015-08-17,63
2015-08-24,28
2015-08-31,20
2015-09-07,15
2015-09-14,33
2015-09-21,18
2015-09-28,46
2015-10-05,53
2015-10-12,35
2015-10-19,22
2015-10-26,34
2015-11-02,38
2015-11-09,29
2015-11-16,35
2015-11-23,33
2015-11-30,35
2015-12-07,21
2015-12-14,17
2015-12-21,25
2016-01-04,22
2016-01-11,33
2016-01-18,46
2016-01-25,34
2016-02-01,71
2016-02-08,56
2016-02-15,36
2016-02-22,43
2016-02-29,19
2016-03-07,33
2016-03-14,27
2016-03-21,21
2016-03-28,31
2016-04-04,18
2016-04-11,52
2016-04-18,25
2016-04-25,27
2016-05-02,17
2016-05-09,49
2016-05-16,49
2016-05-23,32
2016-05-30,27
2016-06-06,22
2016-06-13,56
2016-06-20,32
2016-06-27,30
2016-07-04,35
2016-07-11,33
2016-07-18,27
2016-07-25,49
2016-08-01,49
2016-08-08,55
2016-08-15,94
2016-08-22,86
2016-08-29,29
2016-09-05,54
2016-09-12,47
2016-09-19,62
2016-09-26,27
2016-10-03,29
2016-10-10,37
2016-10-17,103
2016-10-24,27
2016-10-31,41
2016-11-07,41
2016-11-14,59
2016-11-21,13
2016-11-28,30
2016-12-05,26
2016-12-12,46
2016-12-19,66
2016-12-26,27
2017-01-02,32
2017-01-09,41
2017-01-16,54
2017-01-23,50
2017-01-30,58
2017-02-06,39
2017-02-13,46
2017-02-20,53
2017-02-27,85
2017-03-06,48
2017-03-13,50
2017-03-20,41
2017-03-27,42
2017-04-03,52
2017-04-10,50
2017-04-17,65
2017-04-24,51
2017-05-01,27
2017-05-08,41
2017-05-15,66
2017-05-22,63
2017-05-29,65
2017-06-05,52
2017-06-12,31
2017-06-19,74
2017-06-26,29
2017-07-03,46
2017-07-10,53
2017-07-17,50
2017-07-24,45
2017-07-31,163
2017-08-07,49
2017-08-14,31
2017-08-21,59
2017-08-28,51
2017-09-04,66
2017-09-11,24
2017-09-18,21
2017-09-25,49
2017-10-02,30
2017-10-09,67
2017-10-16,62
2017-10-23,18
2017-10-30,26
2017-11-06,32
2017-11-13,44
2017-11-20,55
2017-11-27,52
2017-12-04,42
2017-12-11,17
2017-12-18,28
2017-12-25,21
2018-01-01,7
2018-01-08,35
2018-01-15,41
2018-01-22,32
2018-01-29,34
2018-02-05,45
2018-02-12,19
2018-02-19,42
2018-02-26,48
2018-03-05,37
2018-03-12,37
2018-03-19,61
2018-03-26,22
2018-04-02,41
2018-04-09,21
2018-04-16,175
2018-04-23,71
2018-04-30,57
2018-05-07,29
2018-05-14,55
2018-05-21,26
2018-05-28,45
2018-06-04,41
2018-06-11,70
2018-06-18,30
2018-06-25,43
2018-07-02,31
2018-07-09,37
2018-07-16,44
2018-07-23,87
2018-07-30,60
2018-08-06,49
2018-08-13,49
2018-08-20,30
