ds,y
2013-12-30,15
2014-01-06,26
2014-01-13,33
2014-01-20,25
2014-01-27,29
2014-02-03,15
2014-02-10,25
2014-02-17,52
2014-02-24,29
2014-03-03,35
2014-03-10,24
2014-03-17,27
2014-03-24,37
2014-03-31,42
2014-04-07,70
2014-04-14,24
2014-04-21,48
2014-04-28,41
2014-05-05,57
2014-05-12,38
2014-05-19,51
2014-05-26,41
2014-06-02,27
2014-06-09,44
2014-06-16,53
2014-06-23,38
2014-06-30,47
2014-07-07,31
2014-07-14,53
2014-07-21,52
2014-07-28,24
2014-08-04,46
2014-08-11,46
2014-08-18,47
2014-08-25,29
2014-09-01,42
2014-09-08,53
2014-09-15,69
2014-09-22,46
2014-09-29,26
2014-10-06,48
2014-10-13,31
2014-10-20,40
2014-10-27,26
2014-11-03,27
2014-11-10,56
2014-11-17,38
2014-11-24,23
2014-12-01,35
2014-12-08,43
2014-12-15,26
2014-12-22,13
2014-12-29,54
2015-01-05,39
2015-01-12,26
2015-01-19,34
2015-01-26,25
2015-02-02,19
2015-02-09,48
2015-02-16,35
2015-02-23,40
2015-03-02,18
2015-03-09,34
2015-03-16,121
2015-03-23,30
2015-03-30,62
2015-04-06,64
2015-04-13,34
2015-04-20,41
2015-04-27,35
2015-05-04,53
2015-05-11,44
2015-05-18,39
2015-05-25,27
2015-06-01,36
2015-06-08,51
2015-06-15,31
2015-06-22,30
2015-06-29,48
2015-07-06,21
2015-07-13,26
2015-07-20,24
2015-07-27,22
2015-08-03,46
2015-08-10,18
2015-08-17,54
2015-08-24,23
2015-08-31,18
2015-09-07,13
2015-09-14,26
2015-09-21,16
2015-09-28,31
2015-10-05,42
2015-10-12,29
2015-10-19,20
2015-10-26,25
2015-11-02,34
2015-11-09,27
2015-11-16,24
2015-11-23,25
2015-11-30,27
2015-12-07,18
2015-12-14,12
2015-12-21,19
2016-01-04,17
2016-01-11,26
2016-01-18,40
2016-01-25,27
2016-02-01,63
2016-02-08,38
2016-02-15,22
2016-02-22,40
2016-02-29,14
2016-03-07,22
2016-03-14,19
2016-03-21,16
2016-03-28,24
2016-04-04,15
2016-04-11,38
2016-04-18,19
2016-04-25,22
2016-05-02,13
2016-05-09,38
2016-05-16,38
2016-05-23,23
2016-05-30,21
2016-06-06,17
2016-06-13,40
2016-06-20,28
2016-06-27,29
2016-07-04,31
2016-07-11,27
2016-07-18,21
2016-07-25,38
2016-08-01,38
2016-08-08,42
2016-08-15,64
2016-08-22,60
2016-08-29,23
2016-09-05,41
2016-09-12,35
2016-09-19,46
2016-09-26,23
2016-10-03,22
2016-10-10,29
2016-10-17,83
2016-10-24,18
2016-10-31,34
2016-11-07,33
2016-11-14,40
2016-11-21,11
2016-11-28,21
2016-12-05,17
2016-12-12,35
2016-12-19,39
2016-12-26,21
2017-01-02,25
2017-01-09,28
2017-01-16,42
2017-01-23,29
2017-01-30,46
2017-02-06,33
2017-02-13,37
2017-02-20,46
2017-02-27,65
2017-03-06,35
2017-03-13,43
2017-03-20,31
2017-03-27,28
2017-04-03,34
2017-04-10,34
2017-04-17,46
2017-04-24,40
2017-05-01,24
2017-05-08,35
2017-05-15,61
2017-05-22,50
2017-05-29,43
2017-06-05,37
2017-06-12,23
2017-06-19,55
2017-06-26,22
2017-07-03,31
2017-07-10,42
2017-07-17,33
2017-07-24,29
2017-07-31,127
2017-08-07,38
2017-08-14,20
2017-08-21,38
2017-08-28,38
2017-09-04,53
2017-09-11,17
2017-09-18,15
2017-09-25,28
2017-10-02,26
2017-10-09,49
2017-10-16,37
2017-10-23,11
2017-10-30,19
2017-11-06,28
2017-11-13,34
2017-11-20,40
2017-11-27,38
2017-12-04,29
2017-12-11,6
2017-12-18,23
2017-12-25,13
2018-01-01,6
2018-01-08,31
2018-01-15,29
2018-01-22,27
2018-01-29,26
2018-02-05,30
2018-02-12,16
2018-02-19,32
2018-02-26,35
2018-03-05,29
2018-03-12,27
2018-03-19,49
2018-03-26,18
2018-04-02,29
2018-04-09,19
2018-04-16,165
2018-04-23,53
2018-04-30,38
2018-05-07,25
2018-05-14,36
2018-05-21,22
2018-05-28,37
2018-06-04,31
2018-06-11,46
2018-06-18,17
2018-06-25,36
2018-07-02,22
2018-07-09,28
2018-07-16,22
2018-07-23,61
2018-07-30,36
2018-08-06,38
2018-08-13,38
2018-08-20,21
2018-08-27,26
2018-09-03,27
2018-09-10,49
2018-09-17,36
2018-09-24,36
2018-10-01,29
2018-10-08,43
2018-10-15,24
2018-10-22,17
2018-10-29,46
2018-11-05,31
2018-11-12,42
2018-11-19,36
2018-11-26,35
2018-12-03,33
2018-12-10,26
2018-12-17,6
2018-12-24,20
2018-12-31,20
2019-01-07,30
2019-01-14,27
2019-01-21,29
2019-01-28,20
2019-02-04,26
2019-02-11,47
2019-02-18,34
2019-02-25,61
2019-03-04,41
2019-03-11,41
2019-03-18,40
2019-03-25,56
2019-04-01,63
2019-04-08,35
2019-04-15,21
2019-04-22,24
2019-04-29,32
2019-05-06,26
2019-05-13,49
2019-05-20,52
2019-05-27,47
2019-06-03,34
2019-06-10,42
2019-06-17,48
2019-06-24,42
2019-07-01,45
2019-07-08,24
2019-07-15,29
2019-07-22,34
2019-07-29,30
2019-08-05,46
2019-08-12,45
2019-08-19,28
2019-08-26,37
2019-09-02,84
2019-09-09,39
2019-09-16,47
2019-09-23,51
2019-09-30,63
2019-10-07,54
2019-10-14,49
2019-10-21,51
2019-10-28,49
2019-11-04,100
2019-11-11,81
2019-11-18,43
2019-11-25,68
2019-12-02,62
2019-12-09,54
2019-12-16,58
2019-12-23,33
2019-12-30,20
2020-01-06,35
2020-01-13,63
2020-01-20,54
2020-01-27,50
2020-02-03,34
2020-02-10,41
2020-02-17,61
2020-02-24,45
2020-03-02,69
2020-03-09,43
2020-03-16,35
2020-03-23,27
2020-03-30,25
2020-04-06,5
2020-04-13,15
2020-04-20,26
2020-04-27,14
2020-05-04,12
2020-05-11,16
2020-05-18,11
2020-05-25,13
2020-06-01,22
2020-06-08,15
2020-06-15,20
2020-06-22,15
2020-06-29,16
2020-07-06,14
2020-07-13,28
2020-07-20,32
2020-07-27,35
2020-08-03,32
2020-08-10,18
2020-08-17,30
2020-08-24,31
2020-08-31,27
2020-09-07,38
2020-09-14,49
2020-09-21,34
2020-09-28,49
2020-10-05,45
2020-10-12,28
2020-10-19,18
2020-10-26,9
2020-11-02,46
2020-11-09,30
2020-11-16,15
2020-11-23,30
2020-11-30,47
2020-12-07,41
2020-12-14,35
2020-12-21,6
2020-12-28,9
2021-01-04,22
2021-01-11,14
2021-01-18,30
2021-01-25,9
2021-02-01,21
2021-02-08,26
2021-02-15,26
2021-02-22,25
2021-03-01,27
2021-03-08,37
2021-03-15,35
2021-03-22,31
2021-03-29,28
2021-04-05,25
2021-04-12,38
2021-04-19,47
2021-04-26,36
2021-05-03,30
2021-05-10,33
2021-05-17,60
2021-05-24,45
2021-05-31,44
2021-06-07,24
2021-06-14,52
2021-06-21,38
2021-06-28,37
2021-07-05,43
2021-07-12,55
2021-07-19,57
