ds,y
2013-12-30,0
2014-01-06,17
2014-01-13,14
2014-01-20,40
2014-01-27,27
2014-02-03,31
2014-02-10,33
2014-02-17,10
2014-02-24,25
2014-03-03,22
2014-03-10,35
2014-03-17,19
2014-03-24,23
2014-03-31,22
2014-04-07,22
2014-04-14,9
2014-04-21,35
2014-04-28,32
2014-05-05,18
2014-05-12,25
2014-05-19,30
2014-05-26,37
2014-06-02,33
2014-06-09,42
2014-06-16,23
2014-06-23,21
2014-06-30,28
2014-07-07,41
2014-07-14,35
2014-07-21,38
2014-07-28,32
2014-08-04,35
2014-08-11,40
2014-08-18,26
2014-08-25,55
2014-09-01,51
2014-09-08,30
2014-09-15,26
2014-09-22,30
2014-09-29,38
2014-10-06,39
2014-10-13,39
2014-10-20,39
2014-10-27,53
2014-11-03,25
2014-11-10,34
2014-11-17,28
2014-11-24,29
2014-12-01,21
2014-12-08,22
2014-12-15,13
2014-12-22,12
2014-12-29,31
2015-01-05,12
2015-01-12,9
2015-01-19,27
2015-01-26,31
2015-02-02,35
2015-02-09,24
2015-02-16,27
2015-02-23,29
2015-03-02,14
2015-03-09,22
2015-03-16,18
2015-03-23,33
2015-03-30,39
2015-04-06,25
2015-04-13,29
2015-04-20,25
2015-04-27,37
2015-05-04,37
2015-05-11,63
2015-05-18,54
2015-05-25,27
2015-06-01,41
2015-06-08,34
2015-06-15,38
2015-06-22,52
2015-06-29,19
2015-07-06,26
2015-07-13,35
2015-07-20,37
2015-07-27,24
2015-08-03,14
2015-08-10,25
2015-08-17,36
2015-08-24,27
2015-08-31,38
2015-09-07,28
2015-09-14,30
2015-09-21,30
2015-09-28,17
2015-10-05,34
2015-10-12,26
2015-10-19,16
2015-10-26,16
2015-11-02,33
2015-11-09,38
2015-11-16,27
2015-11-23,30
2015-11-30,20
2015-12-07,29
2015-12-14,16
2015-12-21,4
2016-01-04,28
2016-01-11,22
2016-01-18,30
2016-01-25,26
2016-02-01,16
2016-02-08,29
2016-02-15,31
2016-02-22,21
2016-02-29,36
2016-03-07,18
2016-03-14,27
2016-03-21,21
2016-03-28,23
2016-04-04,32
2016-04-11,28
2016-04-18,44
2016-04-25,28
2016-05-02,27
2016-05-09,47
2016-05-16,47
2016-05-23,43
2016-05-30,33
2016-06-06,32
2016-06-13,35
2016-06-20,28
2016-06-27,30
2016-07-04,32
2016-07-11,26
2016-07-18,40
2016-07-25,30
2016-08-01,19
2016-08-08,39
2016-08-15,35
2016-08-22,42
2016-08-29,34
2016-09-05,39
2016-09-12,27
2016-09-19,40
2016-09-26,34
2016-10-03,36
2016-10-10,33
2016-10-17,25
2016-10-24,25
2016-10-31,28
2016-11-07,32
2016-11-14,31
2016-11-21,29
2016-11-28,26
2016-12-05,35
2016-12-12,21
2016-12-19,15
2016-12-26,17
2017-01-02,22
2017-01-09,25
2017-01-16,22
2017-01-23,27
2017-01-30,30
2017-02-06,32
2017-02-13,44
2017-02-20,45
2017-02-27,45
2017-03-06,47
2017-03-13,40
2017-03-20,19
2017-03-27,36
2017-04-03,34
2017-04-10,22
2017-04-17,36
2017-04-24,25
2017-05-01,32
2017-05-08,27
2017-05-15,54
2017-05-22,44
2017-05-29,41
2017-06-05,59
2017-06-12,27
2017-06-19,27
2017-06-26,44
2017-07-03,35
2017-07-10,49
2017-07-17,29
2017-07-24,37
2017-07-31,24
2017-08-07,32
2017-08-14,28
2017-08-21,25
2017-08-28,32
2017-09-04,27
2017-09-11,41
2017-09-18,43
2017-09-25,30
2017-10-02,30
2017-10-09,26
2017-10-16,42
2017-10-23,26
2017-10-30,18
2017-11-06,30
2017-11-13,42
2017-11-20,24
2017-11-27,35
2017-12-04,26
2017-12-11,25
2017-12-18,18
2017-12-25,18
2018-01-01,13
2018-01-08,23
2018-01-15,27
2018-01-22,38
2018-01-29,42
2018-02-05,52
2018-02-12,65
2018-02-19,39
2018-02-26,25
2018-03-05,32
2018-03-12,43
2018-03-19,45
2018-03-26,17
2018-04-02,27
2018-04-09,40
2018-04-16,36
2018-04-23,34
2018-04-30,31
2018-05-07,20
2018-05-14,28
2018-05-21,31
2018-05-28,27
2018-06-04,38
2018-06-11,31
2018-06-18,47
2018-06-25,29
2018-07-02,32
2018-07-09,27
2018-07-16,52
2018-07-23,49
2018-07-30,43
2018-08-06,43
2018-08-13,32
2018-08-20,38
2018-08-27,99
2018-09-03,109
2018-09-10,132
2018-09-17,157
2018-09-24,124
2018-10-01,148
2018-10-08,105
2018-10-15,104
2018-10-22,81
2018-10-29,86
2018-11-05,115
2018-11-12,115
2018-11-19,84
2018-11-26,112
2018-12-03,113
2018-12-10,104
2018-12-17,25
2018-12-24,37
2018-12-31,16
2019-01-07,125
2019-01-14,118
2019-01-21,101
2019-01-28,76
2019-02-04,40
2019-02-11,136
2019-02-18,36
2019-02-25,37
2019-03-04,58
2019-03-11,49
2019-03-18,42
2019-03-25,30
2019-04-01,36
2019-04-08,48
2019-04-15,31
2019-04-22,21
2019-04-29,30
2019-05-06,46
2019-05-13,41
2019-05-20,57
2019-05-27,31
2019-06-03,45
2019-06-10,41
2019-06-17,68
2019-06-24,114
2019-07-01,152
2019-07-08,94
2019-07-15,129
2019-07-22,80
2019-07-29,101
2019-08-05,113
2019-08-12,107
2019-08-19,118
2019-08-26,160
2019-09-02,146
2019-09-09,127
2019-09-16,136
2019-09-23,51
2019-09-30,31
2019-10-07,113
2019-10-14,41
2019-10-21,141
2019-10-28,116
2019-11-04,130
2019-11-11,120
2019-11-18,115
2019-11-25,141
2019-12-02,158
2019-12-09,151
2019-12-16,49
2019-12-23,26
2019-12-30,35
2020-01-06,100
2020-01-13,127
2020-01-20,142
2020-01-27,148
2020-02-03,138
2020-02-10,128
2020-02-17,153
2020-02-24,143
2020-03-02,120
2020-03-09,128
2020-03-16,91
2020-03-23,63
2020-03-30,43
2020-04-06,27
2020-04-13,27
2020-04-20,28
2020-04-27,32
2020-05-04,42
2020-05-11,59
2020-05-18,42
2020-05-25,56
2020-06-01,69
2020-06-08,83
2020-06-15,45
2020-06-22,40
2020-06-29,74
2020-07-06,67
2020-07-13,92
