ds,y
2013-12-30,0
2014-01-06,5
2014-01-13,2
2014-01-20,5
2014-01-27,6
2014-02-03,7
2014-02-10,8
2014-02-17,3
2014-02-24,4
2014-03-03,5
2014-03-10,7
2014-03-17,6
2014-03-24,5
2014-03-31,8
2014-04-07,3
2014-04-14,2
2014-04-21,10
2014-04-28,8
2014-05-05,3
2014-05-12,4
2014-05-19,8
2014-05-26,5
2014-06-02,3
2014-06-09,14
2014-06-16,4
2014-06-23,2
2014-06-30,8
2014-07-07,6
2014-07-14,9
2014-07-21,6
2014-07-28,12
2014-08-04,16
2014-08-11,7
2014-08-18,9
2014-08-25,11
2014-09-01,12
2014-09-08,6
2014-09-15,6
2014-09-22,4
2014-09-29,8
2014-10-06,18
2014-10-13,11
2014-10-20,9
2014-10-27,18
2014-11-03,4
2014-11-10,6
2014-11-17,11
2014-11-24,6
2014-12-01,10
2014-12-08,10
2014-12-15,1
2014-12-22,5
2014-12-29,9
2015-01-05,4
2015-01-12,1
2015-01-19,7
2015-01-26,9
2015-02-02,8
2015-02-09,4
2015-02-16,6
2015-02-23,7
2015-03-02,2
2015-03-09,2
2015-03-16,7
2015-03-23,11
2015-03-30,7
2015-04-06,6
2015-04-13,8
2015-04-20,6
2015-04-27,10
2015-05-04,8
2015-05-11,12
2015-05-18,18
2015-05-25,9
2015-06-01,12
2015-06-08,5
2015-06-15,3
2015-06-22,3
2015-06-29,9
2015-07-06,4
2015-07-13,9
2015-07-20,4
2015-07-27,3
2015-08-03,4
2015-08-10,8
2015-08-17,6
2015-08-24,9
2015-08-31,12
2015-09-07,7
2015-09-14,7
2015-09-21,9
2015-09-28,4
2015-10-05,11
2015-10-12,5
2015-10-19,3
2015-10-26,3
2015-11-02,5
2015-11-09,2
2015-11-16,0
2015-11-23,8
2015-11-30,5
2015-12-07,8
2015-12-14,4
2015-12-21,0
2016-01-04,2
2016-01-11,4
2016-01-18,7
2016-01-25,4
2016-02-01,4
2016-02-08,7
2016-02-15,4
