ds,y
2013-12-30,0
2014-01-06,12
2014-01-13,12
2014-01-20,35
2014-01-27,21
2014-02-03,24
2014-02-10,25
2014-02-17,7
2014-02-24,21
2014-03-03,17
2014-03-10,28
2014-03-17,13
2014-03-24,18
2014-03-31,14
2014-04-07,19
2014-04-14,7
2014-04-21,25
2014-04-28,24
2014-05-05,15
2014-05-12,21
2014-05-19,22
2014-05-26,32
2014-06-02,30
2014-06-09,28
2014-06-16,19
2014-06-23,19
2014-06-30,20
2014-07-07,35
2014-07-14,26
2014-07-21,32
2014-07-28,20
2014-08-04,19
2014-08-11,33
2014-08-18,17
2014-08-25,44
2014-09-01,39
2014-09-08,24
2014-09-15,20
2014-09-22,26
2014-09-29,30
2014-10-06,21
2014-10-13,28
2014-10-20,30
2014-10-27,35
2014-11-03,21
2014-11-10,28
2014-11-17,17
2014-11-24,23
2014-12-01,11
2014-12-08,12
2014-12-15,12
2014-12-22,7
2014-12-29,22
2015-01-05,8
2015-01-12,8
2015-01-19,20
2015-01-26,22
2015-02-02,27
2015-02-09,20
2015-02-16,21
2015-02-23,22
2015-03-02,12
2015-03-09,20
2015-03-16,11
2015-03-23,22
2015-03-30,32
2015-04-06,19
2015-04-13,21
2015-04-20,19
2015-04-27,27
2015-05-04,29
2015-05-11,51
2015-05-18,36
2015-05-25,18
2015-06-01,29
2015-06-08,29
2015-06-15,35
2015-06-22,49
2015-06-29,10
2015-07-06,22
2015-07-13,26
2015-07-20,33
2015-07-27,21
2015-08-03,10
2015-08-10,17
2015-08-17,30
2015-08-24,18
2015-08-31,26
2015-09-07,21
2015-09-14,23
2015-09-21,21
2015-09-28,13
2015-10-05,23
2015-10-12,21
2015-10-19,13
2015-10-26,13
2015-11-02,28
2015-11-09,36
2015-11-16,27
2015-11-23,22
2015-11-30,15
2015-12-07,21
2015-12-14,12
2015-12-21,4
2016-01-04,26
2016-01-11,18
2016-01-18,23
2016-01-25,22
2016-02-01,12
2016-02-08,22
2016-02-15,27
2016-02-22,17
2016-02-29,28
2016-03-07,11
2016-03-14,23
2016-03-21,19
2016-03-28,16
2016-04-04,24
2016-04-11,20
2016-04-18,32
2016-04-25,20
2016-05-02,20
2016-05-09,34
2016-05-16,34
2016-05-23,36
2016-05-30,25
2016-06-06,18
2016-06-13,26
2016-06-20,24
2016-06-27,26
2016-07-04,20
2016-07-11,23
2016-07-18,32
2016-07-25,21
2016-08-01,16
2016-08-08,32
2016-08-15,31
2016-08-22,31
2016-08-29,27
2016-09-05,29
2016-09-12,17
2016-09-19,31
2016-09-26,32
2016-10-03,31
2016-10-10,31
2016-10-17,17
2016-10-24,16
2016-10-31,19
2016-11-07,27
2016-11-14,20
2016-11-21,21
2016-11-28,23
2016-12-05,30
2016-12-12,19
2016-12-19,10
2016-12-26,14
2017-01-02,16
2017-01-09,20
2017-01-16,19
2017-01-23,22
2017-01-30,19
2017-02-06,22
2017-02-13,31
2017-02-20,34
2017-02-27,20
2017-03-06,34
2017-03-13,30
2017-03-20,13
2017-03-27,23
2017-04-03,27
2017-04-10,16
2017-04-17,30
2017-04-24,17
2017-05-01,24
2017-05-08,22
2017-05-15,38
2017-05-22,34
2017-05-29,34
2017-06-05,45
2017-06-12,21
2017-06-19,20
2017-06-26,30
2017-07-03,28
2017-07-10,38
2017-07-17,23
2017-07-24,27
2017-07-31,20
2017-08-07,22
2017-08-14,22
2017-08-21,16
2017-08-28,28
2017-09-04,20
2017-09-11,34
2017-09-18,32
2017-09-25,20
2017-10-02,24
2017-10-09,21
2017-10-16,32
2017-10-23,21
2017-10-30,9
2017-11-06,25
2017-11-13,31
2017-11-20,19
2017-11-27,21
2017-12-04,19
2017-12-11,17
2017-12-18,14
2017-12-25,13
2018-01-01,10
2018-01-08,18
2018-01-15,19
2018-01-22,29
2018-01-29,28
2018-02-05,36
2018-02-12,49
2018-02-19,25
2018-02-26,17
2018-03-05,26
2018-03-12,24
2018-03-19,37
2018-03-26,13
2018-04-02,21
2018-04-09,32
2018-04-16,29
2018-04-23,26
2018-04-30,25
2018-05-07,17
2018-05-14,22
2018-05-21,21
2018-05-28,18
2018-06-04,31
2018-06-11,23
2018-06-18,37
2018-06-25,25
2018-07-02,23
2018-07-09,18
2018-07-16,41
2018-07-23,38
2018-07-30,34
2018-08-06,31
2018-08-13,27
2018-08-20,24
2018-08-27,70
2018-09-03,84
2018-09-10,94
2018-09-17,121
2018-09-24,88
2018-10-01,111
2018-10-08,87
2018-10-15,76
2018-10-22,53
2018-10-29,61
2018-11-05,88
2018-11-12,88
