ds,y
2013-12-30,0
2014-01-06,32
2014-01-13,72
2014-01-20,57
2014-01-27,38
2014-02-03,41
2014-02-10,55
2014-02-17,61
2014-02-24,69
2014-03-03,72
2014-03-10,74
2014-03-17,55
2014-03-24,74
2014-03-31,65
2014-04-07,73
2014-04-14,52
2014-04-21,67
2014-04-28,51
2014-05-05,73
2014-05-12,71
2014-05-19,72
2014-05-26,75
2014-06-02,81
2014-06-09,66
2014-06-16,76
2014-06-23,53
2014-06-30,68
2014-07-07,71
2014-07-14,72
2014-07-21,52
2014-07-28,57
2014-08-04,86
2014-08-11,91
2014-08-18,74
2014-08-25,91
2014-09-01,74
2014-09-08,52
2014-09-15,45
2014-09-22,76
2014-09-29,60
2014-10-06,51
2014-10-13,68
2014-10-20,64
2014-10-27,68
2014-11-03,51
2014-11-10,43
2014-11-17,27
2014-11-24,13
2014-12-01,12
2014-12-08,15
2014-12-15,20
2014-12-22,4
2014-12-29,18
2015-01-05,20
2015-01-12,16
2015-01-19,14
2015-01-26,26
2015-02-02,19
2015-02-09,27
2015-02-16,18
2015-02-23,20
2015-03-02,31
2015-03-09,21
2015-03-16,35
2015-03-23,50
2015-03-30,73
2015-04-06,67
2015-04-13,65
2015-04-20,69
2015-04-27,102
2015-05-04,76
2015-05-11,58
2015-05-18,71
2015-05-25,83
2015-06-01,86
2015-06-08,74
2015-06-15,85
2015-06-22,70
2015-06-29,80
2015-07-06,75
2015-07-13,73
2015-07-20,73
2015-07-27,62
2015-08-03,67
2015-08-10,75
2015-08-17,70
2015-08-24,58
2015-08-31,74
2015-09-07,47
2015-09-14,77
2015-09-21,86
2015-09-28,72
2015-10-05,76
2015-10-12,60
2015-10-19,45
2015-10-26,48
2015-11-02,49
2015-11-09,63
2015-11-16,49
2015-11-23,39
2015-11-30,42
2015-12-07,54
2015-12-14,26
2015-12-21,26
2016-01-04,29
2016-01-11,54
2016-01-18,58
2016-01-25,65
2016-02-01,61
2016-02-08,56
2016-02-15,64
2016-02-22,65
2016-02-29,83
2016-03-07,67
2016-03-14,74
2016-03-21,31
2016-03-28,60
2016-04-04,69
2016-04-11,78
2016-04-18,74
2016-04-25,68
2016-05-02,84
2016-05-09,77
2016-05-16,77
2016-05-23,71
2016-05-30,67
2016-06-06,77
2016-06-13,61
2016-06-20,85
2016-06-27,68
2016-07-04,68
2016-07-11,58
2016-07-18,70
2016-07-25,59
2016-08-01,68
2016-08-08,79
2016-08-15,62
2016-08-22,66
2016-08-29,60
2016-09-05,68
2016-09-12,55
2016-09-19,63
2016-09-26,69
2016-10-03,69
2016-10-10,58
2016-10-17,75
2016-10-24,49
2016-10-31,62
2016-11-07,58
2016-11-14,68
2016-11-21,39
2016-11-28,60
2016-12-05,35
2016-12-12,50
2016-12-19,33
2016-12-26,29
2017-01-02,45
2017-01-09,53
2017-01-16,84
2017-01-23,110
2017-01-30,71
2017-02-06,68
2017-02-13,66
2017-02-20,81
2017-02-27,96
2017-03-06,83
2017-03-13,100
2017-03-20,59
2017-03-27,86
2017-04-03,56
2017-04-10,39
2017-04-17,54
2017-04-24,82
2017-05-01,59
2017-05-08,79
2017-05-15,87
2017-05-22,86
2017-05-29,87
2017-06-05,109
2017-06-12,85
2017-06-19,83
2017-06-26,98
2017-07-03,83
2017-07-10,64
2017-07-17,94
2017-07-24,88
2017-07-31,71
2017-08-07,100
2017-08-14,89
2017-08-21,45
2017-08-28,75
2017-09-04,91
2017-09-11,64
2017-09-18,76
2017-09-25,72
2017-10-02,74
2017-10-09,60
2017-10-16,69
2017-10-23,82
2017-10-30,60
2017-11-06,63
2017-11-13,90
2017-11-20,55
2017-11-27,64
2017-12-04,47
2017-12-11,53
2017-12-18,43
2017-12-25,43
2018-01-01,41
2018-01-08,62
2018-01-15,45
2018-01-22,61
2018-01-29,72
2018-02-05,56
2018-02-12,78
2018-02-19,60
2018-02-26,73
2018-03-05,63
2018-03-12,59
2018-03-19,44
2018-03-26,47
2018-04-02,90
2018-04-09,69
2018-04-16,85
2018-04-23,74
2018-04-30,56
2018-05-07,78
2018-05-14,84
2018-05-21,95
2018-05-28,83
2018-06-04,95
2018-06-11,106
2018-06-18,88
2018-06-25,74
2018-07-02,80
2018-07-09,78
2018-07-16,88
2018-07-23,78
2018-07-30,79
2018-08-06,103
2018-08-13,115
2018-08-20,96
2018-08-27,93
2018-09-03,84
2018-09-10,85
2018-09-17,84
2018-09-24,76
2018-10-01,101
2018-10-08,87
2018-10-15,71
2018-10-22,75
2018-10-29,91
2018-11-05,73
2018-11-12,74
2018-11-19,62
2018-11-26,72
2018-12-03,75
2018-12-10,67
2018-12-17,71
2018-12-24,46
2018-12-31,59
