ds,y
2013-12-30,0
2014-01-06,3
2014-01-13,19
2014-01-20,16
2014-01-27,7
2014-02-03,15
2014-02-10,13
2014-02-17,15
2014-02-24,10
2014-03-03,25
2014-03-10,11
2014-03-17,7
2014-03-24,22
2014-03-31,12
2014-04-07,15
2014-04-14,12
2014-04-21,19
2014-04-28,11
2014-05-05,19
2014-05-12,12
2014-05-19,11
2014-05-26,13
2014-06-02,25
2014-06-09,10
2014-06-16,15
2014-06-23,12
2014-06-30,14
2014-07-07,15
2014-07-14,18
2014-07-21,6
2014-07-28,6
2014-08-04,23
2014-08-11,25
2014-08-18,15
2014-08-25,16
2014-09-01,12
2014-09-08,19
2014-09-15,8
2014-09-22,14
2014-09-29,20
2014-10-06,5
2014-10-13,18
2014-10-20,6
2014-10-27,24
2014-11-03,15
2014-11-10,11
2014-11-17,10
2014-11-24,3
2014-12-01,4
2014-12-08,2
2014-12-15,2
2014-12-22,1
2014-12-29,4
2015-01-05,4
2015-01-12,2
2015-01-19,1
2015-01-26,5
2015-02-02,7
2015-02-09,3
2015-02-16,4
2015-02-23,7
2015-03-02,7
2015-03-09,6
2015-03-16,5
2015-03-23,16
2015-03-30,22
2015-04-06,13
2015-04-13,16
2015-04-20,19
2015-04-27,20
2015-05-04,18
2015-05-11,11
2015-05-18,17
2015-05-25,14
2015-06-01,15
2015-06-08,12
2015-06-15,21
2015-06-22,14
2015-06-29,21
2015-07-06,17
2015-07-13,15
2015-07-20,24
2015-07-27,17
2015-08-03,11
2015-08-10,17
2015-08-17,20
2015-08-24,10
2015-08-31,13
2015-09-07,11
2015-09-14,17
2015-09-21,22
2015-09-28,17
2015-10-05,13
2015-10-12,14
2015-10-19,12
2015-10-26,13
2015-11-02,10
2015-11-09,12
2015-11-16,13
2015-11-23,7
2015-11-30,7
2015-12-07,14
2015-12-14,5
2015-12-21,9
2016-01-04,6
2016-01-11,14
2016-01-18,16
2016-01-25,15
2016-02-01,17
2016-02-08,13
2016-02-15,16
2016-02-22,12
2016-02-29,18
2016-03-07,16
2016-03-14,9
2016-03-21,2
2016-03-28,10
2016-04-04,16
2016-04-11,15
2016-04-18,20
2016-04-25,14
2016-05-02,16
2016-05-09,20
2016-05-16,20
2016-05-23,15
2016-05-30,11
2016-06-06,12
2016-06-13,13
2016-06-20,20
2016-06-27,16
2016-07-04,11
2016-07-11,9
2016-07-18,16
2016-07-25,6
2016-08-01,12
2016-08-08,24
2016-08-15,11
