ds,y
2013-12-30,0
2014-01-06,29
2014-01-13,53
2014-01-20,41
2014-01-27,31
2014-02-03,26
2014-02-10,42
2014-02-17,46
2014-02-24,59
2014-03-03,47
2014-03-10,63
2014-03-17,48
2014-03-24,52
2014-03-31,53
2014-04-07,58
2014-04-14,40
2014-04-21,48
2014-04-28,40
2014-05-05,54
2014-05-12,59
2014-05-19,61
2014-05-26,62
2014-06-02,56
2014-06-09,56
2014-06-16,61
2014-06-23,41
2014-06-30,54
2014-07-07,56
2014-07-14,54
2014-07-21,46
2014-07-28,51
2014-08-04,63
2014-08-11,66
2014-08-18,59
2014-08-25,75
2014-09-01,62
2014-09-08,33
2014-09-15,37
2014-09-22,62
2014-09-29,40
2014-10-06,46
2014-10-13,50
2014-10-20,58
2014-10-27,44
2014-11-03,36
2014-11-10,32
2014-11-17,17
2014-11-24,10
2014-12-01,8
2014-12-08,13
2014-12-15,18
2014-12-22,3
2014-12-29,14
2015-01-05,16
2015-01-12,14
2015-01-19,13
2015-01-26,21
2015-02-02,12
2015-02-09,24
2015-02-16,14
2015-02-23,13
2015-03-02,24
2015-03-09,15
2015-03-16,30
2015-03-23,34
2015-03-30,51
2015-04-06,54
2015-04-13,49
2015-04-20,50
2015-04-27,82
2015-05-04,58
2015-05-11,47
2015-05-18,54
2015-05-25,69
2015-06-01,71
2015-06-08,62
2015-06-15,64
2015-06-22,56
2015-06-29,59
2015-07-06,58
2015-07-13,58
2015-07-20,49
2015-07-27,45
2015-08-03,56
2015-08-10,58
2015-08-17,50
2015-08-24,48
2015-08-31,61
2015-09-07,36
2015-09-14,60
2015-09-21,64
2015-09-28,55
2015-10-05,63
2015-10-12,46
2015-10-19,33
2015-10-26,35
2015-11-02,39
2015-11-09,51
2015-11-16,36
2015-11-23,32
2015-11-30,35
2015-12-07,40
2015-12-14,21
2015-12-21,17
2016-01-04,23
2016-01-11,40
2016-01-18,42
2016-01-25,50
2016-02-01,44
2016-02-08,43
2016-02-15,48
2016-02-22,53
2016-02-29,65
2016-03-07,51
2016-03-14,65
2016-03-21,29
2016-03-28,50
2016-04-04,53
2016-04-11,63
2016-04-18,54
2016-04-25,54
2016-05-02,68
2016-05-09,57
2016-05-16,57
2016-05-23,56
2016-05-30,56
2016-06-06,65
2016-06-13,48
2016-06-20,65
2016-06-27,52
2016-07-04,57
2016-07-11,49
2016-07-18,54
2016-07-25,53
2016-08-01,56
2016-08-08,55
2016-08-15,51
2016-08-22,55
2016-08-29,48
2016-09-05,57
2016-09-12,47
2016-09-19,48
2016-09-26,51
2016-10-03,54
2016-10-10,50
2016-10-17,58
2016-10-24,39
2016-10-31,51
2016-11-07,41
2016-11-14,52
2016-11-21,29
2016-11-28,41
2016-12-05,25
2016-12-12,40
2016-12-19,27
2016-12-26,22
2017-01-02,30
2017-01-09,41
2017-01-16,59
2017-01-23,75
2017-01-30,53
2017-02-06,50
2017-02-13,53
2017-02-20,61
2017-02-27,64
2017-03-06,73
2017-03-13,69
2017-03-20,47
2017-03-27,64
2017-04-03,40
2017-04-10,29
2017-04-17,39
2017-04-24,65
2017-05-01,47
2017-05-08,40
2017-05-15,61
2017-05-22,66
2017-05-29,64
2017-06-05,81
2017-06-12,62
2017-06-19,64
2017-06-26,71
2017-07-03,56
2017-07-10,45
2017-07-17,72
2017-07-24,62
2017-07-31,44
2017-08-07,70
2017-08-14,72
2017-08-21,30
2017-08-28,55
2017-09-04,64
2017-09-11,49
2017-09-18,56
2017-09-25,52
2017-10-02,49
2017-10-09,46
2017-10-16,50
2017-10-23,58
2017-10-30,45
2017-11-06,45
2017-11-13,65
2017-11-20,35
2017-11-27,44
2017-12-04,35
2017-12-11,38
2017-12-18,29
2017-12-25,30
2018-01-01,31
2018-01-08,43
2018-01-15,33
2018-01-22,43
2018-01-29,49
2018-02-05,37
2018-02-12,58
2018-02-19,47
2018-02-26,57
2018-03-05,48
2018-03-12,48
2018-03-19,38
2018-03-26,35
2018-04-02,62
2018-04-09,52
2018-04-16,67
2018-04-23,56
2018-04-30,44
2018-05-07,58
2018-05-14,59
2018-05-21,74
2018-05-28,56
2018-06-04,62
2018-06-11,71
2018-06-18,66
2018-06-25,56
2018-07-02,62
2018-07-09,59
2018-07-16,65
2018-07-23,63
2018-07-30,61
2018-08-06,77
2018-08-13,80
2018-08-20,69
2018-08-27,75
2018-09-03,70
2018-09-10,65
2018-09-17,60
2018-09-24,53
2018-10-01,70
2018-10-08,68
2018-10-15,54
2018-10-22,56
2018-10-29,73
2018-11-05,53
2018-11-12,47
2018-11-19,41
2018-11-26,46
2018-12-03,50
2018-12-10,43
2018-12-17,50
2018-12-24,32
2018-12-31,41
2019-01-07,77
2019-01-14,41
2019-01-21,69
2019-01-28,53
2019-02-04,45
2019-02-11,69
2019-02-18,80
2019-02-25,75
2019-03-04,53
2019-03-11,95
2019-03-18,72
2019-03-25,76
2019-04-01,81
2019-04-08,49
2019-04-15,49
2019-04-22,57
2019-04-29,71
2019-05-06,63
2019-05-13,77
2019-05-20,94
2019-05-27,76
2019-06-03,86
2019-06-10,80
2019-06-17,73
2019-06-24,54
2019-07-01,79
2019-07-08,62
2019-07-15,75
2019-07-22,73
2019-07-29,66
2019-08-05,82
2019-08-12,72
2019-08-19,45
2019-08-26,65
2019-09-02,78
2019-09-09,73
2019-09-16,69
2019-09-23,83
2019-09-30,62
2019-10-07,71
2019-10-14,66
2019-10-21,80
2019-10-28,62
2019-11-04,65
2019-11-11,80
2019-11-18,43
2019-11-25,62
2019-12-02,61
2019-12-09,49
2019-12-16,30
2019-12-23,34
2019-12-30,25
2020-01-06,53
2020-01-13,70
2020-01-20,57
2020-01-27,51
2020-02-03,39
2020-02-10,71
2020-02-17,48
2020-02-24,50
2020-03-02,58
2020-03-09,57
2020-03-16,33
2020-03-23,28
2020-03-30,84
2020-04-06,24
2020-04-13,27
2020-04-20,23
2020-04-27,31
2020-05-04,33
2020-05-11,33
2020-05-18,26
2020-05-25,25
2020-06-01,28
2020-06-08,34
2020-06-15,49
2020-06-22,34
2020-06-29,30
2020-07-06,50
2020-07-13,39
2020-07-20,28
2020-07-27,21
2020-08-03,20
2020-08-10,31
2020-08-17,38
2020-08-24,26
2020-08-31,30
2020-09-07,36
2020-09-14,38
2020-09-21,31
2020-09-28,42
2020-10-05,32
2020-10-12,48
2020-10-19,45
2020-10-26,26
2020-11-02,35
2020-11-09,33
2020-11-16,20
2020-11-23,49
2020-11-30,27
2020-12-07,29
2020-12-14,27
2020-12-21,7
2020-12-28,18
2021-01-04,37
2021-01-11,42
2021-01-18,28
2021-01-25,38
2021-02-01,28
2021-02-08,32
2021-02-15,22
2021-02-22,55
2021-03-01,60
2021-03-08,54
2021-03-15,37
2021-03-22,40
2021-03-29,26
2021-04-05,42
2021-04-12,34
2021-04-19,60
2021-04-26,44
2021-05-03,43
2021-05-10,37
2021-05-17,53
2021-05-24,51
2021-05-31,47
2021-06-07,45
2021-06-14,61
2021-06-21,54
2021-06-28,66
2021-07-05,61
2021-07-12,56
2021-07-19,51
2021-07-26,58
2021-08-02,26
2021-08-09,60
2021-08-16,46
2021-08-23,48
2021-08-30,44
2021-09-06,41
2021-09-13,39
2021-09-20,44
2021-09-27,32
2021-10-04,60
2021-10-11,50
2021-10-18,54
2021-10-25,49
2021-11-01,56
2021-11-08,57
2021-11-15,50
2021-11-22,71
2021-11-29,45
2021-12-06,55
2021-12-13,38
2021-12-20,44
2021-12-27,35
2022-01-03,41
2022-01-10,36
2022-01-17,50
2022-01-24,43
2022-01-31,69
2022-02-07,61
2022-02-14,65
2022-02-21,77
2022-02-28,74
2022-03-07,88
2022-03-14,58
2022-03-21,70
2022-03-28,99
2022-04-04,86
2022-04-11,48
2022-04-18,72
2022-04-25,65
2022-05-02,69
2022-05-09,97
2022-05-16,78
2022-05-23,85
2022-05-30,65
2022-06-06,77
2022-06-13,85
2022-06-20,84
2022-06-27,86
2022-07-04,64
2022-07-11,100
2022-07-18,71
2022-07-25,43
2022-08-01,64
2022-08-08,76
2022-08-15,75
2022-08-22,71
