ds,y
2013-12-30,4
2014-01-06,10
2014-01-13,11
2014-01-20,17
2014-01-27,26
2014-02-03,36
2014-02-10,14
2014-02-17,28
2014-02-24,39
2014-03-03,32
2014-03-10,43
2014-03-17,30
2014-03-24,22
2014-03-31,14
2014-04-07,33
2014-04-14,11
2014-04-21,30
2014-04-28,13
2014-05-05,27
2014-05-12,37
2014-05-19,20
2014-05-26,29
2014-06-02,29
2014-06-09,19
2014-06-16,30
2014-06-23,39
2014-06-30,26
2014-07-07,16
2014-07-14,24
2014-07-21,15
2014-07-28,23
2014-08-04,24
2014-08-11,27
2014-08-18,30
2014-08-25,27
2014-09-01,25
2014-09-08,33
2014-09-15,38
2014-09-22,35
2014-09-29,24
2014-10-06,19
2014-10-13,34
2014-10-20,22
2014-10-27,26
2014-11-03,25
2014-11-10,43
2014-11-17,24
2014-11-24,27
2014-12-01,18
2014-12-08,17
2014-12-15,14
2014-12-22,10
2014-12-29,17
2015-01-05,16
2015-01-12,22
2015-01-19,24
2015-01-26,7
2015-02-02,15
2015-02-09,60
2015-02-16,47
2015-02-23,34
2015-03-02,26
2015-03-09,27
2015-03-16,26
2015-03-23,9
2015-03-30,17
2015-04-06,21
2015-04-13,8
2015-04-20,3
2015-04-27,11
2015-05-04,4
2015-05-11,11
2015-05-18,14
2015-05-25,13
2015-06-01,23
2015-06-08,17
2015-06-15,7
2015-06-22,27
2015-06-29,12
2015-07-06,31
2015-07-13,8
2015-07-20,18
2015-07-27,39
2015-08-03,26
2015-08-10,113
2015-08-17,55
2015-08-24,24
2015-08-31,66
2015-09-07,19
2015-09-14,41
2015-09-21,39
2015-09-28,30
2015-10-05,31
2015-10-12,34
2015-10-19,24
2015-10-26,25
2015-11-02,31
2015-11-09,33
2015-11-16,14
2015-11-23,21
2015-11-30,41
2015-12-07,14
2015-12-14,14
2015-12-21,8
2016-01-04,6
2016-01-11,37
2016-01-18,38
2016-01-25,14
2016-02-01,25
2016-02-08,41
2016-02-15,31
2016-02-22,41
2016-02-29,33
2016-03-07,33
2016-03-14,29
2016-03-21,12
2016-03-28,32
2016-04-04,47
2016-04-11,44
2016-04-18,35
2016-04-25,34
2016-05-02,28
2016-05-09,30
2016-05-16,30
2016-05-23,15
2016-05-30,22
2016-06-06,26
2016-06-13,31
2016-06-20,34
2016-06-27,12
2016-07-04,40
2016-07-11,24
2016-07-18,34
2016-07-25,27
2016-08-01,28
2016-08-08,27
2016-08-15,34
2016-08-22,29
2016-08-29,34
2016-09-05,38
2016-09-12,32
2016-09-19,51
2016-09-26,42
2016-10-03,30
2016-10-10,27
2016-10-17,12
2016-10-24,19
2016-10-31,26
2016-11-07,30
2016-11-14,18
2016-11-21,16
2016-11-28,12
2016-12-05,31
2016-12-12,46
2016-12-19,15
2016-12-26,7
2017-01-02,22
2017-01-09,29
2017-01-16,44
2017-01-23,41
2017-01-30,38
2017-02-06,57
2017-02-13,21
2017-02-20,29
2017-02-27,40
