ds,y
2013-12-30,4
2014-01-06,8
2014-01-13,9
2014-01-20,11
2014-01-27,22
2014-02-03,28
2014-02-10,14
2014-02-17,24
2014-02-24,25
2014-03-03,24
2014-03-10,32
2014-03-17,22
2014-03-24,18
2014-03-31,10
2014-04-07,29
2014-04-14,10
2014-04-21,24
2014-04-28,9
2014-05-05,24
2014-05-12,32
2014-05-19,15
2014-05-26,20
2014-06-02,20
2014-06-09,19
2014-06-16,25
2014-06-23,29
2014-06-30,15
2014-07-07,12
2014-07-14,21
2014-07-21,12
2014-07-28,20
2014-08-04,17
2014-08-11,21
2014-08-18,25
2014-08-25,24
2014-09-01,22
2014-09-08,22
2014-09-15,24
2014-09-22,27
2014-09-29,17
2014-10-06,12
2014-10-13,25
2014-10-20,13
2014-10-27,20
2014-11-03,20
2014-11-10,31
2014-11-17,15
2014-11-24,22
2014-12-01,15
2014-12-08,11
2014-12-15,14
2014-12-22,6
2014-12-29,12
2015-01-05,13
2015-01-12,21
2015-01-19,17
2015-01-26,4
2015-02-02,12
2015-02-09,33
2015-02-16,34
2015-02-23,23
2015-03-02,18
2015-03-09,19
2015-03-16,18
2015-03-23,8
2015-03-30,13
2015-04-06,9
2015-04-13,7
2015-04-20,2
2015-04-27,9
2015-05-04,4
2015-05-11,6
2015-05-18,11
2015-05-25,8
2015-06-01,17
2015-06-08,11
2015-06-15,5
2015-06-22,19
2015-06-29,4
2015-07-06,21
2015-07-13,6
2015-07-20,13
2015-07-27,35
2015-08-03,21
2015-08-10,83
2015-08-17,48
2015-08-24,19
2015-08-31,43
2015-09-07,11
2015-09-14,34
2015-09-21,27
2015-09-28,23
2015-10-05,24
2015-10-12,25
2015-10-19,18
2015-10-26,20
2015-11-02,23
2015-11-09,26
2015-11-16,11
2015-11-23,14
2015-11-30,29
2015-12-07,11
2015-12-14,11
2015-12-21,4
2016-01-04,4
2016-01-11,28
2016-01-18,30
2016-01-25,10
2016-02-01,20
2016-02-08,32
2016-02-15,25
2016-02-22,35
2016-02-29,25
2016-03-07,23
2016-03-14,18
2016-03-21,9
2016-03-28,22
2016-04-04,38
2016-04-11,36
2016-04-18,26
2016-04-25,25
2016-05-02,22
2016-05-09,22
2016-05-16,22
2016-05-23,12
2016-05-30,12
2016-06-06,19
2016-06-13,22
2016-06-20,23
2016-06-27,8
2016-07-04,31
2016-07-11,21
2016-07-18,26
2016-07-25,22
2016-08-01,22
2016-08-08,18
2016-08-15,25
2016-08-22,23
2016-08-29,20
2016-09-05,24
2016-09-12,22
2016-09-19,32
2016-09-26,33
