ds,y
2013-12-30,1
2014-01-06,1
2014-01-13,14
2014-01-20,13
2014-01-27,35
2014-02-03,9
2014-02-10,9
2014-02-17,7
2014-02-24,15
2014-03-03,7
2014-03-10,9
2014-03-17,14
2014-03-24,19
2014-03-31,10
2014-04-07,8
2014-04-14,7
2014-04-21,25
2014-04-28,18
2014-05-05,51
2014-05-12,11
2014-05-19,26
2014-05-26,15
2014-06-02,22
2014-06-09,32
2014-06-16,12
2014-06-23,30
2014-06-30,32
2014-07-07,28
2014-07-14,43
2014-07-21,12
2014-07-28,12
2014-08-04,50
2014-08-11,23
2014-08-18,24
2014-08-25,57
2014-09-01,30
2014-09-08,36
2014-09-15,51
2014-09-22,53
2014-09-29,33
2014-10-06,50
2014-10-13,38
2014-10-20,58
2014-10-27,29
2014-11-03,39
2014-11-10,38
2014-11-17,26
2014-11-24,33
2014-12-01,37
2014-12-08,52
2014-12-15,39
2014-12-22,18
2014-12-29,50
2015-01-05,47
2015-01-12,51
2015-01-19,43
2015-01-26,28
2015-02-02,69
2015-02-09,43
2015-02-16,53
2015-02-23,25
2015-03-02,26
2015-03-09,22
2015-03-16,17
2015-03-23,58
2015-03-30,33
2015-04-06,52
2015-04-13,56
2015-04-20,52
2015-04-27,55
2015-05-04,52
2015-05-11,78
2015-05-18,50
2015-05-25,62
2015-06-01,52
2015-06-08,47
2015-06-15,73
2015-06-22,46
2015-06-29,68
2015-07-06,51
2015-07-13,38
2015-07-20,54
2015-07-27,35
2015-08-03,88
2015-08-10,46
2015-08-17,57
2015-08-24,68
2015-08-31,51
2015-09-07,43
2015-09-14,75
2015-09-21,53
2015-09-28,64
2015-10-05,54
2015-10-12,54
2015-10-19,30
2015-10-26,61
2015-11-02,53
2015-11-09,44
2015-11-16,58
2015-11-23,77
2015-11-30,49
2015-12-07,52
2015-12-14,15
2015-12-21,33
2016-01-04,43
2016-01-11,61
2016-01-18,47
2016-01-25,51
2016-02-01,45
2016-02-08,57
2016-02-15,61
2016-02-22,43
2016-02-29,48
2016-03-07,41
2016-03-14,58
2016-03-21,24
2016-03-28,47
2016-04-04,59
2016-04-11,72
2016-04-18,32
2016-04-25,49
2016-05-02,62
2016-05-09,54
2016-05-16,54
2016-05-23,66
2016-05-30,41
2016-06-06,52
2016-06-13,45
2016-06-20,43
2016-06-27,38
2016-07-04,47
2016-07-11,38
2016-07-18,41
2016-07-25,48
2016-08-01,49
2016-08-08,43
2016-08-15,48
2016-08-22,61
2016-08-29,44
2016-09-05,41
2016-09-12,27
2016-09-19,59
2016-09-26,55
2016-10-03,54
2016-10-10,40
2016-10-17,41
2016-10-24,53
2016-10-31,26
2016-11-07,44
2016-11-14,44
2016-11-21,48
2016-11-28,36
2016-12-05,48
2016-12-12,33
2016-12-19,23
2016-12-26,37
2017-01-02,30
2017-01-09,54
2017-01-16,33
2017-01-23,48
2017-01-30,52
2017-02-06,35
2017-02-13,53
2017-02-20,90
2017-02-27,41
2017-03-06,51
2017-03-13,63
2017-03-20,76
2017-03-27,57
2017-04-03,53
2017-04-10,46
2017-04-17,36
2017-04-24,74
2017-05-01,39
2017-05-08,50
2017-05-15,66
2017-05-22,59
2017-05-29,82
2017-06-05,34
2017-06-12,49
2017-06-19,46
2017-06-26,43
2017-07-03,30
2017-07-10,38
2017-07-17,33
2017-07-24,35
2017-07-31,25
2017-08-07,55
2017-08-14,54
2017-08-21,53
2017-08-28,36
2017-09-04,33
2017-09-11,47
2017-09-18,34
2017-09-25,68
2017-10-02,122
2017-10-09,40
2017-10-16,69
2017-10-23,55
2017-10-30,42
2017-11-06,68
2017-11-13,39
2017-11-20,32
2017-11-27,43
2017-12-04,43
2017-12-11,43
2017-12-18,31
2017-12-25,27
2018-01-01,18
2018-01-08,33
2018-01-15,31
2018-01-22,52
2018-01-29,46
2018-02-05,34
2018-02-12,47
2018-02-19,48
2018-02-26,34
2018-03-05,54
2018-03-12,37
2018-03-19,26
2018-03-26,31
2018-04-02,35
2018-04-09,55
2018-04-16,47
2018-04-23,62
2018-04-30,21
2018-05-07,32
2018-05-14,31
2018-05-21,39
2018-05-28,49
2018-06-04,46
2018-06-11,40
2018-06-18,30
2018-06-25,46
2018-07-02,35
2018-07-09,40
2018-07-16,47
2018-07-23,60
2018-07-30,41
2018-08-06,105
2018-08-13,66
2018-08-20,55
2018-08-27,45
2018-09-03,48
2018-09-10,41
2018-09-17,50
2018-09-24,83
2018-10-01,50
2018-10-08,66
2018-10-15,49
2018-10-22,61
2018-10-29,36
2018-11-05,38
2018-11-12,59
2018-11-19,37
2018-11-26,35
2018-12-03,58
2018-12-10,25
2018-12-17,18
2018-12-24,41
2018-12-31,40
2019-01-07,43
2019-01-14,64
2019-01-21,70
2019-01-28,60
2019-02-04,50
2019-02-11,59
2019-02-18,46
2019-02-25,76
2019-03-04,48
2019-03-11,77
2019-03-18,28
2019-03-25,72
2019-04-01,46
2019-04-08,81
2019-04-15,95
2019-04-22,108
2019-04-29,7
2019-05-06,139
2019-05-13,58
2019-05-20,46
2019-05-27,64
2019-06-03,77
2019-06-10,50
2019-06-17,187
2019-06-24,120
2019-07-01,54
2019-07-08,82
2019-07-15,86
2019-07-22,157
2019-07-29,82
2019-08-05,55
2019-08-12,51
2019-08-19,51
2019-08-26,52
2019-09-02,36
2019-09-09,204
2019-09-16,189
2019-09-23,174
2019-09-30,118
2019-10-07,63
2019-10-14,63
2019-10-21,111
2019-10-28,149
2019-11-04,27
2019-11-11,59
2019-11-18,81
2019-11-25,109
2019-12-02,54
2019-12-09,54
2019-12-16,34
2019-12-23,31
2019-12-30,16
2020-01-06,23
2020-01-13,49
2020-01-20,53
2020-01-27,56
2020-02-03,71
2020-02-10,89
2020-02-17,75
2020-02-24,34
2020-03-02,45
2020-03-09,50
2020-03-16,77
2020-03-23,58
2020-03-30,13
2020-04-06,64
2020-04-13,52
2020-04-20,26
2020-04-27,48
2020-05-04,38
2020-05-11,28
2020-05-18,13
2020-05-25,57
2020-06-01,108
2020-06-08,74
2020-06-15,40
2020-06-22,33
2020-06-29,26
2020-07-06,120
2020-07-13,58
2020-07-20,6
2020-07-27,51
2020-08-03,13
2020-08-10,16
2020-08-17,65
2020-08-24,76
2020-08-31,156
2020-09-07,44
2020-09-14,38
2020-09-21,33
2020-09-28,34
2020-10-05,22
2020-10-12,17
2020-10-19,27
2020-10-26,100
2020-11-02,41
2020-11-09,38
2020-11-16,37
2020-11-23,40
2020-11-30,156
2020-12-07,32
2020-12-14,32
2020-12-21,21
2020-12-28,28
2021-01-04,42
2021-01-11,34
2021-01-18,35
2021-01-25,45
2021-02-01,26
2021-02-08,55
2021-02-15,42
2021-02-22,71
2021-03-01,44
2021-03-08,48
2021-03-15,95
2021-03-22,36
2021-03-29,85
2021-04-05,42
2021-04-12,48
2021-04-19,37
2021-04-26,50
2021-05-03,43
2021-05-10,75
2021-05-17,103
2021-05-24,57
2021-05-31,51
2021-06-07,55
2021-06-14,68
2021-06-21,62
2021-06-28,65
2021-07-05,67
2021-07-12,54
2021-07-19,64
2021-07-26,65
2021-08-02,66
2021-08-09,48
2021-08-16,76
2021-08-23,62
2021-08-30,69
2021-09-06,57
2021-09-13,31
2021-09-20,87
2021-09-27,72
2021-10-04,64
2021-10-11,75
2021-10-18,78
2021-10-25,64
2021-11-01,102
2021-11-08,78
2021-11-15,77
2021-11-22,76
2021-11-29,46
2021-12-06,55
2021-12-13,57
2021-12-20,37
2021-12-27,49
2022-01-03,49
2022-01-10,87
2022-01-17,56
2022-01-24,72
2022-01-31,6
2022-02-07,168
2022-02-14,84
2022-02-21,91
2022-02-28,29
2022-03-07,79
2022-03-14,117
2022-03-21,59
2022-03-28,94
2022-04-04,103
2022-04-11,68
2022-04-18,95
2022-04-25,63
2022-05-02,79
2022-05-09,71
2022-05-16,78
2022-05-23,71
2022-05-30,87
2022-06-06,93
2022-06-13,151
2022-06-20,13
2022-06-27,82
2022-07-04,90
2022-07-11,37
2022-07-18,83
2022-07-25,94
2022-08-01,103
2022-08-08,234
2022-08-15,199
2022-08-22,164
2022-08-29,124
2022-09-05,84
2022-09-12,77
2022-09-19,64
2022-09-26,83
2022-10-03,84
2022-10-10,94
2022-10-17,120
2022-10-24,148
2022-10-31,62
2022-11-07,64
2022-11-14,64
2022-11-21,176
2022-11-28,94
2022-12-05,54
2022-12-12,68
2022-12-19,6
2022-12-26,11
2023-01-02,65
2023-01-09,53
2023-01-16,57
2023-01-23,80
2023-01-30,50
2023-02-06,62
2023-02-13,93
2023-02-20,125
2023-02-27,64
2023-03-06,92
2023-03-13,50
2023-03-20,93
2023-03-27,62
2023-04-03,73
2023-04-10,82
2023-04-17,95
2023-04-24,80
2023-05-01,65
2023-05-08,53
2023-05-15,72
2023-05-22,174
2023-05-29,15
2023-06-05,185
2023-06-12,138
2023-06-19,91
2023-06-26,89
2023-07-03,87
2023-07-10,56
2023-07-17,20
2023-07-24,74
2023-07-31,62
2023-08-07,132
2023-08-14,70
2023-08-21,39
2023-08-28,54
2023-09-04,177
2023-09-11,198
2023-09-18,111
2023-09-25,127
2023-10-02,142
2023-10-09,116
2023-10-16,101
2023-10-23,195
2023-10-30,173
2023-11-06,73
2023-11-13,230
2023-11-20,54
2023-11-27,150
2023-12-04,140
