ds,y
2013-12-30,0
2014-01-06,0
2014-01-13,4
2014-01-20,3
2014-01-27,8
2014-02-03,1
2014-02-10,2
2014-02-17,0
2014-02-24,1
2014-03-03,1
2014-03-10,0
2014-03-17,2
2014-03-24,4
2014-03-31,1
2014-04-07,3
2014-04-14,3
2014-04-21,2
2014-04-28,5
2014-05-05,14
2014-05-12,2
2014-05-19,6
2014-05-26,3
2014-06-02,6
2014-06-09,5
2014-06-16,4
2014-06-23,6
2014-06-30,8
2014-07-07,9
2014-07-14,6
2014-07-21,2
2014-07-28,3
2014-08-04,11
2014-08-11,4
2014-08-18,2
2014-08-25,15
2014-09-01,5
2014-09-08,6
2014-09-15,14
2014-09-22,13
2014-09-29,13
2014-10-06,14
2014-10-13,6
2014-10-20,10
2014-10-27,9
2014-11-03,8
2014-11-10,9
2014-11-17,6
2014-11-24,7
2014-12-01,13
2014-12-08,14
2014-12-15,7
2014-12-22,4
2014-12-29,11
2015-01-05,18
2015-01-12,18
2015-01-19,10
2015-01-26,7
2015-02-02,10
2015-02-09,9
2015-02-16,16
2015-02-23,3
2015-03-02,9
2015-03-09,6
2015-03-16,2
2015-03-23,12
2015-03-30,8
2015-04-06,10
2015-04-13,11
2015-04-20,10
2015-04-27,10
2015-05-04,9
2015-05-11,14
2015-05-18,9
2015-05-25,15
2015-06-01,9
2015-06-08,9
2015-06-15,19
2015-06-22,9
2015-06-29,22
2015-07-06,16
2015-07-13,12
2015-07-20,15
2015-07-27,6
2015-08-03,49
2015-08-10,11
2015-08-17,11
2015-08-24,12
2015-08-31,11
2015-09-07,14
2015-09-14,10
2015-09-21,18
2015-09-28,10
2015-10-05,12
2015-10-12,12
2015-10-19,3
2015-10-26,18
2015-11-02,16
2015-11-09,13
2015-11-16,14
2015-11-23,20
2015-11-30,13
2015-12-07,15
2015-12-14,5
2015-12-21,10
2016-01-04,10
2016-01-11,17
2016-01-18,12
2016-01-25,15
2016-02-01,11
2016-02-08,14
