ds,y
2013-12-30,1
2014-01-06,1
2014-01-13,10
2014-01-20,10
2014-01-27,27
2014-02-03,8
2014-02-10,7
2014-02-17,7
2014-02-24,14
2014-03-03,6
2014-03-10,9
2014-03-17,12
2014-03-24,15
2014-03-31,9
2014-04-07,5
2014-04-14,4
2014-04-21,23
2014-04-28,13
2014-05-05,37
2014-05-12,9
2014-05-19,20
2014-05-26,12
2014-06-02,16
2014-06-09,27
2014-06-16,8
2014-06-23,24
2014-06-30,24
2014-07-07,19
2014-07-14,37
2014-07-21,10
2014-07-28,9
2014-08-04,39
2014-08-11,19
2014-08-18,22
2014-08-25,42
2014-09-01,25
2014-09-08,30
2014-09-15,37
2014-09-22,40
2014-09-29,20
2014-10-06,36
2014-10-13,32
2014-10-20,48
2014-10-27,20
2014-11-03,31
2014-11-10,29
2014-11-17,20
2014-11-24,26
2014-12-01,24
2014-12-08,38
2014-12-15,32
2014-12-22,14
2014-12-29,39
2015-01-05,29
2015-01-12,33
2015-01-19,33
2015-01-26,21
2015-02-02,59
2015-02-09,34
2015-02-16,37
2015-02-23,22
2015-03-02,17
2015-03-09,16
2015-03-16,15
2015-03-23,46
2015-03-30,25
2015-04-06,42
2015-04-13,45
2015-04-20,42
2015-04-27,45
2015-05-04,43
2015-05-11,64
2015-05-18,41
2015-05-25,47
2015-06-01,43
2015-06-08,38
2015-06-15,54
2015-06-22,37
2015-06-29,46
2015-07-06,35
2015-07-13,26
2015-07-20,39
2015-07-27,29
2015-08-03,39
2015-08-10,35
2015-08-17,46
2015-08-24,56
2015-08-31,40
2015-09-07,29
2015-09-14,65
2015-09-21,35
2015-09-28,54
2015-10-05,42
2015-10-12,42
2015-10-19,27
2015-10-26,43
2015-11-02,37
2015-11-09,31
2015-11-16,44
2015-11-23,57
2015-11-30,36
2015-12-07,37
2015-12-14,10
2015-12-21,23
2016-01-04,33
2016-01-11,44
2016-01-18,35
2016-01-25,36
2016-02-01,34
2016-02-08,43
2016-02-15,44
2016-02-22,34
2016-02-29,34
2016-03-07,30
2016-03-14,46
2016-03-21,19
2016-03-28,40
2016-04-04,45
2016-04-11,52
2016-04-18,16
2016-04-25,36
2016-05-02,47
2016-05-09,39
2016-05-16,39
2016-05-23,48
2016-05-30,29
2016-06-06,37
2016-06-13,34
2016-06-20,35
2016-06-27,33
2016-07-04,34
2016-07-11,30
2016-07-18,27
2016-07-25,33
2016-08-01,30
2016-08-08,32
2016-08-15,39
2016-08-22,43
2016-08-29,33
2016-09-05,34
2016-09-12,20
2016-09-19,46
2016-09-26,50
2016-10-03,40
2016-10-10,34
2016-10-17,29
2016-10-24,36
2016-10-31,20
2016-11-07,32
2016-11-14,37
2016-11-21,38
2016-11-28,17
2016-12-05,39
2016-12-12,27
2016-12-19,14
2016-12-26,31
2017-01-02,23
2017-01-09,33
2017-01-16,20
2017-01-23,34
2017-01-30,44
2017-02-06,23
2017-02-13,39
2017-02-20,58
2017-02-27,28
2017-03-06,38
2017-03-13,45
2017-03-20,56
2017-03-27,45
2017-04-03,40
2017-04-10,33
2017-04-17,25
2017-04-24,57
2017-05-01,31
2017-05-08,35
2017-05-15,49
2017-05-22,41
2017-05-29,50
2017-06-05,25
2017-06-12,37
2017-06-19,38
2017-06-26,33
2017-07-03,24
2017-07-10,29
2017-07-17,26
2017-07-24,24
2017-07-31,18
2017-08-07,45
2017-08-14,43
2017-08-21,35
2017-08-28,33
2017-09-04,26
2017-09-11,35
2017-09-18,26
2017-09-25,51
2017-10-02,88
2017-10-09,24
2017-10-16,53
2017-10-23,36
2017-10-30,32
2017-11-06,45
2017-11-13,27
2017-11-20,29
2017-11-27,35
2017-12-04,35
2017-12-11,30
2017-12-18,22
2017-12-25,16
2018-01-01,15
2018-01-08,24
2018-01-15,22
2018-01-22,43
2018-01-29,36
2018-02-05,25
2018-02-12,33
2018-02-19,34
2018-02-26,27
2018-03-05,37
2018-03-12,30
2018-03-19,19
2018-03-26,20
2018-04-02,24
2018-04-09,39
2018-04-16,39
2018-04-23,49
2018-04-30,13
2018-05-07,25
2018-05-14,25
2018-05-21,29
2018-05-28,39
2018-06-04,37
2018-06-11,32
2018-06-18,23
2018-06-25,36
2018-07-02,28
2018-07-09,27
2018-07-16,31
2018-07-23,41
2018-07-30,34
2018-08-06,71
2018-08-13,45
2018-08-20,37
2018-08-27,32
2018-09-03,28
2018-09-10,29
2018-09-17,38
2018-09-24,64
2018-10-01,34
2018-10-08,55
2018-10-15,37
2018-10-22,38
2018-10-29,25
2018-11-05,28
2018-11-12,42
2018-11-19,25
2018-11-26,25
2018-12-03,44
2018-12-10,19
2018-12-17,16
2018-12-24,33
2018-12-31,27
2019-01-07,31
2019-01-14,44
2019-01-21,49
2019-01-28,40
2019-02-04,41
2019-02-11,46
2019-02-18,30
2019-02-25,53
2019-03-04,26
2019-03-11,59
2019-03-18,12
2019-03-25,50
2019-04-01,26
2019-04-08,59
2019-04-15,70
2019-04-22,80
2019-04-29,2
2019-05-06,93
2019-05-13,43
2019-05-20,44
2019-05-27,46
2019-06-03,56
2019-06-10,31
2019-06-17,129
2019-06-24,80
2019-07-01,31
2019-07-08,45
2019-07-15,57
2019-07-22,121
2019-07-29,64
2019-08-05,51
2019-08-12,38
2019-08-19,38
2019-08-26,39
2019-09-02,27
2019-09-09,145
2019-09-16,134
2019-09-23,123
2019-09-30,82
2019-10-07,41
2019-10-14,46
2019-10-21,39
2019-10-28,111
2019-11-04,23
2019-11-11,43
2019-11-18,55
2019-11-25,39
2019-12-02,39
2019-12-09,39
2019-12-16,23
2019-12-23,21
2019-12-30,11
2020-01-06,18
2020-01-13,31
2020-01-20,37
2020-01-27,42
2020-02-03,49
2020-02-10,59
2020-02-17,59
2020-02-24,27
2020-03-02,34
2020-03-09,40
2020-03-16,49
2020-03-23,41
2020-03-30,0
2020-04-06,41
2020-04-13,31
2020-04-20,14
2020-04-27,37
2020-05-04,25
2020-05-11,22
2020-05-18,2
2020-05-25,41
2020-06-01,77
2020-06-08,52
2020-06-15,28
2020-06-22,22
2020-06-29,16
2020-07-06,89
2020-07-13,40
2020-07-20,0
2020-07-27,34
2020-08-03,11
2020-08-10,10
2020-08-17,43
2020-08-24,70
2020-08-31,96
2020-09-07,35
2020-09-14,30
2020-09-21,22
2020-09-28,22
2020-10-05,19
2020-10-12,14
2020-10-19,9
2020-10-26,67
2020-11-02,31
2020-11-09,27
2020-11-16,22
2020-11-23,30
2020-11-30,131
2020-12-07,19
2020-12-14,25
2020-12-21,13
2020-12-28,18
2021-01-04,29
2021-01-11,22
2021-01-18,26
2021-01-25,32
2021-02-01,16
2021-02-08,36
2021-02-15,28
2021-02-22,44
2021-03-01,28
2021-03-08,41
2021-03-15,62
2021-03-22,27
2021-03-29,46
2021-04-05,29
2021-04-12,33
2021-04-19,29
2021-04-26,34
2021-05-03,33
2021-05-10,64
2021-05-17,94
2021-05-24,36
2021-05-31,35
2021-06-07,42
2021-06-14,51
2021-06-21,40
2021-06-28,48
2021-07-05,46
2021-07-12,34
2021-07-19,54
2021-07-26,43
2021-08-02,49
2021-08-09,34
2021-08-16,62
2021-08-23,41
2021-08-30,49
2021-09-06,39
2021-09-13,18
2021-09-20,60
2021-09-27,58
2021-10-04,48
2021-10-11,51
2021-10-18,55
2021-10-25,45
2021-11-01,77
2021-11-08,61
2021-11-15,56
2021-11-22,55
2021-11-29,32
2021-12-06,39
2021-12-13,36
2021-12-20,22
2021-12-27,34
2022-01-03,33
2022-01-10,55
2022-01-17,38
2022-01-24,51
2022-01-31,3
2022-02-07,112
2022-02-14,57
2022-02-21,69
2022-02-28,16
2022-03-07,56
2022-03-14,83
2022-03-21,41
2022-03-28,59
2022-04-04,67
2022-04-11,55
2022-04-18,63
2022-04-25,48
2022-05-02,55
2022-05-09,49
2022-05-16,50
2022-05-23,50
2022-05-30,56
2022-06-06,64
2022-06-13,114
2022-06-20,8
2022-06-27,57
2022-07-04,66
2022-07-11,23
2022-07-18,52
2022-07-25,61
2022-08-01,73
2022-08-08,163
2022-08-15,138
2022-08-22,113
2022-08-29,88
2022-09-05,62
2022-09-12,57
2022-09-19,40
2022-09-26,50
2022-10-03,55
2022-10-10,61
2022-10-17,78
2022-10-24,96
2022-10-31,46
2022-11-07,52
2022-11-14,57
2022-11-21,124
2022-11-28,64
2022-12-05,39
2022-12-12,52
2022-12-19,0
2022-12-26,5
2023-01-02,42
2023-01-09,37
2023-01-16,41
2023-01-23,57
2023-01-30,31
2023-02-06,45
2023-02-13,61
2023-02-20,92
2023-02-27,44
2023-03-06,68
2023-03-13,32
2023-03-20,67
2023-03-27,48
2023-04-03,56
2023-04-10,59
2023-04-17,71
2023-04-24,66
2023-05-01,34
2023-05-08,38
2023-05-15,53
2023-05-22,132
2023-05-29,13
2023-06-05,126
2023-06-12,91
2023-06-19,56
2023-06-26,64
2023-07-03,56
2023-07-10,43
2023-07-17,17
2023-07-24,39
2023-07-31,36
2023-08-07,86
2023-08-14,45
2023-08-21,23
2023-08-28,39
2023-09-04,162
2023-09-11,132
2023-09-18,76
2023-09-25,88
2023-10-02,99
2023-10-09,74
2023-10-16,75
2023-10-23,180
2023-10-30,113
2023-11-06,46
2023-11-13,162
2023-11-20,39
2023-11-27,135
2023-12-04,93
