ds,y
2013-12-30,0
2014-01-06,3
2014-01-13,2
2014-01-20,0
2014-01-27,1
2014-02-03,6
2014-02-10,8
2014-02-17,7
2014-02-24,11
2014-03-03,16
2014-03-10,12
2014-03-17,13
2014-03-24,1
2014-03-31,6
2014-04-07,6
2014-04-14,15
2014-04-21,15
2014-04-28,14
2014-05-05,10
2014-05-12,5
2014-05-19,9
2014-05-26,13
2014-06-02,4
2014-06-09,6
2014-06-16,20
2014-06-23,6
2014-06-30,1
2014-07-07,9
2014-07-14,11
2014-07-21,7
2014-07-28,12
2014-08-04,6
2014-08-11,12
2014-08-18,15
2014-08-25,17
2014-09-01,11
2014-09-08,31
2014-09-15,8
2014-09-22,16
2014-09-29,12
2014-10-06,8
2014-10-13,9
2014-10-20,15
2014-10-27,6
2014-11-03,12
2014-11-10,10
2014-11-17,7
2014-11-24,10
2014-12-01,12
2014-12-08,6
2014-12-15,2
2014-12-22,1
2014-12-29,10
2015-01-05,16
2015-01-12,9
2015-01-19,6
2015-01-26,12
2015-02-02,12
2015-02-09,7
2015-02-16,11
2015-02-23,9
2015-03-02,9
2015-03-09,5
2015-03-16,4
2015-03-23,5
2015-03-30,16
2015-04-06,19
2015-04-13,23
2015-04-20,27
2015-04-27,27
2015-05-04,29
2015-05-11,25
2015-05-18,25
2015-05-25,33
2015-06-01,26
2015-06-08,24
2015-06-15,17
2015-06-22,25
2015-06-29,29
2015-07-06,24
2015-07-13,19
2015-07-20,19
2015-07-27,17
2015-08-03,15
2015-08-10,17
2015-08-17,11
2015-08-24,17
2015-08-31,17
2015-09-07,16
2015-09-14,21
2015-09-21,26
2015-09-28,14
2015-10-05,21
2015-10-12,29
2015-10-19,33
2015-10-26,24
2015-11-02,12
2015-11-09,15
2015-11-16,27
2015-11-23,18
2015-11-30,12
2015-12-07,4
2015-12-14,6
2015-12-21,12
2016-01-04,25
2016-01-11,20
2016-01-18,21
2016-01-25,30
2016-02-01,19
2016-02-08,13
2016-02-15,14
2016-02-22,12
2016-02-29,14
2016-03-07,27
2016-03-14,17
2016-03-21,9
2016-03-28,18
2016-04-04,26
2016-04-11,18
2016-04-18,19
2016-04-25,16
2016-05-02,22
2016-05-09,17
2016-05-16,17
2016-05-23,20
2016-05-30,26
2016-06-06,31
2016-06-13,18
2016-06-20,10
2016-06-27,13
2016-07-04,16
2016-07-11,28
2016-07-18,30
2016-07-25,33
2016-08-01,28
2016-08-08,23
2016-08-15,30
