ds,y
2013-12-30,0
2014-01-06,3
2014-01-13,1
2014-01-20,0
2014-01-27,0
2014-02-03,4
2014-02-10,3
2014-02-17,5
2014-02-24,9
2014-03-03,11
2014-03-10,7
2014-03-17,10
2014-03-24,1
2014-03-31,4
2014-04-07,6
2014-04-14,9
2014-04-21,11
2014-04-28,11
2014-05-05,8
2014-05-12,5
2014-05-19,6
2014-05-26,9
2014-06-02,3
2014-06-09,5
2014-06-16,16
2014-06-23,4
2014-06-30,1
2014-07-07,7
2014-07-14,7
2014-07-21,5
2014-07-28,9
2014-08-04,6
2014-08-11,9
2014-08-18,10
2014-08-25,12
2014-09-01,9
2014-09-08,28
2014-09-15,4
2014-09-22,12
2014-09-29,9
2014-10-06,8
2014-10-13,7
2014-10-20,12
2014-10-27,4
2014-11-03,9
2014-11-10,10
2014-11-17,5
2014-11-24,7
2014-12-01,10
2014-12-08,4
2014-12-15,2
2014-12-22,0
2014-12-29,9
2015-01-05,12
2015-01-12,7
2015-01-19,6
2015-01-26,9
2015-02-02,5
2015-02-09,5
2015-02-16,11
2015-02-23,8
2015-03-02,6
2015-03-09,3
2015-03-16,2
2015-03-23,2
2015-03-30,14
2015-04-06,19
2015-04-13,18
2015-04-20,20
2015-04-27,22
2015-05-04,24
2015-05-11,22
2015-05-18,21
2015-05-25,28
2015-06-01,22
2015-06-08,14
2015-06-15,14
2015-06-22,23
2015-06-29,25
2015-07-06,13
2015-07-13,16
2015-07-20,18
2015-07-27,11
2015-08-03,13
2015-08-10,13
2015-08-17,9
2015-08-24,13
2015-08-31,14
2015-09-07,13
2015-09-14,15
2015-09-21,20
2015-09-28,7
2015-10-05,20
2015-10-12,24
2015-10-19,23
2015-10-26,18
2015-11-02,10
2015-11-09,8
2015-11-16,22
2015-11-23,16
2015-11-30,8
2015-12-07,3
2015-12-14,4
2015-12-21,8
2016-01-04,15
2016-01-11,15
2016-01-18,20
2016-01-25,21
2016-02-01,16
2016-02-08,11
2016-02-15,9
2016-02-22,9
2016-02-29,13
2016-03-07,22
2016-03-14,14
2016-03-21,9
2016-03-28,12
2016-04-04,23
2016-04-11,15
2016-04-18,12
2016-04-25,16
2016-05-02,19
2016-05-09,13
2016-05-16,13
2016-05-23,15
2016-05-30,17
2016-06-06,24
2016-06-13,16
2016-06-20,10
2016-06-27,9
2016-07-04,14
2016-07-11,21
2016-07-18,21
2016-07-25,27
2016-08-01,19
2016-08-08,18
2016-08-15,24
