ds,y
2013-12-30,0
2014-01-06,6
2014-01-13,13
2014-01-20,9
2014-01-27,15
2014-02-03,13
2014-02-10,16
2014-02-17,18
2014-02-24,13
2014-03-03,8
2014-03-10,13
2014-03-17,14
2014-03-24,21
2014-03-31,7
2014-04-07,1
2014-04-14,9
2014-04-21,16
2014-04-28,12
2014-05-05,6
2014-05-12,9
2014-05-19,9
2014-05-26,10
2014-06-02,12
2014-06-09,17
2014-06-16,13
2014-06-23,11
2014-06-30,15
2014-07-07,0
2014-07-14,4
2014-07-21,4
2014-07-28,3
2014-08-04,5
2014-08-11,3
2014-08-18,14
2014-08-25,3
2014-09-01,2
2014-09-08,3
2014-09-15,2
2014-09-22,1
2014-09-29,1
2014-10-06,2
2014-10-13,0
2014-10-20,3
2014-10-27,0
2014-11-03,1
2014-11-10,5
2014-11-17,9
2014-11-24,7
2014-12-01,6
2014-12-08,4
2014-12-15,3
2014-12-22,3
2014-12-29,21
2015-01-05,0
2015-01-12,26
2015-01-19,15
2015-01-26,18
2015-02-02,9
2015-02-09,4
2015-02-16,9
2015-02-23,10
2015-03-02,5
2015-03-09,3
2015-03-16,15
2015-03-23,11
2015-03-30,13
2015-04-06,21
2015-04-13,10
2015-04-20,17
2015-04-27,13
2015-05-04,21
2015-05-11,25
2015-05-18,14
2015-05-25,29
2015-06-01,18
2015-06-08,13
2015-06-15,23
2015-06-22,15
2015-06-29,7
2015-07-06,12
2015-07-13,11
2015-07-20,11
2015-07-27,10
2015-08-03,10
2015-08-10,13
2015-08-17,14
2015-08-24,80
2015-08-31,10
2015-09-07,10
2015-09-14,11
2015-09-21,21
2015-09-28,21
2015-10-05,22
2015-10-12,7
2015-10-19,31
2015-10-26,21
2015-11-02,6
2015-11-09,24
2015-11-16,21
2015-11-23,42
2015-11-30,21
2015-12-07,28
2015-12-14,16
2015-12-21,17
2016-01-04,20
2016-01-11,42
2016-01-18,13
2016-01-25,35
2016-02-01,22
2016-02-08,26
2016-02-15,43
2016-02-22,27
2016-02-29,48
2016-03-07,35
2016-03-14,22
2016-03-21,8
2016-03-28,25
2016-04-04,28
2016-04-11,23
2016-04-18,22
2016-04-25,28
2016-05-02,20
2016-05-09,24
2016-05-16,24
2016-05-23,24
2016-05-30,18
2016-06-06,17
2016-06-13,19
2016-06-20,23
2016-06-27,20
2016-07-04,12
2016-07-11,21
2016-07-18,28
2016-07-25,13
2016-08-01,17
2016-08-08,40
2016-08-15,19
2016-08-22,23
2016-08-29,10
2016-09-05,11
2016-09-12,11
2016-09-19,23
2016-09-26,13
2016-10-03,26
2016-10-10,13
2016-10-17,15
2016-10-24,15
2016-10-31,7
2016-11-07,19
2016-11-14,22
2016-11-21,13
2016-11-28,11
2016-12-05,13
2016-12-12,9
2016-12-19,13
2016-12-26,8
2017-01-02,10
2017-01-09,24
2017-01-16,34
2017-01-23,22
2017-01-30,28
2017-02-06,23
2017-02-13,26
2017-02-20,27
2017-02-27,25
2017-03-06,23
2017-03-13,27
2017-03-20,32
2017-03-27,29
2017-04-03,20
2017-04-10,22
2017-04-17,22
2017-04-24,22
2017-05-01,19
2017-05-08,17
2017-05-15,19
2017-05-22,24
2017-05-29,15
2017-06-05,20
2017-06-12,28
2017-06-19,21
2017-06-26,13
2017-07-03,32
2017-07-10,36
2017-07-17,27
2017-07-24,18
2017-07-31,20
2017-08-07,27
2017-08-14,24
2017-08-21,14
2017-08-28,12
2017-09-04,18
2017-09-11,40
2017-09-18,35
2017-09-25,40
2017-10-02,30
2017-10-09,34
2017-10-16,42
2017-10-23,34
2017-10-30,29
2017-11-06,23
2017-11-13,27
2017-11-20,15
2017-11-27,22
2017-12-04,31
2017-12-11,18
2017-12-18,12
2017-12-25,7
2018-01-01,6
2018-01-08,10
2018-01-15,18
2018-01-22,20
2018-01-29,10
2018-02-05,23
2018-02-12,19
2018-02-19,20
2018-02-26,21
2018-03-05,18
2018-03-12,19
2018-03-19,15
2018-03-26,10
2018-04-02,16
2018-04-09,27
2018-04-16,37
2018-04-23,12
2018-04-30,24
2018-05-07,15
2018-05-14,25
2018-05-21,22
2018-05-28,34
2018-06-04,24
2018-06-11,18
2018-06-18,24
2018-06-25,27
2018-07-02,20
2018-07-09,28
2018-07-16,23
2018-07-23,20
2018-07-30,20
2018-08-06,34
2018-08-13,33
2018-08-20,36
2018-08-27,31
2018-09-03,33
2018-09-10,31
2018-09-17,24
2018-09-24,14
2018-10-01,21
2018-10-08,26
2018-10-15,21
2018-10-22,37
2018-10-29,28
2018-11-05,21
2018-11-12,32
2018-11-19,34
2018-11-26,34
2018-12-03,28
2018-12-10,16
2018-12-17,12
2018-12-24,11
2018-12-31,11
2019-01-07,13
2019-01-14,17
2019-01-21,45
2019-01-28,19
2019-02-04,13
2019-02-11,36
2019-02-18,42
2019-02-25,24
2019-03-04,30
2019-03-11,32
2019-03-18,28
2019-03-25,35
2019-04-01,44
2019-04-08,33
2019-04-15,25
2019-04-22,27
2019-04-29,39
2019-05-06,18
2019-05-13,31
2019-05-20,53
2019-05-27,41
2019-06-03,31
2019-06-10,42
2019-06-17,28
2019-06-24,27
2019-07-01,43
2019-07-08,33
2019-07-15,23
2019-07-22,42
2019-07-29,11
2019-08-05,35
2019-08-12,27
2019-08-19,21
2019-08-26,30
2019-09-02,24
2019-09-09,31
2019-09-16,31
2019-09-23,38
2019-09-30,33
2019-10-07,25
2019-10-14,38
2019-10-21,35
2019-10-28,18
2019-11-04,21
2019-11-11,25
2019-11-18,18
2019-11-25,29
2019-12-02,27
2019-12-09,34
2019-12-16,14
2019-12-23,21
2019-12-30,18
2020-01-06,34
2020-01-13,38
2020-01-20,46
2020-01-27,47
2020-02-03,44
2020-02-10,37
2020-02-17,40
2020-02-24,44
2020-03-02,42
2020-03-09,29
2020-03-16,33
2020-03-23,17
2020-03-30,9
2020-04-06,8
2020-04-13,19
2020-04-20,12
2020-04-27,8
2020-05-04,5
2020-05-11,11
2020-05-18,13
2020-05-25,12
2020-06-01,12
2020-06-08,24
2020-06-15,15
2020-06-22,9
2020-06-29,16
2020-07-06,18
2020-07-13,19
2020-07-20,24
2020-07-27,5
2020-08-03,13
2020-08-10,21
2020-08-17,17
2020-08-24,22
2020-08-31,9
2020-09-07,41
2020-09-14,45
2020-09-21,34
2020-09-28,21
2020-10-05,15
2020-10-12,23
2020-10-19,37
2020-10-26,27
2020-11-02,18
2020-11-09,25
2020-11-16,31
2020-11-23,38
2020-11-30,37
2020-12-07,33
2020-12-14,28
2020-12-21,21
2020-12-28,13
2021-01-04,27
2021-01-11,29
2021-01-18,23
2021-01-25,44
2021-02-01,23
2021-02-08,36
2021-02-15,25
2021-02-22,8
