ds,y
2013-12-30,0
2014-01-06,4
2014-01-13,9
2014-01-20,6
2014-01-27,11
2014-02-03,9
2014-02-10,14
2014-02-17,13
2014-02-24,11
2014-03-03,8
2014-03-10,12
2014-03-17,13
2014-03-24,18
2014-03-31,6
2014-04-07,0
2014-04-14,8
2014-04-21,14
2014-04-28,11
2014-05-05,4
2014-05-12,8
2014-05-19,6
2014-05-26,8
2014-06-02,9
2014-06-09,14
2014-06-16,10
2014-06-23,10
2014-06-30,13
2014-07-07,0
2014-07-14,4
2014-07-21,3
2014-07-28,1
2014-08-04,4
2014-08-11,3
2014-08-18,11
2014-08-25,2
2014-09-01,2
2014-09-08,2
2014-09-15,0
2014-09-22,1
2014-09-29,1
2014-10-06,2
2014-10-13,0
2014-10-20,2
2014-10-27,0
2014-11-03,1
2014-11-10,3
2014-11-17,8
2014-11-24,5
2014-12-01,6
2014-12-08,3
2014-12-15,3
2014-12-22,1
2014-12-29,15
2015-01-05,0
2015-01-12,22
2015-01-19,11
2015-01-26,12
2015-02-02,7
2015-02-09,3
2015-02-16,6
2015-02-23,9
2015-03-02,4
2015-03-09,3
2015-03-16,12
2015-03-23,6
2015-03-30,11
2015-04-06,18
2015-04-13,5
2015-04-20,17
2015-04-27,11
2015-05-04,15
2015-05-11,21
2015-05-18,12
2015-05-25,24
2015-06-01,16
2015-06-08,13
2015-06-15,19
2015-06-22,12
2015-06-29,6
2015-07-06,5
2015-07-13,8
2015-07-20,9
2015-07-27,8
2015-08-03,10
2015-08-10,9
2015-08-17,11
2015-08-24,64
2015-08-31,10
2015-09-07,8
2015-09-14,6
2015-09-21,13
2015-09-28,14
2015-10-05,17
2015-10-12,4
2015-10-19,26
2015-10-26,17
2015-11-02,3
2015-11-09,16
2015-11-16,13
2015-11-23,31
2015-11-30,16
2015-12-07,24
2015-12-14,13
2015-12-21,14
2016-01-04,14
2016-01-11,26
2016-01-18,11
2016-01-25,6
2016-02-01,17
2016-02-08,19
2016-02-15,31
2016-02-22,23
2016-02-29,41
2016-03-07,26
2016-03-14,16
2016-03-21,4
2016-03-28,18
2016-04-04,21
2016-04-11,15
2016-04-18,15
2016-04-25,20
2016-05-02,16
2016-05-09,18
2016-05-16,18
2016-05-23,19
2016-05-30,10
2016-06-06,10
2016-06-13,13
2016-06-20,21
2016-06-27,16
2016-07-04,11
2016-07-11,17
2016-07-18,19
2016-07-25,12
2016-08-01,10
2016-08-08,31
2016-08-15,15
2016-08-22,19
2016-08-29,8
2016-09-05,11
2016-09-12,10
2016-09-19,16
2016-09-26,7
2016-10-03,17
2016-10-10,12
2016-10-17,14
2016-10-24,11
2016-10-31,4
2016-11-07,17
2016-11-14,16
2016-11-21,8
2016-11-28,6
2016-12-05,10
2016-12-12,7
2016-12-19,9
2016-12-26,6
2017-01-02,9
2017-01-09,17
2017-01-16,28
2017-01-23,14
2017-01-30,21
2017-02-06,19
2017-02-13,23
2017-02-20,18
2017-02-27,15
2017-03-06,18
2017-03-13,17
2017-03-20,22
2017-03-27,23
2017-04-03,13
2017-04-10,15
2017-04-17,17
2017-04-24,15
2017-05-01,15
2017-05-08,13
2017-05-15,14
2017-05-22,17
2017-05-29,8
2017-06-05,18
2017-06-12,23
2017-06-19,14
