ds,y
2013-12-30,3
2014-01-06,9
2014-01-13,19
2014-01-20,26
2014-01-27,42
2014-02-03,48
2014-02-10,35
2014-02-17,29
2014-02-24,45
2014-03-03,53
2014-03-10,64
2014-03-17,25
2014-03-24,23
2014-03-31,29
2014-04-07,26
2014-04-14,19
2014-04-21,42
2014-04-28,49
2014-05-05,49
2014-05-12,57
2014-05-19,54
2014-05-26,57
2014-06-02,56
2014-06-09,56
2014-06-16,38
2014-06-23,42
2014-06-30,62
2014-07-07,28
2014-07-14,27
2014-07-21,33
2014-07-28,25
2014-08-04,49
2014-08-11,66
2014-08-18,48
2014-08-25,59
2014-09-01,75
2014-09-08,67
2014-09-15,63
2014-09-22,41
2014-09-29,87
2014-10-06,67
2014-10-13,39
2014-10-20,64
2014-10-27,43
2014-11-03,66
2014-11-10,36
2014-11-17,46
2014-11-24,34
2014-12-01,22
2014-12-08,33
2014-12-15,40
2014-12-22,7
2014-12-29,40
2015-01-05,52
2015-01-12,21
2015-01-19,61
2015-01-26,30
2015-02-02,43
2015-02-09,35
2015-02-16,40
2015-02-23,44
2015-03-02,48
2015-03-09,53
2015-03-16,40
2015-03-23,74
2015-03-30,90
2015-04-06,78
2015-04-13,58
2015-04-20,35
2015-04-27,70
2015-05-04,53
2015-05-11,95
2015-05-18,64
2015-05-25,67
2015-06-01,56
2015-06-08,108
2015-06-15,41
2015-06-22,91
2015-06-29,64
2015-07-06,75
2015-07-13,41
2015-07-20,51
2015-07-27,60
2015-08-03,116
2015-08-10,82
2015-08-17,68
2015-08-24,81
2015-08-31,73
2015-09-07,52
2015-09-14,67
2015-09-21,49
2015-09-28,74
2015-10-05,82
2015-10-12,105
2015-10-19,68
2015-10-26,41
2015-11-02,108
2015-11-09,38
2015-11-16,36
2015-11-23,95
2015-11-30,71
2015-12-07,87
2015-12-14,80
2015-12-21,28
2016-01-04,30
2016-01-11,41
2016-01-18,56
2016-01-25,29
2016-02-01,60
2016-02-08,43
2016-02-15,90
2016-02-22,47
2016-02-29,59
2016-03-07,61
2016-03-14,65
2016-03-21,32
2016-03-28,45
2016-04-04,86
2016-04-11,76
2016-04-18,60
2016-04-25,69
2016-05-02,62
2016-05-09,53
2016-05-16,53
2016-05-23,43
2016-05-30,103
2016-06-06,55
2016-06-13,102
2016-06-20,38
2016-06-27,63
2016-07-04,75
2016-07-11,69
2016-07-18,51
2016-07-25,35
2016-08-01,53
2016-08-08,113
2016-08-15,113
2016-08-22,96
2016-08-29,49
2016-09-05,72
2016-09-12,45
2016-09-19,90
2016-09-26,23
2016-10-03,84
2016-10-10,104
2016-10-17,100
2016-10-24,115
2016-10-31,88
2016-11-07,59
2016-11-14,59
2016-11-21,47
2016-11-28,147
2016-12-05,65
2016-12-12,65
2016-12-19,62
2016-12-26,65
2017-01-02,2
2017-01-09,142
2017-01-16,98
2017-01-23,65
2017-01-30,51
2017-02-06,65
2017-02-13,45
2017-02-20,69
2017-02-27,48
2017-03-06,81
2017-03-13,80
2017-03-20,64
2017-03-27,83
2017-04-03,58
2017-04-10,40
2017-04-17,69
2017-04-24,78
2017-05-01,41
2017-05-08,50
2017-05-15,62
2017-05-22,59
2017-05-29,56
2017-06-05,89
2017-06-12,81
2017-06-19,72
2017-06-26,73
2017-07-03,70
2017-07-10,71
2017-07-17,54
2017-07-24,52
2017-07-31,59
2017-08-07,69
2017-08-14,68
2017-08-21,65
2017-08-28,76
2017-09-04,68
2017-09-11,49
2017-09-18,58
2017-09-25,51
2017-10-02,72
2017-10-09,66
2017-10-16,73
2017-10-23,63
2017-10-30,56
2017-11-06,64
2017-11-13,79
2017-11-20,56
2017-11-27,72
2017-12-04,66
2017-12-11,46
2017-12-18,52
2017-12-25,63
2018-01-01,49
2018-01-08,68
2018-01-15,50
2018-01-22,59
2018-01-29,70
2018-02-05,65
2018-02-12,62
2018-02-19,78
2018-02-26,64
2018-03-05,54
2018-03-12,65
2018-03-19,77
2018-03-26,61
2018-04-02,68
2018-04-09,97
2018-04-16,79
2018-04-23,56
2018-04-30,59
2018-05-07,74
2018-05-14,75
2018-05-21,84
2018-05-28,76
2018-06-04,86
2018-06-11,60
2018-06-18,73
2018-06-25,74
2018-07-02,53
2018-07-09,74
2018-07-16,44
2018-07-23,56
2018-07-30,51
2018-08-06,66
2018-08-13,85
2018-08-20,78
2018-08-27,60
2018-09-03,73
2018-09-10,51
2018-09-17,70
2018-09-24,68
2018-10-01,46
2018-10-08,60
2018-10-15,57
2018-10-22,82
2018-10-29,59
2018-11-05,83
2018-11-12,73
2018-11-19,48
2018-11-26,54
2018-12-03,52
2018-12-10,49
2018-12-17,50
2018-12-24,47
2018-12-31,42
2019-01-07,68
2019-01-14,52
2019-01-21,56
2019-01-28,48
2019-02-04,71
2019-02-11,61
2019-02-18,84
2019-02-25,68
2019-03-04,65
2019-03-11,71
2019-03-18,64
2019-03-25,45
2019-04-01,52
2019-04-08,59
2019-04-15,37
2019-04-22,51
2019-04-29,54
2019-05-06,55
2019-05-13,72
2019-05-20,72
2019-05-27,54
2019-06-03,50
2019-06-10,50
2019-06-17,64
2019-06-24,55
2019-07-01,51
2019-07-08,60
2019-07-15,54
2019-07-22,57
2019-07-29,52
2019-08-05,57
2019-08-12,46
2019-08-19,63
2019-08-26,45
2019-09-02,54
2019-09-09,68
2019-09-16,46
2019-09-23,60
2019-09-30,54
2019-10-07,56
2019-10-14,77
2019-10-21,67
2019-10-28,53
2019-11-04,56
2019-11-11,39
2019-11-18,63
2019-11-25,71
2019-12-02,53
2019-12-09,53
2019-12-16,47
2019-12-23,27
2019-12-30,34
2020-01-06,47
2020-01-13,64
2020-01-20,40
2020-01-27,62
2020-02-03,59
2020-02-10,68
2020-02-17,47
2020-02-24,63
2020-03-02,51
2020-03-09,75
2020-03-16,44
2020-03-23,30
2020-03-30,27
2020-04-06,25
2020-04-13,28
2020-04-20,33
2020-04-27,14
2020-05-04,39
2020-05-11,34
2020-05-18,27
2020-05-25,23
2020-06-01,31
2020-06-08,28
2020-06-15,53
2020-06-22,22
2020-06-29,30
2020-07-06,27
2020-07-13,35
2020-07-20,40
2020-07-27,36
2020-08-03,42
2020-08-10,31
2020-08-17,35
2020-08-24,55
2020-08-31,44
2020-09-07,44
2020-09-14,29
2020-09-21,40
2020-09-28,68
2020-10-05,37
2020-10-12,73
2020-10-19,95
2020-10-26,29
2020-11-02,33
2020-11-09,29
2020-11-16,26
2020-11-23,36
2020-11-30,34
2020-12-07,30
2020-12-14,21
2020-12-21,25
2020-12-28,32
2021-01-04,31
2021-01-11,28
2021-01-18,30
2021-01-25,42
2021-02-01,36
2021-02-08,36
2021-02-15,21
2021-02-22,40
2021-03-01,42
2021-03-08,37
2021-03-15,46
2021-03-22,39
2021-03-29,20
2021-04-05,27
2021-04-12,39
2021-04-19,34
2021-04-26,51
2021-05-03,47
2021-05-10,45
2021-05-17,37
2021-05-24,58
2021-05-31,40
2021-06-07,49
2021-06-14,54
2021-06-21,38
2021-06-28,48
2021-07-05,42
2021-07-12,48
2021-07-19,30
2021-07-26,50
2021-08-02,57
2021-08-09,47
2021-08-16,35
2021-08-23,51
2021-08-30,41
2021-09-06,40
2021-09-13,78
2021-09-20,43
2021-09-27,47
2021-10-04,44
2021-10-11,70
2021-10-18,51
2021-10-25,47
2021-11-01,50
2021-11-08,48
2021-11-15,34
2021-11-22,49
2021-11-29,45
2021-12-06,33
2021-12-13,35
2021-12-20,29
2021-12-27,36
2022-01-03,27
2022-01-10,53
2022-01-17,25
2022-01-24,50
2022-01-31,35
2022-02-07,47
2022-02-14,60
2022-02-21,49
2022-02-28,38
2022-03-07,45
2022-03-14,51
2022-03-21,49
2022-03-28,43
2022-04-04,47
2022-04-11,25
2022-04-18,61
2022-04-25,36
2022-05-02,37
2022-05-09,39
2022-05-16,46
2022-05-23,47
2022-05-30,39
2022-06-06,40
2022-06-13,49
2022-06-20,41
2022-06-27,51
2022-07-04,33
2022-07-11,33
2022-07-18,35
2022-07-25,58
2022-08-01,59
2022-08-08,53
2022-08-15,106
2022-08-22,62
2022-08-29,54
2022-09-05,53
2022-09-12,27
2022-09-19,51
2022-09-26,54
2022-10-03,53
2022-10-10,62
2022-10-17,48
2022-10-24,43
2022-10-31,38
2022-11-07,47
2022-11-14,51
2022-11-21,65
2022-11-28,49
2022-12-05,41
2022-12-12,42
2022-12-19,24
2022-12-26,30
2023-01-02,27
2023-01-09,51
2023-01-16,48
2023-01-23,57
2023-01-30,51
2023-02-06,33
2023-02-13,69
2023-02-20,68
2023-02-27,61
2023-03-06,68
2023-03-13,70
2023-03-20,64
2023-03-27,62
2023-04-03,48
2023-04-10,51
2023-04-17,71
2023-04-24,37
2023-05-01,31
2023-05-08,59
2023-05-15,64
2023-05-22,51
2023-05-29,50
2023-06-05,83
2023-06-12,65
2023-06-19,58
2023-06-26,78
2023-07-03,70
2023-07-10,62
2023-07-17,63
2023-07-24,56
2023-07-31,60
2023-08-07,64
2023-08-14,65
2023-08-21,43
2023-08-28,55
2023-09-04,44
2023-09-11,18
2023-09-18,67
2023-09-25,54
2023-10-02,70
2023-10-09,63
2023-10-16,65
2023-10-23,51
2023-10-30,37
2023-11-06,51
2023-11-13,58
2023-11-20,58
2023-11-27,90
2023-12-04,49
2023-12-11,65
2023-12-18,34
2023-12-25,40
2024-01-01,57
2024-01-08,58
2024-01-15,72
2024-01-22,84
2024-01-29,79
2024-02-05,58
2024-02-12,96
2024-02-19,97
2024-02-26,43
2024-03-04,74
2024-03-11,76
2024-03-18,51
2024-03-25,30
2024-04-01,63
2024-04-08,72
2024-04-15,47
2024-04-22,62
2024-04-29,85
2024-05-06,92
2024-05-13,77
2024-05-20,82
2024-05-27,68
2024-06-03,104
2024-06-10,54
2024-06-17,71
2024-06-24,79
2024-07-01,69
2024-07-08,78
2024-07-15,56
2024-07-22,81
2024-07-29,86
2024-08-05,57
2024-08-12,71
2024-08-19,69
2024-08-26,63
2024-09-02,69
2024-09-09,42
2024-09-16,80
2024-09-23,62
2024-09-30,43
2024-10-07,63
2024-10-14,56
2024-10-21,57
2024-10-28,57
2024-11-04,70
2024-11-11,52
2024-11-18,72
2024-11-25,45
2024-12-02,42
2024-12-09,52
2024-12-16,60
2024-12-23,27
2024-12-30,36
