ds,y
2013-12-30,0
2014-01-06,1
2014-01-13,6
2014-01-20,3
2014-01-27,7
2014-02-03,9
2014-02-10,7
2014-02-17,2
2014-02-24,10
2014-03-03,7
2014-03-10,14
2014-03-17,9
2014-03-24,3
2014-03-31,4
2014-04-07,6
2014-04-14,3
2014-04-21,12
2014-04-28,8
2014-05-05,6
2014-05-12,17
2014-05-19,19
2014-05-26,16
2014-06-02,10
2014-06-09,19
2014-06-16,6
2014-06-23,13
2014-06-30,14
2014-07-07,5
2014-07-14,6
2014-07-21,7
2014-07-28,9
2014-08-04,12
2014-08-11,24
2014-08-18,5
2014-08-25,13
2014-09-01,18
2014-09-08,13
2014-09-15,20
2014-09-22,13
2014-09-29,19
2014-10-06,19
2014-10-13,7
2014-10-20,11
2014-10-27,7
2014-11-03,12
2014-11-10,10
2014-11-17,7
2014-11-24,6
2014-12-01,2
2014-12-08,8
2014-12-15,3
2014-12-22,2
2014-12-29,12
2015-01-05,11
2015-01-12,3
2015-01-19,25
2015-01-26,8
2015-02-02,7
2015-02-09,10
2015-02-16,7
2015-02-23,5
2015-03-02,10
2015-03-09,8
2015-03-16,6
2015-03-23,12
2015-03-30,22
2015-04-06,7
2015-04-13,11
2015-04-20,9
2015-04-27,20
2015-05-04,10
2015-05-11,18
2015-05-18,11
2015-05-25,13
2015-06-01,10
2015-06-08,27
2015-06-15,4
2015-06-22,17
2015-06-29,5
2015-07-06,16
2015-07-13,7
2015-07-20,11
2015-07-27,23
2015-08-03,40
2015-08-10,15
2015-08-17,16
2015-08-24,40
2015-08-31,17
2015-09-07,15
2015-09-14,12
2015-09-21,8
2015-09-28,18
2015-10-05,7
2015-10-12,11
2015-10-19,22
2015-10-26,7
2015-11-02,23
2015-11-09,16
2015-11-16,9
2015-11-23,26
2015-11-30,23
2015-12-07,32
2015-12-14,26
2015-12-21,13
2016-01-04,12
2016-01-11,6
2016-01-18,13
2016-01-25,3
2016-02-01,17
2016-02-08,11
2016-02-15,20
2016-02-22,12
2016-02-29,8
2016-03-07,16
2016-03-14,11
2016-03-21,9
2016-03-28,8
2016-04-04,24
2016-04-11,15
2016-04-18,17
2016-04-25,13
2016-05-02,21
2016-05-09,12
2016-05-16,12
2016-05-23,6
2016-05-30,34
2016-06-06,12
2016-06-13,43
