ds,y
2013-12-30,3
2014-01-06,8
2014-01-13,13
2014-01-20,23
2014-01-27,35
2014-02-03,39
2014-02-10,28
2014-02-17,27
2014-02-24,35
2014-03-03,46
2014-03-10,50
2014-03-17,16
2014-03-24,20
2014-03-31,25
2014-04-07,20
2014-04-14,16
2014-04-21,30
2014-04-28,41
2014-05-05,43
2014-05-12,40
2014-05-19,35
2014-05-26,41
2014-06-02,46
2014-06-09,37
2014-06-16,32
2014-06-23,29
2014-06-30,48
2014-07-07,23
2014-07-14,21
2014-07-21,26
2014-07-28,16
2014-08-04,37
2014-08-11,42
2014-08-18,43
2014-08-25,46
2014-09-01,57
2014-09-08,54
2014-09-15,43
2014-09-22,28
2014-09-29,68
2014-10-06,48
2014-10-13,32
2014-10-20,53
2014-10-27,36
2014-11-03,54
2014-11-10,26
2014-11-17,39
2014-11-24,28
2014-12-01,20
2014-12-08,25
2014-12-15,37
2014-12-22,5
2014-12-29,28
2015-01-05,41
2015-01-12,18
2015-01-19,36
2015-01-26,22
2015-02-02,36
2015-02-09,25
2015-02-16,33
2015-02-23,39
2015-03-02,38
2015-03-09,45
2015-03-16,34
2015-03-23,62
2015-03-30,68
2015-04-06,71
2015-04-13,47
2015-04-20,26
2015-04-27,50
2015-05-04,43
2015-05-11,77
2015-05-18,53
2015-05-25,54
2015-06-01,46
2015-06-08,81
2015-06-15,37
2015-06-22,74
2015-06-29,59
2015-07-06,59
2015-07-13,34
2015-07-20,40
2015-07-27,37
2015-08-03,76
2015-08-10,67
2015-08-17,52
2015-08-24,41
2015-08-31,56
2015-09-07,37
2015-09-14,55
2015-09-21,41
2015-09-28,56
2015-10-05,75
2015-10-12,94
2015-10-19,46
2015-10-26,34
2015-11-02,85
2015-11-09,22
2015-11-16,27
2015-11-23,69
2015-11-30,48
2015-12-07,55
2015-12-14,54
2015-12-21,15
2016-01-04,18
2016-01-11,35
2016-01-18,43
2016-01-25,26
2016-02-01,43
2016-02-08,32
2016-02-15,70
2016-02-22,35
2016-02-29,51
2016-03-07,45
2016-03-14,54
2016-03-21,23
2016-03-28,37
2016-04-04,62
2016-04-11,61
2016-04-18,43
2016-04-25,56
2016-05-02,41
2016-05-09,41
2016-05-16,41
2016-05-23,37
2016-05-30,69
2016-06-06,43
2016-06-13,59
2016-06-20,32
2016-06-27,42
2016-07-04,60
2016-07-11,52
2016-07-18,45
2016-07-25,32
2016-08-01,44
2016-08-08,76
2016-08-15,92
2016-08-22,65
2016-08-29,41
2016-09-05,57
2016-09-12,33
2016-09-19,57
2016-09-26,13
2016-10-03,58
2016-10-10,81
2016-10-17,67
2016-10-24,79
2016-10-31,53
2016-11-07,46
2016-11-14,43
2016-11-21,38
2016-11-28,111
2016-12-05,46
2016-12-12,45
2016-12-19,39
2016-12-26,42
2017-01-02,2
2017-01-09,85
2017-01-16,69
2017-01-23,52
2017-01-30,42
2017-02-06,56
2017-02-13,35
2017-02-20,58
2017-02-27,35
2017-03-06,70
2017-03-13,54
2017-03-20,50
2017-03-27,61
2017-04-03,49
2017-04-10,32
2017-04-17,55
2017-04-24,64
2017-05-01,31
2017-05-08,34
2017-05-15,45
2017-05-22,47
2017-05-29,38
2017-06-05,63
2017-06-12,59
2017-06-19,55
2017-06-26,51
2017-07-03,50
2017-07-10,53
2017-07-17,39
2017-07-24,39
2017-07-31,46
2017-08-07,53
2017-08-14,48
2017-08-21,55
2017-08-28,63
2017-09-04,54
2017-09-11,32
2017-09-18,46
2017-09-25,37
2017-10-02,56
2017-10-09,54
2017-10-16,56
2017-10-23,46
2017-10-30,42
2017-11-06,53
2017-11-13,54
2017-11-20,45
2017-11-27,52
2017-12-04,47
2017-12-11,35
2017-12-18,31
2017-12-25,43
2018-01-01,39
2018-01-08,54
2018-01-15,38
2018-01-22,42
2018-01-29,59
2018-02-05,45
2018-02-12,43
2018-02-19,55
2018-02-26,43
2018-03-05,43
2018-03-12,50
2018-03-19,53
2018-03-26,50
2018-04-02,54
2018-04-09,73
2018-04-16,65
2018-04-23,43
2018-04-30,43
2018-05-07,62
2018-05-14,57
2018-05-21,63
2018-05-28,56
2018-06-04,67
2018-06-11,46
2018-06-18,58
2018-06-25,54
2018-07-02,40
2018-07-09,60
2018-07-16,29
2018-07-23,39
2018-07-30,35
2018-08-06,53
2018-08-13,68
2018-08-20,61
2018-08-27,48
2018-09-03,53
2018-09-10,40
2018-09-17,58
2018-09-24,56
2018-10-01,33
2018-10-08,49
2018-10-15,51
2018-10-22,64
2018-10-29,41
2018-11-05,58
2018-11-12,54
2018-11-19,36
2018-11-26,41
2018-12-03,43
2018-12-10,40
2018-12-17,41
2018-12-24,34
2018-12-31,32
2019-01-07,46
2019-01-14,42
2019-01-21,46
2019-01-28,41
2019-02-04,55
2019-02-11,47
2019-02-18,60
2019-02-25,42
2019-03-04,50
2019-03-11,55
2019-03-18,52
2019-03-25,29
2019-04-01,42
2019-04-08,51
2019-04-15,23
2019-04-22,43
2019-04-29,38
2019-05-06,37
2019-05-13,44
2019-05-20,51
2019-05-27,43
2019-06-03,38
2019-06-10,39
2019-06-17,48
2019-06-24,44
2019-07-01,43
2019-07-08,43
2019-07-15,41
2019-07-22,42
2019-07-29,47
2019-08-05,42
2019-08-12,42
2019-08-19,48
2019-08-26,38
2019-09-02,34
2019-09-09,40
2019-09-16,32
2019-09-23,48
2019-09-30,39
2019-10-07,42
2019-10-14,58
2019-10-21,50
2019-10-28,41
2019-11-04,42
2019-11-11,32
2019-11-18,47
2019-11-25,56
2019-12-02,37
2019-12-09,39
2019-12-16,33
2019-12-23,18
2019-12-30,21
2020-01-06,35
2020-01-13,40
2020-01-20,25
2020-01-27,43
2020-02-03,47
2020-02-10,50
2020-02-17,37
2020-02-24,40
2020-03-02,39
2020-03-09,52
2020-03-16,35
2020-03-23,21
2020-03-30,17
2020-04-06,16
2020-04-13,19
2020-04-20,28
2020-04-27,10
2020-05-04,30
2020-05-11,21
2020-05-18,18
2020-05-25,16
2020-06-01,24
2020-06-08,19
2020-06-15,38
2020-06-22,19
2020-06-29,24
2020-07-06,20
2020-07-13,30
2020-07-20,30
2020-07-27,26
2020-08-03,34
2020-08-10,24
2020-08-17,26
2020-08-24,45
2020-08-31,37
2020-09-07,33
2020-09-14,5
2020-09-21,34
2020-09-28,42
2020-10-05,31
2020-10-12,50
2020-10-19,66
2020-10-26,25
2020-11-02,25
2020-11-09,21
2020-11-16,20
2020-11-23,26
2020-11-30,24
2020-12-07,23
2020-12-14,12
2020-12-21,19
2020-12-28,23
2021-01-04,26
2021-01-11,22
2021-01-18,21
2021-01-25,31
2021-02-01,25
2021-02-08,21
2021-02-15,13
2021-02-22,32
2021-03-01,34
2021-03-08,27
2021-03-15,30
2021-03-22,27
2021-03-29,16
2021-04-05,20
2021-04-12,31
2021-04-19,25
2021-04-26,39
2021-05-03,34
2021-05-10,37
2021-05-17,19
2021-05-24,45
2021-05-31,22
2021-06-07,41
2021-06-14,42
2021-06-21,28
2021-06-28,36
2021-07-05,33
2021-07-12,33
2021-07-19,18
2021-07-26,40
2021-08-02,44
2021-08-09,35
2021-08-16,24
2021-08-23,36
2021-08-30,30
2021-09-06,31
2021-09-13,58
2021-09-20,25
2021-09-27,32
2021-10-04,33
2021-10-11,48
2021-10-18,41
2021-10-25,33
2021-11-01,35
2021-11-08,38
2021-11-15,25
2021-11-22,37
2021-11-29,36
2021-12-06,27
2021-12-13,30
2021-12-20,22
2021-12-27,28
2022-01-03,17
2022-01-10,40
2022-01-17,15
2022-01-24,38
2022-01-31,26
2022-02-07,35
2022-02-14,51
2022-02-21,37
2022-02-28,29
2022-03-07,37
2022-03-14,40
2022-03-21,33
2022-03-28,37
2022-04-04,36
2022-04-11,17
2022-04-18,45
2022-04-25,29
2022-05-02,32
2022-05-09,30
2022-05-16,33
2022-05-23,37
2022-05-30,31
2022-06-06,36
2022-06-13,38
2022-06-20,32
2022-06-27,41
2022-07-04,24
2022-07-11,23
2022-07-18,32
2022-07-25,37
2022-08-01,41
2022-08-08,39
2022-08-15,87
2022-08-22,43
2022-08-29,39
2022-09-05,37
2022-09-12,12
2022-09-19,41
2022-09-26,48
2022-10-03,41
2022-10-10,46
2022-10-17,33
2022-10-24,31
2022-10-31,27
2022-11-07,31
2022-11-14,39
2022-11-21,41
2022-11-28,37
2022-12-05,31
2022-12-12,27
2022-12-19,20
2022-12-26,19
2023-01-02,21
2023-01-09,40
2023-01-16,40
2023-01-23,41
2023-01-30,29
2023-02-06,23
2023-02-13,53
2023-02-20,50
2023-02-27,43
2023-03-06,44
2023-03-13,56
2023-03-20,44
2023-03-27,45
2023-04-03,43
2023-04-10,44
2023-04-17,59
2023-04-24,29
2023-05-01,19
2023-05-08,41
2023-05-15,48
2023-05-22,37
2023-05-29,33
2023-06-05,70
2023-06-12,55
2023-06-19,49
2023-06-26,63
2023-07-03,57
2023-07-10,56
2023-07-17,49
2023-07-24,49
2023-07-31,46
2023-08-07,51
2023-08-14,52
2023-08-21,31
2023-08-28,41
2023-09-04,32
2023-09-11,18
2023-09-18,51
2023-09-25,44
2023-10-02,60
2023-10-09,51
2023-10-16,53
2023-10-23,44
2023-10-30,28
2023-11-06,41
2023-11-13,48
2023-11-20,43
2023-11-27,50
2023-12-04,41
2023-12-11,52
2023-12-18,30
2023-12-25,26
2024-01-01,43
2024-01-08,47
2024-01-15,51
2024-01-22,64
2024-01-29,58
2024-02-05,44
2024-02-12,76
2024-02-19,79
2024-02-26,27
2024-03-04,55
2024-03-11,52
2024-03-18,42
2024-03-25,25
2024-04-01,47
2024-04-08,55
2024-04-15,33
2024-04-22,50
2024-04-29,62
2024-05-06,68
2024-05-13,66
2024-05-20,48
2024-05-27,53
2024-06-03,73
2024-06-10,44
2024-06-17,50
2024-06-24,58
