ds,y
2013-12-30,18
2014-01-06,32
2014-01-13,38
2014-01-20,40
2014-01-27,36
2014-02-03,35
2014-02-10,29
2014-02-17,35
2014-02-24,33
2014-03-03,48
2014-03-10,60
2014-03-17,26
2014-03-24,64
2014-03-31,66
2014-04-07,65
2014-04-14,41
2014-04-21,56
2014-04-28,29
2014-05-05,43
2014-05-12,37
2014-05-19,43
2014-05-26,63
2014-06-02,47
2014-06-09,48
2014-06-16,47
2014-06-23,67
2014-06-30,38
2014-07-07,42
2014-07-14,49
2014-07-21,52
2014-07-28,55
2014-08-04,52
2014-08-11,59
2014-08-18,57
2014-08-25,54
2014-09-01,66
2014-09-08,66
2014-09-15,45
2014-09-22,62
2014-09-29,61
2014-10-06,54
2014-10-13,77
2014-10-20,61
2014-10-27,53
2014-11-03,61
2014-11-10,74
2014-11-17,24
2014-11-24,26
2014-12-01,30
2014-12-08,17
2014-12-15,23
2014-12-22,11
2014-12-29,47
2015-01-05,35
2015-01-12,33
2015-01-19,45
2015-01-26,25
2015-02-02,36
2015-02-09,36
2015-02-16,35
2015-02-23,48
2015-03-02,48
2015-03-09,41
2015-03-16,49
2015-03-23,31
2015-03-30,76
2015-04-06,84
2015-04-13,75
2015-04-20,70
2015-04-27,54
2015-05-04,65
2015-05-11,72
2015-05-18,76
2015-05-25,82
2015-06-01,68
2015-06-08,65
2015-06-15,62
2015-06-22,74
2015-06-29,77
2015-07-06,57
2015-07-13,60
2015-07-20,51
2015-07-27,76
2015-08-03,88
2015-08-10,79
2015-08-17,92
2015-08-24,77
2015-08-31,72
2015-09-07,57
2015-09-14,67
2015-09-21,82
2015-09-28,87
2015-10-05,78
2015-10-12,88
2015-10-19,68
2015-10-26,51
2015-11-02,75
2015-11-09,69
2015-11-16,79
2015-11-23,92
2015-11-30,65
2015-12-07,63
2015-12-14,53
2015-12-21,47
2016-01-04,69
2016-01-11,66
2016-01-18,72
2016-01-25,98
2016-02-01,104
2016-02-08,94
2016-02-15,73
2016-02-22,93
2016-02-29,88
2016-03-07,76
2016-03-14,76
2016-03-21,22
2016-03-28,58
2016-04-04,82
2016-04-11,82
2016-04-18,88
2016-04-25,78
2016-05-02,73
2016-05-09,79
2016-05-16,79
2016-05-23,81
2016-05-30,81
2016-06-06,75
2016-06-13,74
2016-06-20,88
2016-06-27,63
2016-07-04,76
2016-07-11,77
2016-07-18,60
2016-07-25,61
2016-08-01,75
2016-08-08,77
2016-08-15,82
2016-08-22,63
2016-08-29,70
2016-09-05,80
2016-09-12,70
2016-09-19,72
2016-09-26,79
2016-10-03,77
2016-10-10,99
2016-10-17,81
2016-10-24,73
2016-10-31,73
2016-11-07,66
2016-11-14,64
2016-11-21,65
2016-11-28,58
2016-12-05,53
2016-12-12,51
2016-12-19,47
2016-12-26,38
2017-01-02,87
2017-01-09,103
2017-01-16,100
2017-01-23,94
2017-01-30,124
2017-02-06,119
2017-02-13,124
2017-02-20,127
2017-02-27,105
2017-03-06,121
2017-03-13,112
2017-03-20,109
2017-03-27,150
2017-04-03,133
2017-04-10,86
2017-04-17,106
2017-04-24,92
2017-05-01,100
2017-05-08,101
2017-05-15,88
2017-05-22,147
2017-05-29,136
2017-06-05,143
2017-06-12,119
2017-06-19,111
2017-06-26,126
2017-07-03,86
2017-07-10,88
2017-07-17,81
2017-07-24,96
2017-07-31,73
2017-08-07,70
2017-08-14,109
2017-08-21,107
2017-08-28,121
2017-09-04,139
2017-09-11,103
2017-09-18,117
2017-09-25,116
2017-10-02,100
2017-10-09,111
2017-10-16,107
2017-10-23,104
2017-10-30,105
2017-11-06,116
2017-11-13,106
2017-11-20,95
2017-11-27,107
2017-12-04,100
2017-12-11,138
2017-12-18,66
2017-12-25,64
2018-01-01,71
2018-01-08,109
2018-01-15,122
2018-01-22,99
2018-01-29,113
2018-02-05,121
2018-02-12,105
2018-02-19,91
2018-02-26,95
2018-03-05,88
2018-03-12,104
2018-03-19,74
2018-03-26,75
2018-04-02,77
2018-04-09,93
2018-04-16,100
2018-04-23,92
2018-04-30,104
2018-05-07,85
2018-05-14,93
2018-05-21,95
2018-05-28,62
2018-06-04,97
2018-06-11,70
2018-06-18,88
2018-06-25,90
2018-07-02,117
2018-07-09,90
2018-07-16,99
2018-07-23,83
2018-07-30,91
2018-08-06,91
2018-08-13,88
2018-08-20,102
2018-08-27,83
2018-09-03,74
2018-09-10,89
2018-09-17,84
2018-09-24,84
2018-10-01,72
2018-10-08,75
2018-10-15,81
2018-10-22,79
2018-10-29,81
2018-11-05,95
2018-11-12,49
2018-11-19,94
2018-11-26,75
2018-12-03,76
2018-12-10,57
2018-12-17,55
2018-12-24,53
2018-12-31,48
2019-01-07,69
2019-01-14,99
2019-01-21,87
2019-01-28,79
2019-02-04,73
2019-02-11,91
2019-02-18,116
2019-02-25,81
2019-03-04,95
2019-03-11,107
2019-03-18,73
2019-03-25,89
2019-04-01,82
2019-04-08,89
2019-04-15,54
2019-04-22,90
2019-04-29,71
2019-05-06,79
2019-05-13,82
2019-05-20,103
2019-05-27,81
2019-06-03,93
2019-06-10,95
2019-06-17,90
2019-06-24,72
2019-07-01,85
2019-07-08,90
2019-07-15,91
2019-07-22,73
2019-07-29,59
2019-08-05,93
2019-08-12,81
2019-08-19,82
2019-08-26,87
2019-09-02,93
2019-09-09,128
2019-09-16,86
2019-09-23,91
2019-09-30,82
2019-10-07,121
2019-10-14,84
2019-10-21,129
2019-10-28,101
2019-11-04,115
2019-11-11,87
2019-11-18,90
2019-11-25,53
2019-12-02,117
2019-12-09,79
2019-12-16,75
2019-12-23,52
2019-12-30,58
2020-01-06,79
2020-01-13,109
2020-01-20,87
2020-01-27,107
2020-02-03,75
2020-02-10,83
2020-02-17,101
2020-02-24,116
2020-03-02,78
2020-03-09,123
2020-03-16,77
2020-03-23,72
2020-03-30,40
2020-04-06,29
2020-04-13,29
2020-04-20,29
2020-04-27,27
2020-05-04,42
2020-05-11,39
2020-05-18,36
2020-05-25,61
2020-06-01,42
2020-06-08,48
